# solver	iter	max-congestion	stddev
akecmp	0	0.006741	0.000000
akecmp	1	0.006835	0.000000
akecmp	2	0.007440	0.000000
akecmp	3	0.006941	0.000000
akecmp	4	0.007740	0.000000
akecmp	5	0.007444	0.000000
akecmp	6	0.006366	0.000000
akecmp	7	0.006202	0.000000
akecmp	8	0.006913	0.000000
akecmp	9	0.007079	0.000000
akecmp	10	0.007542	0.000000
akecmp	11	0.006987	0.000000
akecmp	12	0.006586	0.000000
akecmp	13	0.006769	0.000000
akecmp	14	0.006857	0.000000
akecmp	15	0.006911	0.000000
akecmp	16	0.007240	0.000000
akecmp	17	0.006729	0.000000
akecmp	18	0.006509	0.000000
akecmp	19	0.006687	0.000000
akecmp	20	0.007199	0.000000
akecmp	21	0.007020	0.000000
akecmp	22	0.007173	0.000000
akecmp	23	0.006943	0.000000
akecmp	24	0.006853	0.000000
akecmp	25	0.007056	0.000000
akecmp	26	0.006695	0.000000
akecmp	27	0.006486	0.000000
akecmp	28	0.007189	0.000000
akecmp	29	0.006898	0.000000
akecmp	30	0.006455	0.000000
akecmp	31	0.006628	0.000000
akecmp	32	0.007153	0.000000
akecmp	33	0.006490	0.000000
akecmp	34	0.007302	0.000000
akecmp	35	0.007346	0.000000
akecmp	36	0.007133	0.000000
akecmp	37	0.007215	0.000000
akecmp	38	0.007432	0.000000
akecmp	39	0.007432	0.000000
akecmp	40	0.007953	0.000000
akecmp	41	0.007769	0.000000
akecmp	42	0.007828	0.000000
akecmp	43	0.008005	0.000000
akecmp	44	0.008548	0.000000
akecmp	45	0.008424	0.000000
akecmp	46	0.008918	0.000000
akecmp	47	0.008407	0.000000
akecmp	48	0.007904	0.000000
akecmp	49	0.008077	0.000000
akecmp	50	0.008476	0.000000
akecmp	51	0.008827	0.000000
akecmp	52	0.009765	0.000000
akecmp	53	0.009242	0.000000
akecmp	54	0.008380	0.000000
akecmp	55	0.008858	0.000000
akecmp	56	0.009676	0.000000
akecmp	57	0.009808	0.000000
akecmp	58	0.010030	0.000000
akecmp	59	0.010211	0.000000
akecmp	60	0.009904	0.000000
akecmp	61	0.009898	0.000000
akecmp	62	0.010079	0.000000
akecmp	63	0.010020	0.000000
akecmp	64	0.010175	0.000000
akecmp	65	0.009912	0.000000
akecmp	66	0.009839	0.000000
akecmp	67	0.010193	0.000000
akecmp	68	0.010100	0.000000
akecmp	69	0.009707	0.000000
akecmp	70	0.010313	0.000000
akecmp	71	0.010655	0.000000
akecmp	72	0.010159	0.000000
akecmp	73	0.010574	0.000000
akecmp	74	0.010487	0.000000
akecmp	75	0.009875	0.000000
akecmp	76	0.010406	0.000000
akecmp	77	0.010525	0.000000
akecmp	78	0.009215	0.000000
akecmp	79	0.009639	0.000000
akecmp	80	0.010044	0.000000
akecmp	81	0.010360	0.000000
akecmp	82	0.010737	0.000000
akecmp	83	0.010275	0.000000
akecmp	84	0.009546	0.000000
akecmp	85	0.010119	0.000000
akecmp	86	0.010747	0.000000
akecmp	87	0.010441	0.000000
akecmp	88	0.011108	0.000000
akecmp	89	0.010732	0.000000
akecmp	90	0.010521	0.000000
akecmp	91	0.010899	0.000000
akecmp	92	0.010642	0.000000
akecmp	93	0.010231	0.000000
akecmp	94	0.010550	0.000000
akecmp	95	0.010524	0.000000
akecmp	96	0.010160	0.000000
akecmp	97	0.010792	0.000000
akecmp	98	0.010787	0.000000
akecmp	99	0.011205	0.000000
akmcf	0	0.006741	0.000000
akmcf	1	0.006835	0.000000
akmcf	2	0.007440	0.000000
akmcf	3	0.006941	0.000000
akmcf	4	0.007740	0.000000
akmcf	5	0.007444	0.000000
akmcf	6	0.006366	0.000000
akmcf	7	0.006202	0.000000
akmcf	8	0.006913	0.000000
akmcf	9	0.007079	0.000000
akmcf	10	0.007542	0.000000
akmcf	11	0.006987	0.000000
akmcf	12	0.006586	0.000000
akmcf	13	0.006769	0.000000
akmcf	14	0.006857	0.000000
akmcf	15	0.006911	0.000000
akmcf	16	0.007240	0.000000
akmcf	17	0.006729	0.000000
akmcf	18	0.006509	0.000000
akmcf	19	0.006687	0.000000
akmcf	20	0.007199	0.000000
akmcf	21	0.007020	0.000000
akmcf	22	0.007173	0.000000
akmcf	23	0.006943	0.000000
akmcf	24	0.006853	0.000000
akmcf	25	0.007056	0.000000
akmcf	26	0.006695	0.000000
akmcf	27	0.006486	0.000000
akmcf	28	0.007189	0.000000
akmcf	29	0.006898	0.000000
akmcf	30	0.006455	0.000000
akmcf	31	0.006628	0.000000
akmcf	32	0.007153	0.000000
akmcf	33	0.006490	0.000000
akmcf	34	0.007302	0.000000
akmcf	35	0.007346	0.000000
akmcf	36	0.007133	0.000000
akmcf	37	0.007215	0.000000
akmcf	38	0.007432	0.000000
akmcf	39	0.007432	0.000000
akmcf	40	0.007953	0.000000
akmcf	41	0.007769	0.000000
akmcf	42	0.007828	0.000000
akmcf	43	0.008005	0.000000
akmcf	44	0.008548	0.000000
akmcf	45	0.008424	0.000000
akmcf	46	0.008918	0.000000
akmcf	47	0.008407	0.000000
akmcf	48	0.007904	0.000000
akmcf	49	0.008077	0.000000
akmcf	50	0.008476	0.000000
akmcf	51	0.008827	0.000000
akmcf	52	0.009765	0.000000
akmcf	53	0.009242	0.000000
akmcf	54	0.008380	0.000000
akmcf	55	0.008858	0.000000
akmcf	56	0.009676	0.000000
akmcf	57	0.009808	0.000000
akmcf	58	0.010030	0.000000
akmcf	59	0.010211	0.000000
akmcf	60	0.009904	0.000000
akmcf	61	0.009898	0.000000
akmcf	62	0.010079	0.000000
akmcf	63	0.010020	0.000000
akmcf	64	0.010175	0.000000
akmcf	65	0.009912	0.000000
akmcf	66	0.009839	0.000000
akmcf	67	0.010193	0.000000
akmcf	68	0.010100	0.000000
akmcf	69	0.009707	0.000000
akmcf	70	0.010313	0.000000
akmcf	71	0.010655	0.000000
akmcf	72	0.010159	0.000000
akmcf	73	0.010574	0.000000
akmcf	74	0.010487	0.000000
akmcf	75	0.009875	0.000000
akmcf	76	0.010406	0.000000
akmcf	77	0.010525	0.000000
akmcf	78	0.009215	0.000000
akmcf	79	0.009639	0.000000
akmcf	80	0.010044	0.000000
akmcf	81	0.010360	0.000000
akmcf	82	0.010737	0.000000
akmcf	83	0.010275	0.000000
akmcf	84	0.009546	0.000000
akmcf	85	0.010119	0.000000
akmcf	86	0.010747	0.000000
akmcf	87	0.010441	0.000000
akmcf	88	0.011108	0.000000
akmcf	89	0.010732	0.000000
akmcf	90	0.010521	0.000000
akmcf	91	0.010899	0.000000
akmcf	92	0.010642	0.000000
akmcf	93	0.010231	0.000000
akmcf	94	0.010550	0.000000
akmcf	95	0.010524	0.000000
akmcf	96	0.010160	0.000000
akmcf	97	0.010792	0.000000
akmcf	98	0.010787	0.000000
akmcf	99	0.011205	0.000000
akraeke	0	0.007565	0.000000
akraeke	1	0.007657	0.000000
akraeke	2	0.008326	0.000000
akraeke	3	0.007767	0.000000
akraeke	4	0.008549	0.000000
akraeke	5	0.008307	0.000000
akraeke	6	0.007125	0.000000
akraeke	7	0.006963	0.000000
akraeke	8	0.007778	0.000000
akraeke	9	0.007865	0.000000
akraeke	10	0.008372	0.000000
akraeke	11	0.007736	0.000000
akraeke	12	0.007324	0.000000
akraeke	13	0.007543	0.000000
akraeke	14	0.007568	0.000000
akraeke	15	0.007641	0.000000
akraeke	16	0.008067	0.000000
akraeke	17	0.007504	0.000000
akraeke	18	0.007252	0.000000
akraeke	19	0.007484	0.000000
akraeke	20	0.008063	0.000000
akraeke	21	0.007827	0.000000
akraeke	22	0.008063	0.000000
akraeke	23	0.007808	0.000000
akraeke	24	0.007707	0.000000
akraeke	25	0.007929	0.000000
akraeke	26	0.007533	0.000000
akraeke	27	0.007315	0.000000
akraeke	28	0.008067	0.000000
akraeke	29	0.007721	0.000000
akraeke	30	0.007349	0.000000
akraeke	31	0.007477	0.000000
