# solver	iter	mean-congestion	stddev
akecmp	0	0.001719	0.000000
akecmp	1	0.001729	0.000000
akecmp	2	0.001870	0.000000
akecmp	3	0.001743	0.000000
akecmp	4	0.001929	0.000000
akecmp	5	0.001876	0.000000
akecmp	6	0.001620	0.000000
akecmp	7	0.001599	0.000000
akecmp	8	0.001782	0.000000
akecmp	9	0.001796	0.000000
akecmp	10	0.001903	0.000000
akecmp	11	0.001745	0.000000
akecmp	12	0.001646	0.000000
akecmp	13	0.001689	0.000000
akecmp	14	0.001708	0.000000
akecmp	15	0.001734	0.000000
akecmp	16	0.001828	0.000000
akecmp	17	0.001700	0.000000
akecmp	18	0.001643	0.000000
akecmp	19	0.001697	0.000000
akecmp	20	0.001833	0.000000
akecmp	21	0.001789	0.000000
akecmp	22	0.001861	0.000000
akecmp	23	0.001788	0.000000
akecmp	24	0.001772	0.000000
akecmp	25	0.001818	0.000000
akecmp	26	0.001727	0.000000
akecmp	27	0.001690	0.000000
akecmp	28	0.001858	0.000000
akecmp	29	0.001767	0.000000
akecmp	30	0.001668	0.000000
akecmp	31	0.001702	0.000000
akecmp	32	0.001849	0.000000
akecmp	33	0.001683	0.000000
akecmp	34	0.001890	0.000000
akecmp	35	0.001898	0.000000
akecmp	36	0.001843	0.000000
akecmp	37	0.001865	0.000000
akecmp	38	0.001902	0.000000
akecmp	39	0.001898	0.000000
akecmp	40	0.002059	0.000000
akecmp	41	0.002003	0.000000
akecmp	42	0.001996	0.000000
akecmp	43	0.002049	0.000000
akecmp	44	0.002190	0.000000
akecmp	45	0.002184	0.000000
akecmp	46	0.002344	0.000000
akecmp	47	0.002195	0.000000
akecmp	48	0.002058	0.000000
akecmp	49	0.002122	0.000000
akecmp	50	0.002236	0.000000
akecmp	51	0.002329	0.000000
akecmp	52	0.002560	0.000000
akecmp	53	0.002423	0.000000
akecmp	54	0.002211	0.000000
akecmp	55	0.002338	0.000000
akecmp	56	0.002555	0.000000
akecmp	57	0.002587	0.000000
akecmp	58	0.002621	0.000000
akecmp	59	0.002620	0.000000
akecmp	60	0.002530	0.000000
akecmp	61	0.002524	0.000000
akecmp	62	0.002575	0.000000
akecmp	63	0.002550	0.000000
akecmp	64	0.002626	0.000000
akecmp	65	0.002555	0.000000
akecmp	66	0.002546	0.000000
akecmp	67	0.002642	0.000000
akecmp	68	0.002585	0.000000
akecmp	69	0.002489	0.000000
akecmp	70	0.002626	0.000000
akecmp	71	0.002714	0.000000
akecmp	72	0.002610	0.000000
akecmp	73	0.002699	0.000000
akecmp	74	0.002677	0.000000
akecmp	75	0.002544	0.000000
akecmp	76	0.002671	0.000000
akecmp	77	0.002724	0.000000
akecmp	78	0.002360	0.000000
akecmp	79	0.002463	0.000000
akecmp	80	0.002586	0.000000
akecmp	81	0.002665	0.000000
akecmp	82	0.002743	0.000000
akecmp	83	0.002625	0.000000
akecmp	84	0.002436	0.000000
akecmp	85	0.002596	0.000000
akecmp	86	0.002728	0.000000
akecmp	87	0.002652	0.000000
akecmp	88	0.002837	0.000000
akecmp	89	0.002736	0.000000
akecmp	90	0.002695	0.000000
akecmp	91	0.002792	0.000000
akecmp	92	0.002702	0.000000
akecmp	93	0.002608	0.000000
akecmp	94	0.002696	0.000000
akecmp	95	0.002706	0.000000
akecmp	96	0.002591	0.000000
akecmp	97	0.002735	0.000000
akecmp	98	0.002739	0.000000
akecmp	99	0.002865	0.000000
akmcf	0	0.001987	0.000000
akmcf	1	0.002000	0.000000
akmcf	2	0.002163	0.000000
akmcf	3	0.002017	0.000000
akmcf	4	0.002232	0.000000
akmcf	5	0.002173	0.000000
akmcf	6	0.001876	0.000000
akmcf	7	0.001850	0.000000
akmcf	8	0.002062	0.000000
akmcf	9	0.002075	0.000000
akmcf	10	0.002197	0.000000
akmcf	11	0.002016	0.000000
akmcf	12	0.001901	0.000000
akmcf	13	0.001953	0.000000
akmcf	14	0.001975	0.000000
akmcf	15	0.002007	0.000000
akmcf	16	0.002116	0.000000
akmcf	17	0.001968	0.000000
akmcf	18	0.001901	0.000000
akmcf	19	0.001966	0.000000
akmcf	20	0.002123	0.000000
akmcf	21	0.002071	0.000000
akmcf	22	0.002155	0.000000
akmcf	23	0.002070	0.000000
akmcf	24	0.002053	0.000000
akmcf	25	0.002106	0.000000
akmcf	26	0.002001	0.000000
akmcf	27	0.001957	0.000000
akmcf	28	0.002150	0.000000
akmcf	29	0.002046	0.000000
akmcf	30	0.001931	0.000000
akmcf	31	0.001971	0.000000
akmcf	32	0.002138	0.000000
akmcf	33	0.001947	0.000000
akmcf	34	0.002188	0.000000
akmcf	35	0.002198	0.000000
