# solver	iter	.0.300000-congestion	stddev
akecmp	0	0.002972	0.000000
akecmp	1	0.002999	0.000000
akecmp	2	0.003245	0.000000
akecmp	3	0.003030	0.000000
akecmp	4	0.003365	0.000000
akecmp	5	0.003245	0.000000
akecmp	6	0.002801	0.000000
akecmp	7	0.002783	0.000000
akecmp	8	0.003089	0.000000
akecmp	9	0.003109	0.000000
akecmp	10	0.003291	0.000000
akecmp	11	0.003029	0.000000
akecmp	12	0.002867	0.000000
akecmp	13	0.002963	0.000000
akecmp	14	0.002968	0.000000
akecmp	15	0.003001	0.000000
akecmp	16	0.003174	0.000000
akecmp	17	0.002952	0.000000
akecmp	18	0.002852	0.000000
akecmp	19	0.002931	0.000000
akecmp	20	0.003188	0.000000
akecmp	21	0.003116	0.000000
akecmp	22	0.003267	0.000000
akecmp	23	0.003153	0.000000
akecmp	24	0.003112	0.000000
akecmp	25	0.003205	0.000000
akecmp	26	0.003043	0.000000
akecmp	27	0.002920	0.000000
akecmp	28	0.003206	0.000000
akecmp	29	0.003039	0.000000
akecmp	30	0.002888	0.000000
akecmp	31	0.002944	0.000000
akecmp	32	0.003170	0.000000
akecmp	33	0.002894	0.000000
akecmp	34	0.003229	0.000000
akecmp	35	0.003243	0.000000
akecmp	36	0.003149	0.000000
akecmp	37	0.003149	0.000000
akecmp	38	0.003225	0.000000
akecmp	39	0.003215	0.000000
akecmp	40	0.003475	0.000000
akecmp	41	0.003403	0.000000
akecmp	42	0.003385	0.000000
akecmp	43	0.003464	0.000000
akecmp	44	0.003701	0.000000
akecmp	45	0.003668	0.000000
akecmp	46	0.003970	0.000000
akecmp	47	0.003711	0.000000
akecmp	48	0.003482	0.000000
akecmp	49	0.003580	0.000000
akecmp	50	0.003783	0.000000
akecmp	51	0.003957	0.000000
akecmp	52	0.004349	0.000000
akecmp	53	0.004126	0.000000
akecmp	54	0.003784	0.000000
akecmp	55	0.004000	0.000000
akecmp	56	0.004366	0.000000
akecmp	57	0.004473	0.000000
akecmp	58	0.004473	0.000000
akecmp	59	0.004447	0.000000
akecmp	60	0.004311	0.000000
akecmp	61	0.004286	0.000000
akecmp	62	0.004366	0.000000
akecmp	63	0.004331	0.000000
akecmp	64	0.004521	0.000000
akecmp	65	0.004436	0.000000
akecmp	66	0.004412	0.000000
akecmp	67	0.004577	0.000000
akecmp	68	0.004490	0.000000
akecmp	69	0.004280	0.000000
akecmp	70	0.004525	0.000000
akecmp	71	0.004655	0.000000
akecmp	72	0.004460	0.000000
akecmp	73	0.004637	0.000000
akecmp	74	0.004599	0.000000
akecmp	75	0.004362	0.000000
akecmp	76	0.004586	0.000000
akecmp	77	0.004703	0.000000
akecmp	78	0.004062	0.000000
akecmp	79	0.004245	0.000000
akecmp	80	0.004435	0.000000
akecmp	81	0.004559	0.000000
akecmp	82	0.004671	0.000000
akecmp	83	0.004476	0.000000
akecmp	84	0.004167	0.000000
akecmp	85	0.004422	0.000000
akecmp	86	0.004668	0.000000
akecmp	87	0.004535	0.000000
akecmp	88	0.004810	0.000000
akecmp	89	0.004649	0.000000
akecmp	90	0.004555	0.000000
akecmp	91	0.004727	0.000000
akecmp	92	0.004622	0.000000
akecmp	93	0.004453	0.000000
akecmp	94	0.004606	0.000000
akecmp	95	0.004633	0.000000
akecmp	96	0.004516	0.000000
akecmp	97	0.004747	0.000000
akecmp	98	0.004732	0.000000
akecmp	99	0.004934	0.000000
akmcf	0	0.003151	0.000000
akmcf	1	0.003181	0.000000
akmcf	2	0.003428	0.000000
akmcf	3	0.003203	0.000000
akmcf	4	0.003561	0.000000
akmcf	5	0.003464	0.000000
akmcf	6	0.003011	0.000000
akmcf	7	0.002934	0.000000
akmcf	8	0.003271	0.000000
akmcf	9	0.003303	0.000000
akmcf	10	0.003458	0.000000
akmcf	11	0.003207	0.000000
akmcf	12	0.003040	0.000000
akmcf	13	0.003143	0.000000
akmcf	14	0.003159	0.000000
akmcf	15	0.003191	0.000000
akmcf	16	0.003384	0.000000
akmcf	17	0.003146	0.000000
akmcf	18	0.003034	0.000000
akmcf	19	0.003134	0.000000
akmcf	20	0.003359	0.000000
akmcf	21	0.003277	0.000000
akmcf	22	0.003422	0.000000
akmcf	23	0.003294	0.000000
akmcf	24	0.003256	0.000000
akmcf	25	0.003357	0.000000
akmcf	26	0.003192	0.000000
akmcf	27	0.003118	0.000000
akmcf	28	0.003436	0.000000
akmcf	29	0.003214	0.000000
akmcf	30	0.003045	0.000000
akmcf	31	0.003090	0.000000
akmcf	32	0.003334	0.000000
akmcf	33	0.003013	0.000000
akmcf	34	0.003397	0.000000
akmcf	35	0.003416	0.000000
akmcf	36	0.003320	0.000000
akmcf	37	0.003380	0.000000
akmcf	38	0.003466	0.000000
akmcf	39	0.003457	0.000000
akmcf	40	0.003722	0.000000
akmcf	41	0.003623	0.000000
akmcf	42	0.003620	0.000000
akmcf	43	0.003711	0.000000
akmcf	44	0.003965	0.000000
akmcf	45	0.003943	0.000000
akmcf	46	0.004187	0.000000
akmcf	47	0.003917	0.000000
akmcf	48	0.003715	0.000000
akmcf	49	0.003808	0.000000
akmcf	50	0.004025	0.000000
