# solver	iter	churn	stddev
akecmp	0	0.000000	0.000000
akecmp	1	0.000000	0.000000
akmcf	0	0.000000	0.000000
akmcf	1	0.000000	0.000000
akraeke	0	0.000000	0.000000
akraeke	1	0.000000	0.000000
akvlb	0	0.000000	0.000000
akvlb	1	0.000000	0.000000
ecmp	0	2051.000000	0.000000
ecmp	1	0.000000	0.000000
mcf	0	996.000000	0.000000
mcf	1	0.000000	0.000000
mwmcf	0	1291.000000	0.000000
mwmcf	1	0.000000	0.000000
raeke	0	669454.000000	0.000000
raeke	1	0.000000	0.000000
semimcfecmp	0	1.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfvlb	0	900.000000	0.000000
semimcfvlb	1	0.000000	0.000000
spf	0	871.000000	0.000000
spf	1	0.000000	0.000000
vlb	0	24582.000000	0.000000
vlb	1	0.000000	0.000000

