# solver	iter	time	stddev
akecmp	0	2.635168	0.000000
akecmp	1	2.704148	0.000000
akmcf	0	2.232126	0.000000
akmcf	1	2.263577	0.000000
akraeke	0	275.913107	0.000000
akraeke	1	233.201809	0.000000
akvlb	0	10.158050	0.000000
akvlb	1	10.184446	0.000000
ecmp	0	0.009623	0.000000
ecmp	1	0.009014	0.000000
mcf	0	35.857030	0.000000
mcf	1	23.319011	0.000000
mwmcf	0	0.026253	0.000000
mwmcf	1	0.000000	0.000000
raeke	0	33.376963	0.000000
raeke	1	0.000001	0.000000
semimcfecmp	0	0.054212	0.000000
semimcfecmp	1	0.052825	0.000000
semimcfmcf	0	0.140430	0.000000
semimcfmcf	1	0.085163	0.000000
semimcfraeke	0	3206.372799	0.000000
semimcfraeke	1	3032.097279	0.000000
semimcfvlb	0	1.808773	0.000000
semimcfvlb	1	2.454210	0.000000
spf	0	0.006690	0.000000
spf	1	0.006782	0.000000
vlb	0	0.061626	0.000000
vlb	1	0.062425	0.000000

