# solver	iter	.0.800000-congestion	stddev
akecmp	0	0.280653	0.000000
akecmp	1	0.280653	0.000000
akmcf	0	0.503177	0.000000
akmcf	1	0.503177	0.000000
akraeke	0	1.067307	0.000000
akraeke	1	1.067307	0.000000
akvlb	0	0.461005	0.000000
akvlb	1	0.461005	0.000000
ecmp	0	0.280653	0.000000
ecmp	1	0.280653	0.000000
mcf	0	0.459822	0.000000
mcf	1	0.459822	0.000000
mwmcf	0	0.232552	0.000000
mwmcf	1	0.232552	0.000000
raeke	0	1.074115	0.000000
raeke	1	1.074115	0.000000
semimcfecmp	0	0.260128	0.000000
semimcfecmp	1	0.260128	0.000000
semimcfmcf	0	0.488433	0.000000
semimcfmcf	1	0.488433	0.000000
semimcfraeke	0	0.503177	0.000000
semimcfraeke	1	0.503177	0.000000
semimcfvlb	0	0.431428	0.000000
semimcfvlb	1	0.431428	0.000000
spf	0	0.086709	0.000000
spf	1	0.086709	0.000000
vlb	0	0.419095	0.000000
vlb	1	0.419095	0.000000

