# solver	iter	num_paths	stddev
akecmp	0	2080.000000	0.000000
akecmp	1	2080.000000	0.000000
akmcf	0	999.000000	0.000000
akmcf	1	999.000000	0.000000
akraeke	0	670380.000000	0.000000
akraeke	1	670380.000000	0.000000
akvlb	0	24209.000000	0.000000
akvlb	1	24209.000000	0.000000
ecmp	0	2080.000000	0.000000
ecmp	1	2080.000000	0.000000
mcf	0	162.000000	0.000000
mcf	1	162.000000	0.000000
mwmcf	0	900.000000	0.000000
mwmcf	1	900.000000	0.000000
raeke	0	652938.000000	0.000000
raeke	1	652938.000000	0.000000
semimcfecmp	0	2050.000000	0.000000
semimcfecmp	1	2050.000000	0.000000
semimcfmcf	0	999.000000	0.000000
semimcfmcf	1	999.000000	0.000000
semimcfraeke	0	658644.000000	0.000000
semimcfraeke	1	658644.000000	0.000000
semimcfvlb	0	23339.000000	0.000000
semimcfvlb	1	23339.000000	0.000000
spf	0	900.000000	0.000000
spf	1	900.000000	0.000000
vlb	0	24193.000000	0.000000
vlb	1	24180.000000	0.000000

