# solver	iter	time	stddev
akecmp	0	2.231744	0.000000
akecmp	1	2.306589	0.000000
akmcf	0	1.868830	0.000000
akmcf	1	1.930190	0.000000
akraeke	0	200.291854	0.000000
akraeke	1	200.333696	0.000000
akvlb	0	8.534918	0.000000
akvlb	1	8.546594	0.000000
ecmp	0	0.007949	0.000000
ecmp	1	0.007200	0.000000
mcf	0	6.642777	0.000000
mcf	1	5.987119	0.000000
mwmcf	0	0.010748	0.000000
mwmcf	1	0.000000	0.000000
raeke	0	25.819211	0.000000
raeke	1	0.000000	0.000000
semimcfecmp	0	0.048589	0.000000
semimcfecmp	1	0.049766	0.000000
semimcfmcf	0	0.029098	0.000000
semimcfmcf	1	0.029181	0.000000
semimcfraeke	0	2521.447602	0.000000
semimcfraeke	1	2353.445119	0.000000
semimcfvlb	0	1.048665	0.000000
semimcfvlb	1	1.054625	0.000000
spf	0	0.012194	0.000000
spf	1	0.005762	0.000000
vlb	0	0.522592	0.000000
vlb	1	0.531007	0.000000

