# solver	iter	edge-exp-congestion
semimcfraeke	0	
		(s1,s2) : 0.0155412983869
		(s1,h1) : 0.00426818123079
		(s2,s1) : 0.0426818123079
		(s2,s5) : 0.633392521345
		(s2,s6) : 0.515986918815
		(s2,s12) : 0.617750090837
		(s2,h2) : 0.0492599031394
		(s3,s6) : 0.610331971098
		(s3,s9) : 0.25451085887
		(s3,h3) : 0.0776475925098
		(s4,s7) : 0.269535517267
		(s4,s10) : 0.307031696864
		(s4,s11) : 0.132790308681
		(s4,h4) : 0.0208343145496
		(s5,s2) : 0.702048969589
		(s5,s7) : 0.5149763847
		(s5,s8) : 0.464831266596
		(s5,h5) : 0.0203159429386
		(s6,s2) : 0.433507958789
		(s6,s3) : 0.615199837032
		(s6,s7) : 0.699530480703
		(s6,h6) : 0.0448596553325
		(s7,s4) : 0.511141050728
		(s7,s5) : 0.392890507467
		(s7,s6) : 0.546290886317
		(s7,h7) : 0.018235716392
		(s8,s5) : 0.593430042877
		(s8,s10) : 0.108205230819
		(s8,h8) : 0.0586518662287
		(s9,s3) : 0.8
		(s9,s12) : 0.444231484257
		(s9,h9) : 0.0609842454735
		(s10,s4) : 0.0771298254177
		(s10,s8) : 0.326839037438
		(s10,s11) : 0.131287979733
		(s10,h10) : 0.00973020411354
		(s11,s4) : 0.12260646815
		(s11,s10) : 0.138869229834
		(s11,h11) : 0.0200556415744
		(s12,s2) : 0.8
		(s12,s9) : 0.745413476441
		(s12,h12) : 0.0628411787635
		(h1,s1) : 0.00155412983869
		(h2,s2) : 0.0351312147934
		(h3,s3) : 0.0226118918034
		(h4,s4) : 0.0206823324013
		(h5,s5) : 0.0265302978582
		(h6,s6) : 0.052422505362
		(h7,s7) : 0.0148637225761
		(h8,s8) : 0.0496483631949
		(h9,s9) : 0.0854149603681
		(h10,s10) : 0.00784527262068
		(h11,s11) : 0.0197953825314
		(h12,s12) : 0.111184368898
semimcfraeke	1	
		(s1,s2) : 0.0155823943931
		(s1,h1) : 0.00606871958081
		(s2,s1) : 0.0606871958081
		(s2,s5) : 0.73467586118
		(s2,s6) : 0.404335569122
		(s2,s12) : 0.638780379515
		(s2,h2) : 0.0458284814812
		(s3,s6) : 0.637452555259
		(s3,s9) : 0.214589346313
		(s3,h3) : 0.0694913452947
		(s4,s7) : 0.372670709416
		(s4,s10) : 0.148413435486
		(s4,s11) : 0.162919994978
		(s4,h4) : 0.0204426059859
		(s5,s2) : 0.541286082762
		(s5,s7) : 0.422407520678
		(s5,s8) : 0.650200591248
		(s5,h5) : 0.0193712690224
		(s6,s2) : 0.623708659812
		(s6,s3) : 0.514031394429
		(s6,s7) : 0.523529275625
		(s6,h6) : 0.0432569541166
		(s7,s4) : 0.317993483268
		(s7,s5) : 0.445076629895
		(s7,s6) : 0.543439621062
		(s7,h7) : 0.0177458312556
		(s8,s5) : 0.50303971189
		(s8,s10) : 0.318576312004
		(s8,h8) : 0.0551505123571
		(s9,s3) : 0.800154981508
		(s9,s12) : 0.467459208408
		(s9,h9) : 0.0602153671718
		(s10,s4) : 0.23799820977
		(s10,s8) : 0.207826411181
		(s10,s11) : 0.0964729606465
		(s10,h10) : 0.00977967704218
		(s11,s4) : 0.132613320019
		(s11,s10) : 0.100082003627
		(s11,h11) : 0.0217232673719
		(s12,s2) : 0.800154981507
		(s12,s9) : 0.800154981507
		(s12,h12) : 0.0642121320548
		(h1,s1) : 0.00155823943931
		(h2,s2) : 0.0316031701963
		(h3,s3) : 0.0232768978581
		(h4,s4) : 0.0199825186681
		(h5,s5) : 0.0124814681946
		(h6,s6) : 0.050861112559
		(h7,s7) : 0.0165360541061
		(h8,s8) : 0.0515094145036
		(h9,s9) : 0.0855023533814
		(h10,s10) : 0.00730226009019
		(h11,s11) : 0.0190535041742
		(h12,s12) : 0.113619169564
semimcfraeke	2	
		(s1,s2) : 0.0136031124639
		(s1,h1) : 0.00585744088477
		(s2,s1) : 0.0585744088477
		(s2,s5) : 0.577498092292
		(s2,s6) : 0.548476325506
		(s2,s12) : 0.682967032572
		(s2,h2) : 0.0443971966992
		(s3,s6) : 0.636922999668
		(s3,s9) : 0.238152804351
		(s3,h3) : 0.0738572747945
		(s4,s7) : 0.312845164599
		(s4,s10) : 0.422166868087
		(s4,s11) : 0.181587191929
		(s4,h4) : 0.0199708709895
		(s5,s2) : 0.729316532441
		(s5,s7) : 0.380933859199
		(s5,s8) : 0.412226308222
		(s5,h5) : 0.0242772102392
		(s6,s2) : 0.429368267625
		(s6,s3) : 0.57271449979
		(s6,s7) : 0.74490913961
		(s6,h6) : 0.0436142408544
		(s7,s4) : 0.592683149023
		(s7,s5) : 0.364361768381
		(s7,s6) : 0.486095413801
		(s7,h7) : 0.0159291436125
		(s8,s5) : 0.600486432047
		(s8,s10) : 0.200781994708
		(s8,h8) : 0.0623248928101
		(s9,s3) : 0.808728923486
		(s9,s12) : 0.429457628065
		(s9,h9) : 0.0636295284372
		(s10,s4) : 0.176220428995
		(s10,s8) : 0.445265728306
		(s10,s11) : 0.137413164449
		(s10,h10) : 0.00830139021074
		(s11,s4) : 0.117812463499
		(s11,s10) : 0.164445148465
		(s11,h11) : 0.0234522499122
		(s12,s2) : 0.808728923487
		(s12,s9) : 0.808728923486
		(s12,h12) : 0.0678779490543
		(h1,s1) : 0.00136031124639
		(h2,s2) : 0.0330470990192
		(h3,s3) : 0.0232205128688
		(h4,s4) : 0.0229591892995
		(h5,s5) : 0.0222902509534
		(h6,s6) : 0.0511639576595
		(h7,s7) : 0.0163743603921
		(h8,s8) : 0.0567025318328
		(h9,s9) : 0.0827600108086
		(h10,s10) : 0.00545192125964
		(h11,s11) : 0.0197779754708
		(h12,s12) : 0.118381267688
semimcfraeke	3	
		(s1,s2) : 0.0110158301176
		(s1,h1) : 0.00612747612285
		(s2,s1) : 0.0612747612285
		(s2,s5) : 0.190670795429
		(s2,s6) : 0.321280520454
		(s2,h2) : 0.0448696176979
		(s3,s6) : 1.37912060035
		(s3,s9) : 0.909335483444
		(s3,h3) : 0.0762323994938
		(s4,s7) : 0.465638242815
		(s4,s10) : 0.119339725619
		(s4,s11) : 0.263450469926
		(s4,h4) : 0.0213401238182
		(s5,s2) : 0.235153664272
		(s5,s7) : 0.534757707697
		(s5,s8) : 0.56470167902
		(s5,h5) : 0.0193658925471
		(s6,s2) : 0.434653086863
		(s6,s3) : 1.18589017381
		(s6,s7) : 0.891594332857
		(s6,h6) : 0.0485272484976
		(s7,s4) : 0.428214865492
		(s7,s5) : 0.62563716096
		(s7,s6) : 0.835297939266
		(s7,h7) : 0.0163769053525
		(s8,s5) : 0.58113623508
		(s8,s10) : 0.2577171661
		(s8,h8) : 0.048127456555
		(s9,s3) : 1.6430279741
		(s9,s12) : 0.694407618565
		(s9,h9) : 0.0642669229281
		(s10,s4) : 0.152957079385
		(s10,s8) : 0.16831334293
		(s10,s11) : 0.147989541521
		(s10,h10) : 0.00823374066481
		(s11,s4) : 0.264834799187
		(s11,s10) : 0.124726713716
		(s11,h11) : 0.0223452269098
		(s12,s9) : 1.2372575126
		(s12,h12) : 0.0694407618565
		(h1,s1) : 0.00110158301176
		(h2,s2) : 0.0341099672837
		(h3,s3) : 0.0221861930819
		(h4,s4) : 0.0215822932477
		(h5,s5) : 0.013082778499
		(h6,s6) : 0.0461711018437
		(h7,s7) : 0.0160928735874
		(h8,s8) : 0.0587112944781
		(h9,s9) : 0.0833511825906
		(h10,s10) : 0.00498137650488
		(h11,s11) : 0.0201573770554
		(h12,s12) : 0.12372575126
semimcfraeke	4	
		(s1,s2) : 0.0113716766508
		(s1,h1) : 0.00565783099429
		(s2,s1) : 0.0565783099429
		(s2,s5) : 0.173967118298
		(s2,s6) : 0.417273758424
		(s2,h2) : 0.0470193938312
		(s3,s6) : 1.33667773946
		(s3,s9) : 0.854996106693
		(s3,h3) : 0.0783968558322
		(s4,s7) : 0.413764569029
		(s4,s10) : 0.0892233099084
		(s4,s11) : 0.235144217596
		(s4,h4) : 0.0203248233463
		(s5,s2) : 0.357111422791
		(s5,s7) : 0.566883769067
		(s5,s8) : 0.5935199106
		(s5,h5) : 0.0177225713814
		(s6,s2) : 0.423366243928
		(s6,s3) : 1.15329507855
		(s6,s7) : 0.909708493039
		(s6,h6) : 0.0456548018368
		(s7,s4) : 0.442590192245
		(s7,s5) : 0.726283497809
		(s7,s6) : 0.719808644728
		(s7,h7) : 0.0170337763383
		(s8,s5) : 0.658085279502
		(s8,s10) : 0.199178084217
		(s8,h8) : 0.0471826835897
		(s9,s3) : 1.60743030497
		(s9,s12) : 0.638689984199
		(s9,h9) : 0.0609794279091
		(s10,s4) : 0.0827749226416
		(s10,s8) : 0.188435116594
		(s10,s11) : 0.114244668221
		(s10,h10) : 0.00721422825152
		(s11,s4) : 0.193352319399
		(s11,s10) : 0.123167322183
		(s11,h11) : 0.0229077641712
		(s12,s9) : 1.18611275285
		(s12,h12) : 0.0638689984199
		(h1,s1) : 0.00113716766508
		(h2,s2) : 0.0326163781606
		(h3,s3) : 0.0214917020964
		(h4,s4) : 0.0222662895711
		(h5,s5) : 0.0136404920663
		(h6,s6) : 0.0469157691267
		(h7,s7) : 0.0168663267029
		(h8,s8) : 0.0547135172422
		(h9,s9) : 0.0814805708715
		(h10,s10) : 0.00460282736629
		(h11,s11) : 0.0196208397477
		(h12,s12) : 0.118611275285

