#solver	iter	latency-throughput
semimcfraeke	0	
		1. : 0.216198218268
		2. : 0.470221884995
		3. : 0.700890903321
		4. : 0.865790745956
		5. : 0.939567474851
		6. : 1.
		7. : 1.
semimcfraeke	1	
		1. : 0.20112693536
		2. : 0.425952675547
		3. : 0.647539035657
		4. : 0.895542372357
		5. : 0.965186746881
		6. : 0.9944212294
		7. : 1.
semimcfraeke	2	
		1. : 0.16521095137
		2. : 0.321248135785
		3. : 0.472756445988
		4. : 0.62230514444
		5. : 0.739980842075
		6. : 0.8013987661
		7. : 0.805772082126
		8. : 0.806138227335
		9. : 0.806361171437
		10. : 0.807526429786
		11. : 0.807526429786
semimcfraeke	3	
		1. : 0.152362253635
		2. : 0.283081180447
		3. : 0.423369225373
		4. : 0.57927952623
		5. : 0.69193955859
		6. : 0.758926363444
		7. : 0.770674717359
		8. : 0.773670586166
		9. : 0.783894386912
		10. : 0.787540291915
		11. : 0.79214118278
semimcfraeke	4	
		1. : 0.157921111418
		2. : 0.270410958413
		3. : 0.425990033355
		4. : 0.58070204582
		5. : 0.704898888892
		6. : 0.782676855998
		7. : 0.793537300329
		8. : 0.800718688526
		9. : 0.806289163965
		10. : 0.807746874021
		11. : 0.807746874021

