# solver	iter	max-congestion	stddev
spf	0	0.546398	0.000000
spf	1	0.555489	0.000000
spf	2	0.572429	0.000000
spf	3	0.560038	0.000000
spf	4	0.540498	0.000000
spf	5	0.516459	0.000000
spf	6	0.519021	0.000000
spf	7	0.506457	0.000000
spf	8	0.509054	0.000000
spf	9	0.504339	0.000000
spf	10	0.499914	0.000000
spf	11	0.507441	0.000000
spf	12	0.523902	0.000000
spf	13	0.540892	0.000000
spf	14	0.546960	0.000000
spf	15	0.527352	0.000000
spf	16	0.541980	0.000000
spf	17	0.564704	0.000000
spf	18	0.522826	0.000000
spf	19	0.488543	0.000000
spf	20	0.537510	0.000000
spf	21	0.545124	0.000000
spf	22	0.553789	0.000000
spf	23	0.510686	0.000000
spf	24	0.509021	0.000000
spf	25	0.533029	0.000000
spf	26	0.546817	0.000000
spf	27	0.565317	0.000000
spf	28	0.568350	0.000000
spf	29	0.531193	0.000000
spf	30	0.509376	0.000000
spf	31	0.531838	0.000000
spf	32	0.566128	0.000000
spf	33	0.534222	0.000000
spf	34	0.574671	0.000000
spf	35	0.528507	0.000000

