# solver	iter	total-throughput	stddev
spf	0	1.000000	0.000000
spf	1	1.000000	0.000000
spf	2	1.000000	0.000000
spf	3	1.000000	0.000000
spf	4	1.000000	0.000000
spf	5	1.000000	0.000000
spf	6	1.000000	0.000000
spf	7	1.000000	0.000000
spf	8	1.000000	0.000000
spf	9	1.000000	0.000000
spf	10	1.000000	0.000000
spf	11	1.000000	0.000000
spf	12	1.000000	0.000000
spf	13	1.000000	0.000000
spf	14	1.000000	0.000000
spf	15	1.000000	0.000000
spf	16	1.000000	0.000000
spf	17	1.000000	0.000000
spf	18	1.000000	0.000000
spf	19	1.000000	0.000000
spf	20	1.000000	0.000000
spf	21	1.000000	0.000000
spf	22	1.000000	0.000000
spf	23	1.000000	0.000000
spf	24	1.000000	0.000000
spf	25	1.000000	0.000000
spf	26	1.000000	0.000000
spf	27	1.000000	0.000000
spf	28	1.000000	0.000000
spf	29	1.000000	0.000000
spf	30	1.000000	0.000000
spf	31	1.000000	0.000000
spf	32	1.000000	0.000000
spf	33	1.000000	0.000000
spf	34	1.000000	0.000000
spf	35	1.000000	0.000000

