# solver	iter	.0.300000-exp-congestion	stddev
spf	0	0.000276	0.000000
spf	1	0.000282	0.000000
spf	2	0.000284	0.000000
spf	3	0.000267	0.000000
spf	4	0.000261	0.000000
spf	5	0.000274	0.000000
spf	6	0.000283	0.000000
spf	7	0.000280	0.000000
spf	8	0.000265	0.000000
spf	9	0.000257	0.000000
spf	10	0.000252	0.000000
spf	11	0.000265	0.000000
spf	12	0.000276	0.000000
spf	13	0.000277	0.000000
spf	14	0.000267	0.000000
spf	15	0.000258	0.000000
spf	16	0.000285	0.000000
spf	17	0.000283	0.000000
spf	18	0.000292	0.000000
spf	19	0.000265	0.000000
spf	20	0.000275	0.000000
spf	21	0.000288	0.000000
spf	22	0.000304	0.000000
spf	23	0.000280	0.000000
spf	24	0.000278	0.000000
spf	25	0.000269	0.000000
spf	26	0.000282	0.000000
spf	27	0.000291	0.000000
spf	28	0.000300	0.000000
spf	29	0.000280	0.000000
spf	30	0.000271	0.000000
spf	31	0.000280	0.000000
spf	32	0.000294	0.000000
spf	33	0.000299	0.000000
spf	34	0.000287	0.000000
spf	35	0.000273	0.000000

