# solver	iter	.0.500000-congestion	stddev
spf	0	0.029438	0.000000
spf	1	0.033751	0.000000
spf	2	0.030780	0.000000
spf	3	0.031299	0.000000
spf	4	0.029453	0.000000
spf	5	0.020596	0.000000
spf	6	0.025254	0.000000
spf	7	0.024230	0.000000
spf	8	0.022894	0.000000
spf	9	0.022014	0.000000
spf	10	0.023841	0.000000
spf	11	0.024288	0.000000
spf	12	0.022064	0.000000
spf	13	0.023231	0.000000
spf	14	0.025822	0.000000
spf	15	0.024806	0.000000
spf	16	0.023991	0.000000
spf	17	0.021690	0.000000
spf	18	0.024247	0.000000
spf	19	0.026611	0.000000
spf	20	0.027243	0.000000
spf	21	0.025799	0.000000
spf	22	0.026422	0.000000
spf	23	0.024335	0.000000
spf	24	0.027739	0.000000
spf	25	0.027435	0.000000
spf	26	0.026579	0.000000
spf	27	0.028505	0.000000
spf	28	0.025568	0.000000
spf	29	0.023425	0.000000
spf	30	0.027406	0.000000
spf	31	0.030025	0.000000
spf	32	0.027537	0.000000
spf	33	0.030763	0.000000
spf	34	0.031441	0.000000
spf	35	0.028632	0.000000

