# solver	iter	churn	stddev
ecmp	0	168.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	34.000000	0.000000
ecmp	3	104.000000	0.000000
ecmp	4	104.000000	0.000000
ecmp	5	104.000000	0.000000
ecmp	6	104.000000	0.000000
ecmp	7	104.000000	0.000000
ecmp	8	104.000000	0.000000
ecmp	9	104.000000	0.000000
ksp	0	389.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	87.000000	0.000000
ksp	3	274.000000	0.000000
ksp	4	274.000000	0.000000
ksp	5	274.000000	0.000000
ksp	6	274.000000	0.000000
ksp	7	274.000000	0.000000
ksp	8	274.000000	0.000000
ksp	9	274.000000	0.000000
mcf	0	137.000000	0.000000
mcf	1	59.000000	0.000000
mcf	2	184.000000	0.000000
mcf	3	203.000000	0.000000
mcf	4	189.000000	0.000000
mcf	5	226.000000	0.000000
mcf	6	210.000000	0.000000
mcf	7	234.000000	0.000000
mcf	8	229.000000	0.000000
mcf	9	212.000000	0.000000
mwmcf	0	132.000000	0.000000
mwmcf	1	0.000000	0.000000
mwmcf	2	26.000000	0.000000
mwmcf	3	26.000000	0.000000
mwmcf	4	26.000000	0.000000
mwmcf	5	26.000000	0.000000
mwmcf	6	26.000000	0.000000
mwmcf	7	26.000000	0.000000
mwmcf	8	26.000000	0.000000
mwmcf	9	26.000000	0.000000
raeke	0	389.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	106.000000	0.000000
raeke	3	308.000000	0.000000
raeke	4	326.000000	0.000000
raeke	5	318.000000	0.000000
raeke	6	369.000000	0.000000
raeke	7	371.000000	0.000000
raeke	8	353.000000	0.000000
raeke	9	380.000000	0.000000
semimcfecmp	0	168.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	34.000000	0.000000
semimcfecmp	3	104.000000	0.000000
semimcfecmp	4	104.000000	0.000000
semimcfecmp	5	104.000000	0.000000
semimcfecmp	6	104.000000	0.000000
semimcfecmp	7	104.000000	0.000000
semimcfecmp	8	104.000000	0.000000
semimcfecmp	9	104.000000	0.000000
semimcfksp	0	389.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	87.000000	0.000000
semimcfksp	3	274.000000	0.000000
semimcfksp	4	274.000000	0.000000
semimcfksp	5	274.000000	0.000000
semimcfksp	6	274.000000	0.000000
semimcfksp	7	274.000000	0.000000
semimcfksp	8	274.000000	0.000000
semimcfksp	9	274.000000	0.000000
semimcfmcf	0	132.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	94.000000	0.000000
semimcfmcf	3	224.000000	0.000000
semimcfmcf	4	224.000000	0.000000
semimcfmcf	5	224.000000	0.000000
semimcfmcf	6	224.000000	0.000000
semimcfmcf	7	224.000000	0.000000
semimcfmcf	8	224.000000	0.000000
semimcfmcf	9	224.000000	0.000000
semimcfraeke	0	392.000000	0.000000
semimcfraeke	1	138.000000	0.000000
semimcfraeke	2	333.000000	0.000000
semimcfraeke	3	486.000000	0.000000
semimcfraeke	4	466.000000	0.000000
semimcfraeke	5	458.000000	0.000000
semimcfraeke	6	446.000000	0.000000
semimcfraeke	7	447.000000	0.000000
semimcfraeke	8	460.000000	0.000000
semimcfraeke	9	501.000000	0.000000
semimcfvlb	0	376.000000	0.000000
semimcfvlb	1	52.000000	0.000000
semimcfvlb	2	200.000000	0.000000
semimcfvlb	3	416.000000	0.000000
semimcfvlb	4	371.000000	0.000000
semimcfvlb	5	394.000000	0.000000
semimcfvlb	6	382.000000	0.000000
semimcfvlb	7	414.000000	0.000000
semimcfvlb	8	403.000000	0.000000
semimcfvlb	9	397.000000	0.000000
spf	0	132.000000	0.000000
spf	1	0.000000	0.000000
spf	2	26.000000	0.000000
spf	3	78.000000	0.000000
spf	4	78.000000	0.000000
spf	5	78.000000	0.000000
spf	6	78.000000	0.000000
spf	7	78.000000	0.000000
spf	8	78.000000	0.000000
spf	9	78.000000	0.000000
vlb	0	375.000000	0.000000
vlb	1	84.000000	0.000000
vlb	2	189.000000	0.000000
vlb	3	312.000000	0.000000
vlb	4	319.000000	0.000000
vlb	5	320.000000	0.000000
vlb	6	319.000000	0.000000
vlb	7	298.000000	0.000000
vlb	8	309.000000	0.000000
vlb	9	330.000000	0.000000

