# solver	iter	failure-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.121408	0.000000
ecmp	3	0.121422	0.000000
ecmp	4	0.118308	0.000000
ecmp	5	0.118432	0.000000
ecmp	6	0.114600	0.000000
ecmp	7	0.115736	0.000000
ecmp	8	0.116398	0.000000
ecmp	9	0.116825	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.075466	0.000000
ksp	3	0.076439	0.000000
ksp	4	0.075378	0.000000
ksp	5	0.074424	0.000000
ksp	6	0.071761	0.000000
ksp	7	0.073338	0.000000
ksp	8	0.072417	0.000000
ksp	9	0.074477	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.106193	0.000000
mcf	3	0.111976	0.000000
mcf	4	0.115059	0.000000
mcf	5	0.109128	0.000000
mcf	6	0.105723	0.000000
mcf	7	0.108278	0.000000
mcf	8	0.102421	0.000000
mcf	9	0.111780	0.000000
mwmcf	0	0.000000	0.000000
mwmcf	1	0.000000	0.000000
mwmcf	2	0.332541	0.000000
mwmcf	3	0.332612	0.000000
mwmcf	4	0.324252	0.000000
mwmcf	5	0.324347	0.000000
mwmcf	6	0.313738	0.000000
mwmcf	7	0.316637	0.000000
mwmcf	8	0.318467	0.000000
mwmcf	9	0.319809	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.040824	0.000000
raeke	3	0.041988	0.000000
raeke	4	0.044261	0.000000
raeke	5	0.046716	0.000000
raeke	6	0.050550	0.000000
raeke	7	0.051316	0.000000
raeke	8	0.044905	0.000000
raeke	9	0.048429	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.121045	0.000000
semimcfecmp	3	0.121057	0.000000
semimcfecmp	4	0.117975	0.000000
semimcfecmp	5	0.118114	0.000000
semimcfecmp	6	0.114199	0.000000
semimcfecmp	7	0.115342	0.000000
semimcfecmp	8	0.116036	0.000000
semimcfecmp	9	0.116435	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.058821	0.000000
semimcfksp	3	0.058946	0.000000
semimcfksp	4	0.057215	0.000000
semimcfksp	5	0.056975	0.000000
semimcfksp	6	0.056790	0.000000
semimcfksp	7	0.055184	0.000000
semimcfksp	8	0.057450	0.000000
semimcfksp	9	0.056772	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.114696	0.000000
semimcfmcf	3	0.114861	0.000000
semimcfmcf	4	0.114966	0.000000
semimcfmcf	5	0.112597	0.000000
semimcfmcf	6	0.112997	0.000000
semimcfmcf	7	0.110823	0.000000
semimcfmcf	8	0.112447	0.000000
semimcfmcf	9	0.114420	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.055475	0.000000
semimcfraeke	3	0.070832	0.000000
semimcfraeke	4	0.061672	0.000000
semimcfraeke	5	0.051135	0.000000
semimcfraeke	6	0.048551	0.000000
semimcfraeke	7	0.059195	0.000000
semimcfraeke	8	0.058869	0.000000
semimcfraeke	9	0.056497	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.068513	0.000000
semimcfvlb	3	0.075554	0.000000
semimcfvlb	4	0.070045	0.000000
semimcfvlb	5	0.066584	0.000000
semimcfvlb	6	0.065333	0.000000
semimcfvlb	7	0.063159	0.000000
semimcfvlb	8	0.058800	0.000000
semimcfvlb	9	0.073571	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.121045	0.000000
spf	3	0.121057	0.000000
spf	4	0.117975	0.000000
spf	5	0.118114	0.000000
spf	6	0.114199	0.000000
spf	7	0.115342	0.000000
spf	8	0.116036	0.000000
spf	9	0.116435	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.073070	0.000000
vlb	3	0.062564	0.000000
vlb	4	0.072448	0.000000
vlb	5	0.068316	0.000000
vlb	6	0.071057	0.000000
vlb	7	0.071879	0.000000
vlb	8	0.068662	0.000000
vlb	9	0.073182	0.000000

