#solver	iter	latency-throughput
ecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
ecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
ecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.617031386724
		4. : 0.739446466238
		5. : 0.819675250156
		6. : 0.871967078462
ecmp	3	
		1. : 0.229918779481
		2. : 0.467063167088
		3. : 0.619889540299
		4. : 0.744129669107
		5. : 0.821054826205
		6. : 0.872041968524
ecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.626176187867
		4. : 0.751944392426
		5. : 0.826963846227
		6. : 0.875357824
ecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.629041278696
		4. : 0.74966231902
		5. : 0.826525003884
		6. : 0.875210202663
ecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.640491336229
		4. : 0.76040723196
		5. : 0.834058407891
		6. : 0.879284218096
ecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.635093612422
		4. : 0.75505693001
		5. : 0.831106542069
		6. : 0.878116817083
ecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.632395632688
		4. : 0.751772446984
		5. : 0.829445273718
		6. : 0.877345979343
ecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.628423945625
		4. : 0.751885002353
		5. : 0.829242043514
		6. : 0.876972568782
ksp	0	
		1. : 0.0981169519731
		2. : 0.220452986567
		3. : 0.413072014264
		4. : 0.684300868684
		5. : 0.898222582467
		6. : 0.999583116004
		7. : 1.
ksp	1	
		1. : 0.0975051180457
		2. : 0.217479728636
		3. : 0.40676692433
		4. : 0.675260754068
		5. : 0.894407652615
		6. : 0.999611580385
		7. : 1.
ksp	2	
		1. : 0.156912277394
		2. : 0.294461879271
		3. : 0.447592623853
		4. : 0.611930841975
		5. : 0.76216073213
		6. : 0.857317874641
		7. : 0.893553750325
		8. : 0.911743342917
		9. : 0.922115756685
		10. : 0.922779654641
ksp	3	
		1. : 0.164368631398
		2. : 0.306004270012
		3. : 0.457362793202
		4. : 0.617629129448
		5. : 0.760784682817
		6. : 0.855731554658
		7. : 0.891616150954
		8. : 0.909889644443
		9. : 0.92138491948
		10. : 0.922121062019
ksp	4	
		1. : 0.163498952612
		2. : 0.307474465467
		3. : 0.459431786255
		4. : 0.622078909922
		5. : 0.764635793681
		6. : 0.85760019343
		7. : 0.89268001285
		8. : 0.910879096585
		9. : 0.922503492436
		10. : 0.923188280228
ksp	5	
		1. : 0.159093406025
		2. : 0.300125268809
		3. : 0.457964320871
		4. : 0.622287300015
		5. : 0.767997968907
		6. : 0.860331263605
		7. : 0.894975278587
		8. : 0.91339732985
		9. : 0.923767595915
		10. : 0.924061691002
ksp	6	
		1. : 0.15566858819
		2. : 0.298226501779
		3. : 0.461309116141
		4. : 0.628803826117
		5. : 0.776008626503
		6. : 0.865811854772
		7. : 0.899315035019
		8. : 0.916696247055
		9. : 0.926509612988
		10. : 0.926746447604
ksp	7	
		1. : 0.158390139707
		2. : 0.299917571481
		3. : 0.460425643021
		4. : 0.624790943008
		5. : 0.772182503679
		6. : 0.863414220529
		7. : 0.897806575502
		8. : 0.915351075624
		9. : 0.925027191007
		10. : 0.92530948966
ksp	8	
		1. : 0.153321113003
		2. : 0.291417625718
		3. : 0.451749435163
		4. : 0.618569968364
		5. : 0.771630471028
		6. : 0.86451975667
		7. : 0.898948907897
		8. : 0.916348706361
		9. : 0.925639878053
		10. : 0.925891872322
ksp	9	
		1. : 0.162489103454
		2. : 0.303726370998
		3. : 0.456638155758
		4. : 0.620080016458
		5. : 0.767052886468
		6. : 0.860189849759
		7. : 0.895090970139
		8. : 0.913321598689
		9. : 0.923847785662
		10. : 0.924131366875
mcf	0	
		1. : 0.250237394853
		2. : 0.440141664852
		3. : 0.550111339845
		4. : 0.608258365469
		5. : 0.731174581249
		6. : 0.850153933142
		7. : 0.950181175313
		8. : 1.
mcf	1	
		1. : 0.246165833059
		2. : 0.435694248692
		3. : 0.553348262679
		4. : 0.614989263699
		5. : 0.695354137108
		6. : 0.85041470842
		7. : 0.936229338545
		8. : 1.
mcf	2	
		1. : 0.199819633612
		2. : 0.349374002582
		3. : 0.461940131507
		4. : 0.554360900755
		5. : 0.643947850783
		6. : 0.773052248721
		7. : 0.829920626998
		8. : 0.874709890203
		9. : 0.888459562401
mcf	3	
		1. : 0.209952398668
		2. : 0.356260184162
		3. : 0.474767368232
		4. : 0.572402451385
		5. : 0.670214629048
		6. : 0.775967462767
		7. : 0.824119149858
		8. : 0.873666772587
		9. : 0.884875394725
mcf	4	
		1. : 0.209817067494
