# solver	iter	mean-congestion	stddev
ecmp	0	0.105512	0.000000
ecmp	1	0.103092	0.000000
ecmp	2	0.109875	0.000000
ecmp	3	0.107072	0.000000
ecmp	4	0.104065	0.000000
ecmp	5	0.104487	0.000000
ecmp	6	0.107299	0.000000
ecmp	7	0.105764	0.000000
ecmp	8	0.107062	0.000000
ecmp	9	0.102310	0.000000
ksp	0	0.161094	0.000000
ksp	1	0.156824	0.000000
ksp	2	0.153892	0.000000
ksp	3	0.149793	0.000000
ksp	4	0.145713	0.000000
ksp	5	0.146570	0.000000
ksp	6	0.151042	0.000000
ksp	7	0.148238	0.000000
ksp	8	0.150705	0.000000
ksp	9	0.143349	0.000000
mcf	0	0.158337	0.000000
mcf	1	0.155173	0.000000
mcf	2	0.153101	0.000000
mcf	3	0.146443	0.000000
mcf	4	0.141974	0.000000
mcf	5	0.146130	0.000000
mcf	6	0.149841	0.000000
mcf	7	0.150331	0.000000
mcf	8	0.153256	0.000000
mcf	9	0.141230	0.000000
mwmcf	0	0.105512	0.000000
mwmcf	1	0.103092	0.000000
mwmcf	2	0.075913	0.000000
mwmcf	3	0.074146	0.000000
mwmcf	4	0.072843	0.000000
mwmcf	5	0.073196	0.000000
mwmcf	6	0.076178	0.000000
mwmcf	7	0.074904	0.000000
mwmcf	8	0.075545	0.000000
mwmcf	9	0.072125	0.000000
raeke	0	0.132375	0.000000
raeke	1	0.129309	0.000000
raeke	2	0.132574	0.000000
raeke	3	0.140412	0.000000
raeke	4	0.135781	0.000000
raeke	5	0.134244	0.000000
raeke	6	0.138186	0.000000
raeke	7	0.136007	0.000000
raeke	8	0.139841	0.000000
raeke	9	0.133216	0.000000
semimcfecmp	0	0.105512	0.000000
semimcfecmp	1	0.103092	0.000000
semimcfecmp	2	0.109926	0.000000
semimcfecmp	3	0.107123	0.000000
semimcfecmp	4	0.104110	0.000000
semimcfecmp	5	0.104531	0.000000
semimcfecmp	6	0.107351	0.000000
semimcfecmp	7	0.105816	0.000000
semimcfecmp	8	0.107112	0.000000
semimcfecmp	9	0.102362	0.000000
semimcfksp	0	0.129512	0.000000
semimcfksp	1	0.117715	0.000000
semimcfksp	2	0.136128	0.000000
semimcfksp	3	0.130060	0.000000
semimcfksp	4	0.128968	0.000000
semimcfksp	5	0.132655	0.000000
semimcfksp	6	0.133727	0.000000
semimcfksp	7	0.133379	0.000000
semimcfksp	8	0.130118	0.000000
semimcfksp	9	0.125921	0.000000
semimcfmcf	0	0.134447	0.000000
semimcfmcf	1	0.131877	0.000000
semimcfmcf	2	0.130187	0.000000
semimcfmcf	3	0.127388	0.000000
semimcfmcf	4	0.123370	0.000000
semimcfmcf	5	0.123587	0.000000
semimcfmcf	6	0.127073	0.000000
semimcfmcf	7	0.125419	0.000000
semimcfmcf	8	0.126953	0.000000
semimcfmcf	9	0.120694	0.000000
semimcfraeke	0	0.142332	0.000000
semimcfraeke	1	0.152465	0.000000
semimcfraeke	2	0.154592	0.000000
semimcfraeke	3	0.146113	0.000000
semimcfraeke	4	0.141619	0.000000
semimcfraeke	5	0.152159	0.000000
semimcfraeke	6	0.150592	0.000000
semimcfraeke	7	0.151387	0.000000
semimcfraeke	8	0.145545	0.000000
semimcfraeke	9	0.143820	0.000000
semimcfvlb	0	0.127229	0.000000
semimcfvlb	1	0.127243	0.000000
semimcfvlb	2	0.142294	0.000000
semimcfvlb	3	0.133068	0.000000
semimcfvlb	4	0.129830	0.000000
semimcfvlb	5	0.131337	0.000000
semimcfvlb	6	0.135353	0.000000
semimcfvlb	7	0.136851	0.000000
semimcfvlb	8	0.139595	0.000000
semimcfvlb	9	0.127514	0.000000
spf	0	0.105512	0.000000
spf	1	0.103092	0.000000
spf	2	0.109926	0.000000
spf	3	0.107123	0.000000
spf	4	0.104110	0.000000
spf	5	0.104531	0.000000
spf	6	0.107351	0.000000
spf	7	0.105816	0.000000
spf	8	0.107112	0.000000
spf	9	0.102362	0.000000
vlb	0	0.133349	0.000000
vlb	1	0.129369	0.000000
vlb	2	0.135601	0.000000
vlb	3	0.134899	0.000000
vlb	4	0.128423	0.000000
vlb	5	0.129070	0.000000
vlb	6	0.131173	0.000000
vlb	7	0.129019	0.000000
vlb	8	0.132086	0.000000
vlb	9	0.124885	0.000000

