# solver	iter	.0.100000-congestion	stddev
ecmp	0	0.304414	0.000000
ecmp	1	0.294752	0.000000
ecmp	2	0.461309	0.000000
ecmp	3	0.467922	0.000000
ecmp	4	0.450235	0.000000
ecmp	5	0.434363	0.000000
ecmp	6	0.446961	0.000000
ecmp	7	0.437011	0.000000
ecmp	8	0.434292	0.000000
ecmp	9	0.435576	0.000000
ksp	0	0.471398	0.000000
ksp	1	0.465690	0.000000
ksp	2	0.548059	0.000000
ksp	3	0.540980	0.000000
ksp	4	0.527558	0.000000
ksp	5	0.543084	0.000000
ksp	6	0.556110	0.000000
ksp	7	0.542958	0.000000
ksp	8	0.539204	0.000000
ksp	9	0.533466	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400077	0.000000
mcf	2	0.518114	0.000000
mcf	3	0.496843	0.000000
mcf	4	0.477189	0.000000
mcf	5	0.485624	0.000000
mcf	6	0.501532	0.000000
mcf	7	0.489645	0.000000
mcf	8	0.477930	0.000000
mcf	9	0.438511	0.000000
mwmcf	0	0.383601	0.000000
mwmcf	1	0.342767	0.000000
mwmcf	2	0.280964	0.000000
mwmcf	3	0.274651	0.000000
mwmcf	4	0.281771	0.000000
mwmcf	5	0.287812	0.000000
mwmcf	6	0.293517	0.000000
mwmcf	7	0.292405	0.000000
mwmcf	8	0.286880	0.000000
mwmcf	9	0.281527	0.000000
raeke	0	0.408712	0.000000
raeke	1	0.380424	0.000000
raeke	2	0.542852	0.000000
raeke	3	0.618629	0.000000
raeke	4	0.593056	0.000000
raeke	5	0.607223	0.000000
raeke	6	0.624091	0.000000
raeke	7	0.621269	0.000000
raeke	8	0.627501	0.000000
raeke	9	0.584577	0.000000
semimcfecmp	0	0.307083	0.000000
semimcfecmp	1	0.299787	0.000000
semimcfecmp	2	0.461831	0.000000
semimcfecmp	3	0.618629	0.000000
semimcfecmp	4	0.593056	0.000000
semimcfecmp	5	0.607092	0.000000
semimcfecmp	6	0.624403	0.000000
semimcfecmp	7	0.621163	0.000000
semimcfecmp	8	0.627780	0.000000
semimcfecmp	9	0.584352	0.000000
semimcfksp	0	0.400000	0.000000
semimcfksp	1	0.341507	0.000000
semimcfksp	2	0.523961	0.000000
semimcfksp	3	0.618629	0.000000
semimcfksp	4	0.593056	0.000000
semimcfksp	5	0.607092	0.000000
semimcfksp	6	0.624403	0.000000
semimcfksp	7	0.621163	0.000000
semimcfksp	8	0.627780	0.000000
semimcfksp	9	0.584352	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.400077	0.000000
semimcfmcf	2	0.528318	0.000000
semimcfmcf	3	0.618629	0.000000
semimcfmcf	4	0.593056	0.000000
semimcfmcf	5	0.607092	0.000000
semimcfmcf	6	0.639868	0.000000
semimcfmcf	7	0.621163	0.000000
semimcfmcf	8	0.627760	0.000000
semimcfmcf	9	0.584334	0.000000
semimcfraeke	0	0.368937	0.000000
semimcfraeke	1	0.400077	0.000000
semimcfraeke	2	0.538803	0.000000
semimcfraeke	3	0.618629	0.000000
semimcfraeke	4	0.593056	0.000000
semimcfraeke	5	0.606854	0.000000
semimcfraeke	6	0.625428	0.000000
semimcfraeke	7	0.620893	0.000000
semimcfraeke	8	0.627398	0.000000
semimcfraeke	9	0.584352	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.337815	0.000000
semimcfvlb	2	0.546600	0.000000
semimcfvlb	3	0.618629	0.000000
semimcfvlb	4	0.593056	0.000000
semimcfvlb	5	0.606993	0.000000
semimcfvlb	6	0.623827	0.000000
semimcfvlb	7	0.622085	0.000000
semimcfvlb	8	0.627799	0.000000
semimcfvlb	9	0.583425	0.000000
spf	0	0.383601	0.000000
spf	1	0.342767	0.000000
spf	2	0.461831	0.000000
spf	3	0.468841	0.000000
spf	4	0.450040	0.000000
spf	5	0.435155	0.000000
spf	6	0.447799	0.000000
spf	7	0.437884	0.000000
spf	8	0.435161	0.000000
spf	9	0.436530	0.000000
vlb	0	0.439978	0.000000
vlb	1	0.408377	0.000000
vlb	2	0.540425	0.000000
vlb	3	0.538504	0.000000
vlb	4	0.521888	0.000000
vlb	5	0.517438	0.000000
vlb	6	0.528810	0.000000
vlb	7	0.512222	0.000000
vlb	8	0.510770	0.000000
vlb	9	0.520505	0.000000

