# solver	iter	churn	stddev
ecmp	0	168.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	36.000000	0.000000
ecmp	4	36.000000	0.000000
ecmp	5	36.000000	0.000000
ecmp	6	36.000000	0.000000
ecmp	7	36.000000	0.000000
ecmp	8	36.000000	0.000000
ecmp	9	36.000000	0.000000
ksp	0	389.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.000000	0.000000
ksp	3	100.000000	0.000000
ksp	4	100.000000	0.000000
ksp	5	100.000000	0.000000
ksp	6	100.000000	0.000000
ksp	7	100.000000	0.000000
ksp	8	100.000000	0.000000
ksp	9	100.000000	0.000000
mcf	0	137.000000	0.000000
mcf	1	59.000000	0.000000
mcf	2	78.000000	0.000000
mcf	3	90.000000	0.000000
mcf	4	78.000000	0.000000
mcf	5	88.000000	0.000000
mcf	6	106.000000	0.000000
mcf	7	101.000000	0.000000
mcf	8	96.000000	0.000000
mcf	9	96.000000	0.000000
mwmcf	0	132.000000	0.000000
mwmcf	1	0.000000	0.000000
mwmcf	2	0.000000	0.000000
mwmcf	3	26.000000	0.000000
mwmcf	4	26.000000	0.000000
mwmcf	5	26.000000	0.000000
mwmcf	6	26.000000	0.000000
mwmcf	7	26.000000	0.000000
mwmcf	8	26.000000	0.000000
mwmcf	9	26.000000	0.000000
raeke	0	391.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000000	0.000000
raeke	3	105.000000	0.000000
raeke	4	105.000000	0.000000
raeke	5	105.000000	0.000000
raeke	6	105.000000	0.000000
raeke	7	105.000000	0.000000
raeke	8	105.000000	0.000000
raeke	9	105.000000	0.000000
semimcfecmp	0	168.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.000000	0.000000
semimcfecmp	3	36.000000	0.000000
semimcfecmp	4	36.000000	0.000000
semimcfecmp	5	36.000000	0.000000
semimcfecmp	6	36.000000	0.000000
semimcfecmp	7	36.000000	0.000000
semimcfecmp	8	36.000000	0.000000
semimcfecmp	9	36.000000	0.000000
semimcfksp	0	389.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.000000	0.000000
semimcfksp	3	100.000000	0.000000
semimcfksp	4	100.000000	0.000000
semimcfksp	5	100.000000	0.000000
semimcfksp	6	100.000000	0.000000
semimcfksp	7	100.000000	0.000000
semimcfksp	8	100.000000	0.000000
semimcfksp	9	100.000000	0.000000
semimcfmcf	0	132.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.000000	0.000000
semimcfmcf	3	36.000000	0.000000
semimcfmcf	4	36.000000	0.000000
semimcfmcf	5	36.000000	0.000000
semimcfmcf	6	36.000000	0.000000
semimcfmcf	7	36.000000	0.000000
semimcfmcf	8	36.000000	0.000000
semimcfmcf	9	36.000000	0.000000
semimcfraeke	0	392.000000	0.000000
semimcfraeke	1	128.000000	0.000000
semimcfraeke	2	120.000000	0.000000
semimcfraeke	3	111.000000	0.000000
semimcfraeke	4	160.000000	0.000000
semimcfraeke	5	116.000000	0.000000
semimcfraeke	6	188.000000	0.000000
semimcfraeke	7	208.000000	0.000000
semimcfraeke	8	202.000000	0.000000
semimcfraeke	9	199.000000	0.000000
semimcfvlb	0	375.000000	0.000000
semimcfvlb	1	58.000000	0.000000
semimcfvlb	2	56.000000	0.000000
semimcfvlb	3	105.000000	0.000000
semimcfvlb	4	141.000000	0.000000
semimcfvlb	5	109.000000	0.000000
semimcfvlb	6	148.000000	0.000000
semimcfvlb	7	158.000000	0.000000
semimcfvlb	8	142.000000	0.000000
semimcfvlb	9	146.000000	0.000000
spf	0	132.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.000000	0.000000
spf	3	26.000000	0.000000
spf	4	26.000000	0.000000
spf	5	26.000000	0.000000
spf	6	26.000000	0.000000
spf	7	26.000000	0.000000
spf	8	26.000000	0.000000
spf	9	26.000000	0.000000
vlb	0	374.000000	0.000000
vlb	1	66.000000	0.000000
vlb	2	92.000000	0.000000
vlb	3	143.000000	0.000000
vlb	4	135.000000	0.000000
vlb	5	142.000000	0.000000
vlb	6	143.000000	0.000000
vlb	7	149.000000	0.000000
vlb	8	143.000000	0.000000
vlb	9	144.000000	0.000000

