# solver	iter	max-congestion	stddev
ecmp	0	0.497040	0.000000
ecmp	1	0.505403	0.000000
ecmp	2	0.292237	0.000000
ecmp	3	0.316170	0.000000
ecmp	4	0.316078	0.000000
ecmp	5	0.293278	0.000000
ecmp	6	0.308176	0.000000
ecmp	7	0.300973	0.000000
ecmp	8	0.298969	0.000000
ecmp	9	0.309115	0.000000
ksp	0	0.607517	0.000000
ksp	1	0.613837	0.000000
ksp	2	0.601048	0.000000
ksp	3	0.624619	0.000000
ksp	4	0.613705	0.000000
ksp	5	0.573147	0.000000
ksp	6	0.577228	0.000000
ksp	7	0.565115	0.000000
ksp	8	0.562311	0.000000
ksp	9	0.579723	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400077	0.000000
mcf	2	0.488007	0.000000
mcf	3	0.493889	0.000000
mcf	4	0.447877	0.000000
mcf	5	0.440100	0.000000
mcf	6	0.436210	0.000000
mcf	7	0.428616	0.000000
mcf	8	0.432075	0.000000
mcf	9	0.427674	0.000000
mwmcf	0	0.492178	0.000000
mwmcf	1	0.500368	0.000000
mwmcf	2	0.293102	0.000000
mwmcf	3	0.317049	0.000000
mwmcf	4	0.316851	0.000000
mwmcf	5	0.294037	0.000000
mwmcf	6	0.308888	0.000000
mwmcf	7	0.301596	0.000000
mwmcf	8	0.299491	0.000000
mwmcf	9	0.310027	0.000000
raeke	0	0.490321	0.000000
raeke	1	0.496273	0.000000
raeke	2	0.717212	0.000000
raeke	3	0.729846	0.000000
raeke	4	0.715004	0.000000
raeke	5	0.676102	0.000000
raeke	6	0.678440	0.000000
raeke	7	0.667257	0.000000
raeke	8	0.664895	0.000000
raeke	9	0.681929	0.000000
semimcfecmp	0	0.492178	0.000000
semimcfecmp	1	0.500368	0.000000
semimcfecmp	2	0.293102	0.000000
semimcfecmp	3	0.317049	0.000000
semimcfecmp	4	0.316851	0.000000
semimcfecmp	5	0.294037	0.000000
semimcfecmp	6	0.308888	0.000000
semimcfecmp	7	0.301596	0.000000
semimcfecmp	8	0.311474	0.000000
semimcfecmp	9	0.310027	0.000000
semimcfksp	0	0.400000	0.000000
semimcfksp	1	0.400077	0.000000
semimcfksp	2	0.605322	0.000000
semimcfksp	3	0.628203	0.000000
semimcfksp	4	0.617293	0.000000
semimcfksp	5	0.575728	0.000000
semimcfksp	6	0.578640	0.000000
semimcfksp	7	0.567275	0.000000
semimcfksp	8	0.556920	0.000000
semimcfksp	9	0.582242	0.000000
semimcfmcf	0	0.551423	0.000000
semimcfmcf	1	0.560395	0.000000
semimcfmcf	2	0.409655	0.000000
semimcfmcf	3	0.399905	0.000000
semimcfmcf	4	0.389557	0.000000
semimcfmcf	5	0.409602	0.000000
semimcfmcf	6	0.413342	0.000000
semimcfmcf	7	0.420934	0.000000
semimcfmcf	8	0.414556	0.000000
semimcfmcf	9	0.389290	0.000000
semimcfraeke	0	0.400000	0.000000
semimcfraeke	1	0.400077	0.000000
semimcfraeke	2	0.579485	0.000000
semimcfraeke	3	0.580898	0.000000
semimcfraeke	4	0.515439	0.000000
semimcfraeke	5	0.516234	0.000000
semimcfraeke	6	0.592076	0.000000
semimcfraeke	7	0.526153	0.000000
semimcfraeke	8	0.549773	0.000000
semimcfraeke	9	0.556389	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.400077	0.000000
semimcfvlb	2	0.503702	0.000000
semimcfvlb	3	0.498163	0.000000
semimcfvlb	4	0.519516	0.000000
semimcfvlb	5	0.520736	0.000000
semimcfvlb	6	0.510195	0.000000
semimcfvlb	7	0.499242	0.000000
semimcfvlb	8	0.528348	0.000000
semimcfvlb	9	0.523177	0.000000
spf	0	0.492178	0.000000
spf	1	0.500368	0.000000
spf	2	0.293102	0.000000
spf	3	0.317049	0.000000
spf	4	0.316851	0.000000
spf	5	0.294037	0.000000
spf	6	0.308888	0.000000
spf	7	0.301596	0.000000
spf	8	0.299491	0.000000
spf	9	0.310027	0.000000
vlb	0	0.619760	0.000000
vlb	1	0.609883	0.000000
vlb	2	0.586340	0.000000
vlb	3	0.543865	0.000000
vlb	4	0.565652	0.000000
vlb	5	0.548286	0.000000
vlb	6	0.557996	0.000000
vlb	7	0.544719	0.000000
vlb	8	0.550375	0.000000
vlb	9	0.548033	0.000000

