# solver	iter	time	stddev
ecmp	0	0.022639	0.000000
ecmp	1	0.023948	0.000000
ecmp	2	0.023881	0.000000
ecmp	3	0.022923	0.000000
ecmp	4	0.023355	0.000000
ecmp	5	0.023092	0.000000
ecmp	6	0.023099	0.000000
ecmp	7	0.022496	0.000000
ecmp	8	0.022620	0.000000
ecmp	9	0.023363	0.000000
ksp	0	0.011524	0.000000
ksp	1	0.009885	0.000000
ksp	2	0.009945	0.000000
ksp	3	0.010911	0.000000
ksp	4	0.010117	0.000000
ksp	5	0.010507	0.000000
ksp	6	0.010020	0.000000
ksp	7	0.010037	0.000000
ksp	8	0.009876	0.000000
ksp	9	0.010873	0.000000
mcf	0	0.127811	0.000000
mcf	1	0.157424	0.000000
mcf	2	0.123621	0.000000
mcf	3	0.120176	0.000000
mcf	4	0.096793	0.000000
mcf	5	0.112937	0.000000
mcf	6	0.141022	0.000000
mcf	7	0.114812	0.000000
mcf	8	0.125028	0.000000
mcf	9	0.109431	0.000000
mwmcf	0	0.001239	0.000000
mwmcf	1	0.000102	0.000000
mwmcf	2	0.000101	0.000000
mwmcf	3	0.000131	0.000000
mwmcf	4	0.000097	0.000000
mwmcf	5	0.000097	0.000000
mwmcf	6	0.000097	0.000000
mwmcf	7	0.000107	0.000000
mwmcf	8	0.000189	0.000000
mwmcf	9	0.000098	0.000000
raeke	0	0.151202	0.000000
raeke	1	0.000171	0.000000
raeke	2	0.000170	0.000000
raeke	3	0.000173	0.000000
raeke	4	0.000175	0.000000
raeke	5	0.000182	0.000000
raeke	6	0.000171	0.000000
raeke	7	0.000172	0.000000
raeke	8	0.000172	0.000000
raeke	9	0.000192	0.000000
semimcfecmp	0	0.010280	0.000000
semimcfecmp	1	0.009799	0.000000
semimcfecmp	2	0.010339	0.000000
semimcfecmp	3	0.010974	0.000000
semimcfecmp	4	0.009562	0.000000
semimcfecmp	5	0.011259	0.000000
semimcfecmp	6	0.007642	0.000000
semimcfecmp	7	0.008303	0.000000
semimcfecmp	8	0.011317	0.000000
semimcfecmp	9	0.009967	0.000000
semimcfksp	0	0.014761	0.000000
semimcfksp	1	0.015086	0.000000
semimcfksp	2	0.013933	0.000000
semimcfksp	3	0.016674	0.000000
semimcfksp	4	0.018394	0.000000
semimcfksp	5	0.015669	0.000000
semimcfksp	6	0.018309	0.000000
semimcfksp	7	0.010323	0.000000
semimcfksp	8	0.015406	0.000000
semimcfksp	9	0.017875	0.000000
semimcfmcf	0	0.009929	0.000000
semimcfmcf	1	0.009194	0.000000
semimcfmcf	2	0.010533	0.000000
semimcfmcf	3	0.006252	0.000000
semimcfmcf	4	0.010917	0.000000
semimcfmcf	5	0.009560	0.000000
semimcfmcf	6	0.010086	0.000000
semimcfmcf	7	0.009398	0.000000
semimcfmcf	8	0.010044	0.000000
semimcfmcf	9	0.010650	0.000000
semimcfraeke	0	0.015660	0.000000
semimcfraeke	1	0.017788	0.000000
semimcfraeke	2	0.016401	0.000000
semimcfraeke	3	0.016819	0.000000
semimcfraeke	4	0.039809	0.000000
semimcfraeke	5	0.017714	0.000000
semimcfraeke	6	0.017889	0.000000
semimcfraeke	7	0.012094	0.000000
semimcfraeke	8	0.012604	0.000000
semimcfraeke	9	0.015453	0.000000
semimcfvlb	0	0.010587	0.000000
semimcfvlb	1	0.015871	0.000000
semimcfvlb	2	0.012445	0.000000
semimcfvlb	3	0.012592	0.000000
semimcfvlb	4	0.011376	0.000000
semimcfvlb	5	0.017876	0.000000
semimcfvlb	6	0.015298	0.000000
semimcfvlb	7	0.013743	0.000000
semimcfvlb	8	0.019136	0.000000
semimcfvlb	9	0.013167	0.000000
spf	0	0.001082	0.000000
spf	1	0.000588	0.000000
spf	2	0.000761	0.000000
spf	3	0.000761	0.000000
spf	4	0.000618	0.000000
spf	5	0.000586	0.000000
spf	6	0.000768	0.000000
spf	7	0.000591	0.000000
spf	8	0.000588	0.000000
spf	9	0.000577	0.000000
vlb	0	0.039860	0.000000
vlb	1	0.028319	0.000000
vlb	2	0.028582	0.000000
vlb	3	0.029107	0.000000
vlb	4	0.029715	0.000000
vlb	5	0.028884	0.000000
vlb	6	0.027932	0.000000
vlb	7	0.028695	0.000000
vlb	8	0.027403	0.000000
vlb	9	0.027629	0.000000

