# solver	iter	.0.100000-congestion	stddev
ecmp	0	0.304414	0.000000
ecmp	1	0.294752	0.000000
ecmp	2	0.227971	0.000000
ecmp	3	0.249007	0.000000
ecmp	4	0.239715	0.000000
ecmp	5	0.218183	0.000000
ecmp	6	0.226417	0.000000
ecmp	7	0.224476	0.000000
ecmp	8	0.233180	0.000000
ecmp	9	0.222203	0.000000
ksp	0	0.471398	0.000000
ksp	1	0.465690	0.000000
ksp	2	0.510867	0.000000
ksp	3	0.515752	0.000000
ksp	4	0.501055	0.000000
ksp	5	0.472249	0.000000
ksp	6	0.486371	0.000000
ksp	7	0.472739	0.000000
ksp	8	0.463928	0.000000
ksp	9	0.471824	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400077	0.000000
mcf	2	0.334803	0.000000
mcf	3	0.324294	0.000000
mcf	4	0.312055	0.000000
mcf	5	0.318726	0.000000
mcf	6	0.315585	0.000000
mcf	7	0.316985	0.000000
mcf	8	0.308596	0.000000
mcf	9	0.296398	0.000000
mwmcf	0	0.383601	0.000000
mwmcf	1	0.342767	0.000000
mwmcf	2	0.237622	0.000000
mwmcf	3	0.248791	0.000000
mwmcf	4	0.239520	0.000000
mwmcf	5	0.236235	0.000000
mwmcf	6	0.243331	0.000000
mwmcf	7	0.238375	0.000000
mwmcf	8	0.268140	0.000000
mwmcf	9	0.237356	0.000000
raeke	0	0.405244	0.000000
raeke	1	0.394285	0.000000
raeke	2	0.535995	0.000000
raeke	3	0.560175	0.000000
raeke	4	0.537494	0.000000
raeke	5	0.539890	0.000000
raeke	6	0.556092	0.000000
raeke	7	0.552681	0.000000
raeke	8	0.551359	0.000000
raeke	9	0.520326	0.000000
semimcfecmp	0	0.307083	0.000000
semimcfecmp	1	0.299787	0.000000
semimcfecmp	2	0.269356	0.000000
semimcfecmp	3	0.268048	0.000000
semimcfecmp	4	0.270175	0.000000
semimcfecmp	5	0.280783	0.000000
semimcfecmp	6	0.293517	0.000000
semimcfecmp	7	0.292405	0.000000
semimcfecmp	8	0.286880	0.000000
semimcfecmp	9	0.281527	0.000000
semimcfksp	0	0.400000	0.000000
semimcfksp	1	0.341507	0.000000
semimcfksp	2	0.502081	0.000000
semimcfksp	3	0.499167	0.000000
semimcfksp	4	0.488564	0.000000
semimcfksp	5	0.461342	0.000000
semimcfksp	6	0.476171	0.000000
semimcfksp	7	0.458451	0.000000
semimcfksp	8	0.449210	0.000000
semimcfksp	9	0.459225	0.000000
semimcfmcf	0	0.405464	0.000000
semimcfmcf	1	0.394903	0.000000
semimcfmcf	2	0.316433	0.000000
semimcfmcf	3	0.328908	0.000000
semimcfmcf	4	0.318692	0.000000
semimcfmcf	5	0.304036	0.000000
semimcfmcf	6	0.302158	0.000000
semimcfmcf	7	0.313501	0.000000
semimcfmcf	8	0.300178	0.000000
semimcfmcf	9	0.294125	0.000000
semimcfraeke	0	0.400000	0.000000
semimcfraeke	1	0.400077	0.000000
semimcfraeke	2	0.476577	0.000000
semimcfraeke	3	0.456808	0.000000
semimcfraeke	4	0.388026	0.000000
semimcfraeke	5	0.385537	0.000000
semimcfraeke	6	0.489194	0.000000
semimcfraeke	7	0.384439	0.000000
semimcfraeke	8	0.407546	0.000000
semimcfraeke	9	0.433702	0.000000
semimcfvlb	0	0.373087	0.000000
semimcfvlb	1	0.351668	0.000000
semimcfvlb	2	0.379070	0.000000
semimcfvlb	3	0.382044	0.000000
semimcfvlb	4	0.401142	0.000000
semimcfvlb	5	0.420544	0.000000
semimcfvlb	6	0.388924	0.000000
semimcfvlb	7	0.383841	0.000000
semimcfvlb	8	0.421020	0.000000
semimcfvlb	9	0.404972	0.000000
spf	0	0.383601	0.000000
spf	1	0.342767	0.000000
spf	2	0.237622	0.000000
spf	3	0.248791	0.000000
spf	4	0.239520	0.000000
spf	5	0.236235	0.000000
spf	6	0.243331	0.000000
spf	7	0.238375	0.000000
spf	8	0.268140	0.000000
spf	9	0.237356	0.000000
vlb	0	0.419298	0.000000
vlb	1	0.384674	0.000000
vlb	2	0.496786	0.000000
vlb	3	0.436257	0.000000
vlb	4	0.454542	0.000000
vlb	5	0.435682	0.000000
vlb	6	0.450326	0.000000
vlb	7	0.434840	0.000000
vlb	8	0.422710	0.000000
vlb	9	0.440707	0.000000

