# solver	iter	.0.300000-exp-congestion	stddev
ecmp	0	0.221857	0.000000
ecmp	1	0.212148	0.000000
ecmp	2	0.223629	0.000000
ecmp	3	0.234425	0.000000
ecmp	4	0.227722	0.000000
ecmp	5	0.232497	0.000000
ecmp	6	0.239828	0.000000
ecmp	7	0.237610	0.000000
ecmp	8	0.236292	0.000000
ecmp	9	0.233564	0.000000
ksp	0	0.379293	0.000000
ksp	1	0.382080	0.000000
ksp	2	0.381469	0.000000
ksp	3	0.372020	0.000000
ksp	4	0.364664	0.000000
ksp	5	0.351440	0.000000
ksp	6	0.368618	0.000000
ksp	7	0.357159	0.000000
ksp	8	0.355055	0.000000
ksp	9	0.345461	0.000000
mcf	0	0.355204	0.000000
mcf	1	0.350750	0.000000
mcf	2	0.363550	0.000000
mcf	3	0.354029	0.000000
mcf	4	0.339884	0.000000
mcf	5	0.338911	0.000000
mcf	6	0.359971	0.000000
mcf	7	0.345264	0.000000
mcf	8	0.352783	0.000000
mcf	9	0.344818	0.000000
mwmcf	0	0.229389	0.000000
mwmcf	1	0.201578	0.000000
mwmcf	2	0.222931	0.000000
mwmcf	3	0.231090	0.000000
mwmcf	4	0.224046	0.000000
mwmcf	5	0.232330	0.000000
mwmcf	6	0.236183	0.000000
mwmcf	7	0.232242	0.000000
mwmcf	8	0.224447	0.000000
mwmcf	9	0.229146	0.000000
raeke	0	0.296525	0.000000
raeke	1	0.270573	0.000000
raeke	2	0.301421	0.000000
raeke	3	0.283423	0.000000
raeke	4	0.277768	0.000000
raeke	5	0.280614	0.000000
raeke	6	0.289564	0.000000
raeke	7	0.283304	0.000000
raeke	8	0.285276	0.000000
raeke	9	0.268514	0.000000
semimcfecmp	0	0.248945	0.000000
semimcfecmp	1	0.246361	0.000000
semimcfecmp	2	0.253768	0.000000
semimcfecmp	3	0.234179	0.000000
semimcfecmp	4	0.227444	0.000000
semimcfecmp	5	0.233434	0.000000
semimcfecmp	6	0.236183	0.000000
semimcfecmp	7	0.233811	0.000000
semimcfecmp	8	0.244798	0.000000
semimcfecmp	9	0.222076	0.000000
semimcfksp	0	0.277728	0.000000
semimcfksp	1	0.262454	0.000000
semimcfksp	2	0.298823	0.000000
semimcfksp	3	0.281922	0.000000
semimcfksp	4	0.277193	0.000000
semimcfksp	5	0.269379	0.000000
semimcfksp	6	0.274235	0.000000
semimcfksp	7	0.285332	0.000000
semimcfksp	8	0.275875	0.000000
semimcfksp	9	0.267572	0.000000
semimcfmcf	0	0.269013	0.000000
semimcfmcf	1	0.263260	0.000000
semimcfmcf	2	0.285051	0.000000
semimcfmcf	3	0.249408	0.000000
semimcfmcf	4	0.241247	0.000000
semimcfmcf	5	0.266034	0.000000
semimcfmcf	6	0.260961	0.000000
semimcfmcf	7	0.260797	0.000000
semimcfmcf	8	0.252746	0.000000
semimcfmcf	9	0.259221	0.000000
semimcfraeke	0	0.280704	0.000000
semimcfraeke	1	0.306751	0.000000
semimcfraeke	2	0.326763	0.000000
semimcfraeke	3	0.301708	0.000000
semimcfraeke	4	0.287259	0.000000
semimcfraeke	5	0.264979	0.000000
semimcfraeke	6	0.302017	0.000000
semimcfraeke	7	0.302084	0.000000
semimcfraeke	8	0.324951	0.000000
semimcfraeke	9	0.297533	0.000000
semimcfvlb	0	0.272409	0.000000
semimcfvlb	1	0.274372	0.000000
semimcfvlb	2	0.286122	0.000000
semimcfvlb	3	0.278803	0.000000
semimcfvlb	4	0.264937	0.000000
semimcfvlb	5	0.274866	0.000000
semimcfvlb	6	0.278829	0.000000
semimcfvlb	7	0.293968	0.000000
semimcfvlb	8	0.289206	0.000000
semimcfvlb	9	0.270021	0.000000
spf	0	0.229389	0.000000
spf	1	0.201578	0.000000
spf	2	0.222931	0.000000
spf	3	0.231090	0.000000
spf	4	0.224046	0.000000
spf	5	0.232330	0.000000
spf	6	0.236183	0.000000
spf	7	0.232242	0.000000
spf	8	0.224447	0.000000
spf	9	0.229146	0.000000
vlb	0	0.277312	0.000000
vlb	1	0.282608	0.000000
vlb	2	0.278846	0.000000
vlb	3	0.266818	0.000000
vlb	4	0.265452	0.000000
vlb	5	0.268610	0.000000
vlb	6	0.269783	0.000000
vlb	7	0.266948	0.000000
vlb	8	0.266150	0.000000
vlb	9	0.265399	0.000000

