# solver	iter	max-exp-congestion	stddev
ecmp	0	0.497040	0.000000
ecmp	1	0.505403	0.000000
ecmp	2	0.519559	0.000000
ecmp	3	0.508460	0.000000
ecmp	4	0.490376	0.000000
ecmp	5	0.468658	0.000000
ecmp	6	0.471163	0.000000
ecmp	7	0.460000	0.000000
ecmp	8	0.462323	0.000000
ecmp	9	0.458438	0.000000
ksp	0	0.607517	0.000000
ksp	1	0.613837	0.000000
ksp	2	0.625377	0.000000
ksp	3	0.639100	0.000000
ksp	4	0.620674	0.000000
ksp	5	0.585902	0.000000
ksp	6	0.581259	0.000000
ksp	7	0.577814	0.000000
ksp	8	0.568012	0.000000
ksp	9	0.587696	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400077	0.000000
mcf	2	0.404364	0.000000
mcf	3	0.410757	0.000000
mcf	4	0.401858	0.000000
mcf	5	0.379624	0.000000
mcf	6	0.380518	0.000000
mcf	7	0.374303	0.000000
mcf	8	0.372710	0.000000
mcf	9	0.382160	0.000000
mwmcf	0	0.492178	0.000000
mwmcf	1	0.500368	0.000000
mwmcf	2	0.515627	0.000000
mwmcf	3	0.504465	0.000000
mwmcf	4	0.486864	0.000000
mwmcf	5	0.465211	0.000000
mwmcf	6	0.467519	0.000000
mwmcf	7	0.456201	0.000000
mwmcf	8	0.458540	0.000000
mwmcf	9	0.454294	0.000000
raeke	0	0.503684	0.000000
raeke	1	0.509614	0.000000
raeke	2	0.518670	0.000000
raeke	3	0.516932	0.000000
raeke	4	0.502515	0.000000
raeke	5	0.476182	0.000000
raeke	6	0.478581	0.000000
raeke	7	0.469365	0.000000
raeke	8	0.465518	0.000000
raeke	9	0.471611	0.000000
semimcfecmp	0	0.492178	0.000000
semimcfecmp	1	0.500368	0.000000
semimcfecmp	2	0.515627	0.000000
semimcfecmp	3	0.504465	0.000000
semimcfecmp	4	0.486864	0.000000
semimcfecmp	5	0.465211	0.000000
semimcfecmp	6	0.467519	0.000000
semimcfecmp	7	0.456201	0.000000
semimcfecmp	8	0.458540	0.000000
semimcfecmp	9	0.454294	0.000000
semimcfksp	0	0.400000	0.000000
semimcfksp	1	0.400077	0.000000
semimcfksp	2	0.404364	0.000000
semimcfksp	3	0.410757	0.000000
semimcfksp	4	0.401858	0.000000
semimcfksp	5	0.379624	0.000000
semimcfksp	6	0.380518	0.000000
semimcfksp	7	0.374303	0.000000
semimcfksp	8	0.372710	0.000000
semimcfksp	9	0.382160	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.400077	0.000000
semimcfmcf	2	0.422077	0.000000
semimcfmcf	3	0.424657	0.000000
semimcfmcf	4	0.409691	0.000000
semimcfmcf	5	0.408005	0.000000
semimcfmcf	6	0.407890	0.000000
semimcfmcf	7	0.414702	0.000000
semimcfmcf	8	0.416111	0.000000
semimcfmcf	9	0.394578	0.000000
semimcfraeke	0	0.400000	0.000000
semimcfraeke	1	0.400077	0.000000
semimcfraeke	2	0.404364	0.000000
semimcfraeke	3	0.410757	0.000000
semimcfraeke	4	0.401858	0.000000
semimcfraeke	5	0.379624	0.000000
semimcfraeke	6	0.380518	0.000000
semimcfraeke	7	0.374303	0.000000
semimcfraeke	8	0.372710	0.000000
semimcfraeke	9	0.382160	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.400077	0.000000
semimcfvlb	2	0.404364	0.000000
semimcfvlb	3	0.410757	0.000000
semimcfvlb	4	0.401858	0.000000
semimcfvlb	5	0.379624	0.000000
semimcfvlb	6	0.380518	0.000000
semimcfvlb	7	0.374303	0.000000
semimcfvlb	8	0.372710	0.000000
semimcfvlb	9	0.382160	0.000000
spf	0	0.492178	0.000000
spf	1	0.500368	0.000000
spf	2	0.515627	0.000000
spf	3	0.504465	0.000000
spf	4	0.486864	0.000000
spf	5	0.465211	0.000000
spf	6	0.467519	0.000000
spf	7	0.456201	0.000000
spf	8	0.458540	0.000000
spf	9	0.454294	0.000000
vlb	0	0.604716	0.000000
vlb	1	0.611137	0.000000
vlb	2	0.625045	0.000000
vlb	3	0.610857	0.000000
vlb	4	0.595916	0.000000
vlb	5	0.578862	0.000000
vlb	6	0.578567	0.000000
vlb	7	0.585234	0.000000
vlb	8	0.568806	0.000000
vlb	9	0.578296	0.000000

