# solver	iter	.0.200000-exp-congestion	stddev
ecmp	0	0.299903	0.000000
ecmp	1	0.283941	0.000000
ecmp	2	0.306773	0.000000
ecmp	3	0.292092	0.000000
ecmp	4	0.279999	0.000000
ecmp	5	0.290590	0.000000
ecmp	6	0.299721	0.000000
ecmp	7	0.299217	0.000000
ecmp	8	0.297402	0.000000
ecmp	9	0.297763	0.000000
ksp	0	0.415865	0.000000
ksp	1	0.392616	0.000000
ksp	2	0.418001	0.000000
ksp	3	0.427292	0.000000
ksp	4	0.415686	0.000000
ksp	5	0.411142	0.000000
ksp	6	0.419926	0.000000
ksp	7	0.418587	0.000000
ksp	8	0.422688	0.000000
ksp	9	0.411874	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.393395	0.000000
mcf	2	0.404364	0.000000
mcf	3	0.409916	0.000000
mcf	4	0.396641	0.000000
mcf	5	0.379624	0.000000
mcf	6	0.380518	0.000000
mcf	7	0.374303	0.000000
mcf	8	0.372710	0.000000
mcf	9	0.377067	0.000000
mwmcf	0	0.299920	0.000000
mwmcf	1	0.288854	0.000000
mwmcf	2	0.293766	0.000000
mwmcf	3	0.317049	0.000000
mwmcf	4	0.294877	0.000000
mwmcf	5	0.294037	0.000000
mwmcf	6	0.293517	0.000000
mwmcf	7	0.296722	0.000000
mwmcf	8	0.299491	0.000000
mwmcf	9	0.302825	0.000000
raeke	0	0.316086	0.000000
raeke	1	0.316401	0.000000
raeke	2	0.328358	0.000000
raeke	3	0.328964	0.000000
raeke	4	0.319015	0.000000
raeke	5	0.311286	0.000000
raeke	6	0.323751	0.000000
raeke	7	0.314174	0.000000
raeke	8	0.334096	0.000000
raeke	9	0.312896	0.000000
semimcfecmp	0	0.296178	0.000000
semimcfecmp	1	0.272828	0.000000
semimcfecmp	2	0.297943	0.000000
semimcfecmp	3	0.297316	0.000000
semimcfecmp	4	0.294201	0.000000
semimcfecmp	5	0.289314	0.000000
semimcfecmp	6	0.293517	0.000000
semimcfecmp	7	0.296722	0.000000
semimcfecmp	8	0.293020	0.000000
semimcfecmp	9	0.281527	0.000000
semimcfksp	0	0.332817	0.000000
semimcfksp	1	0.296186	0.000000
semimcfksp	2	0.358709	0.000000
semimcfksp	3	0.340461	0.000000
semimcfksp	4	0.309449	0.000000
semimcfksp	5	0.315992	0.000000
semimcfksp	6	0.333070	0.000000
semimcfksp	7	0.319456	0.000000
semimcfksp	8	0.359417	0.000000
semimcfksp	9	0.322544	0.000000
semimcfmcf	0	0.328909	0.000000
semimcfmcf	1	0.316753	0.000000
semimcfmcf	2	0.341664	0.000000
semimcfmcf	3	0.344382	0.000000
semimcfmcf	4	0.332858	0.000000
semimcfmcf	5	0.340040	0.000000
semimcfmcf	6	0.335030	0.000000
semimcfmcf	7	0.335454	0.000000
semimcfmcf	8	0.330703	0.000000
semimcfmcf	9	0.343286	0.000000
semimcfraeke	0	0.347547	0.000000
semimcfraeke	1	0.368764	0.000000
semimcfraeke	2	0.359461	0.000000
semimcfraeke	3	0.360285	0.000000
semimcfraeke	4	0.353369	0.000000
semimcfraeke	5	0.354771	0.000000
semimcfraeke	6	0.351280	0.000000
semimcfraeke	7	0.370545	0.000000
semimcfraeke	8	0.372710	0.000000
semimcfraeke	9	0.340649	0.000000
semimcfvlb	0	0.343744	0.000000
semimcfvlb	1	0.331426	0.000000
semimcfvlb	2	0.353200	0.000000
semimcfvlb	3	0.341890	0.000000
semimcfvlb	4	0.331034	0.000000
semimcfvlb	5	0.320585	0.000000
semimcfvlb	6	0.344444	0.000000
semimcfvlb	7	0.348225	0.000000
semimcfvlb	8	0.331388	0.000000
semimcfvlb	9	0.330835	0.000000
spf	0	0.299920	0.000000
spf	1	0.288854	0.000000
spf	2	0.293766	0.000000
spf	3	0.317049	0.000000
spf	4	0.294877	0.000000
spf	5	0.294037	0.000000
spf	6	0.293517	0.000000
spf	7	0.296722	0.000000
spf	8	0.299491	0.000000
spf	9	0.302825	0.000000
vlb	0	0.356230	0.000000
vlb	1	0.345288	0.000000
vlb	2	0.344124	0.000000
vlb	3	0.344317	0.000000
vlb	4	0.338510	0.000000
vlb	5	0.354246	0.000000
vlb	6	0.343766	0.000000
vlb	7	0.358180	0.000000
vlb	8	0.370057	0.000000
vlb	9	0.340869	0.000000

