# solver	iter	.0.600000-congestion	stddev
ecmp	0	0.040766	0.000000
ecmp	1	0.038748	0.000000
ecmp	2	0.034677	0.000000
ecmp	3	0.035071	0.000000
ecmp	4	0.034432	0.000000
ecmp	5	0.034903	0.000000
ecmp	6	0.035413	0.000000
ecmp	7	0.035015	0.000000
ecmp	8	0.036646	0.000000
ecmp	9	0.034287	0.000000
ksp	0	0.068121	0.000000
ksp	1	0.063794	0.000000
ksp	2	0.060852	0.000000
ksp	3	0.056673	0.000000
ksp	4	0.056651	0.000000
ksp	5	0.056672	0.000000
ksp	6	0.055380	0.000000
ksp	7	0.055325	0.000000
ksp	8	0.053720	0.000000
ksp	9	0.056258	0.000000
mcf	0	0.061528	0.000000
mcf	1	0.066372	0.000000
mcf	2	0.054247	0.000000
mcf	3	0.052028	0.000000
mcf	4	0.048227	0.000000
mcf	5	0.047321	0.000000
mcf	6	0.046679	0.000000
mcf	7	0.046549	0.000000
mcf	8	0.045997	0.000000
mcf	9	0.047774	0.000000
mwmcf	0	0.040766	0.000000
mwmcf	1	0.039045	0.000000
mwmcf	2	0.035635	0.000000
mwmcf	3	0.033294	0.000000
mwmcf	4	0.031723	0.000000
mwmcf	5	0.033891	0.000000
mwmcf	6	0.035875	0.000000
mwmcf	7	0.035947	0.000000
mwmcf	8	0.036846	0.000000
mwmcf	9	0.034058	0.000000
raeke	0	0.068088	0.000000
raeke	1	0.068584	0.000000
raeke	2	0.057342	0.000000
raeke	3	0.055822	0.000000
raeke	4	0.055074	0.000000
raeke	5	0.055038	0.000000
raeke	6	0.053712	0.000000
raeke	7	0.053746	0.000000
raeke	8	0.051741	0.000000
raeke	9	0.053564	0.000000
semimcfecmp	0	0.043040	0.000000
semimcfecmp	1	0.045152	0.000000
semimcfecmp	2	0.039154	0.000000
semimcfecmp	3	0.039896	0.000000
semimcfecmp	4	0.039969	0.000000
semimcfecmp	5	0.036785	0.000000
semimcfecmp	6	0.037372	0.000000
semimcfecmp	7	0.037276	0.000000
semimcfecmp	8	0.040145	0.000000
semimcfecmp	9	0.037962	0.000000
semimcfksp	0	0.073691	0.000000
semimcfksp	1	0.060480	0.000000
semimcfksp	2	0.041648	0.000000
semimcfksp	3	0.041376	0.000000
semimcfksp	4	0.050881	0.000000
semimcfksp	5	0.051053	0.000000
semimcfksp	6	0.045253	0.000000
semimcfksp	7	0.046549	0.000000
semimcfksp	8	0.044532	0.000000
semimcfksp	9	0.047184	0.000000
semimcfmcf	0	0.103515	0.000000
semimcfmcf	1	0.090038	0.000000
semimcfmcf	2	0.055909	0.000000
semimcfmcf	3	0.048329	0.000000
semimcfmcf	4	0.048127	0.000000
semimcfmcf	5	0.053039	0.000000
semimcfmcf	6	0.052300	0.000000
semimcfmcf	7	0.051846	0.000000
semimcfmcf	8	0.050914	0.000000
semimcfmcf	9	0.052454	0.000000
semimcfraeke	0	0.118696	0.000000
semimcfraeke	1	0.117236	0.000000
semimcfraeke	2	0.082370	0.000000
semimcfraeke	3	0.078065	0.000000
semimcfraeke	4	0.064328	0.000000
semimcfraeke	5	0.061484	0.000000
semimcfraeke	6	0.065984	0.000000
semimcfraeke	7	0.051777	0.000000
semimcfraeke	8	0.054422	0.000000
semimcfraeke	9	0.067272	0.000000
semimcfvlb	0	0.090741	0.000000
semimcfvlb	1	0.119727	0.000000
semimcfvlb	2	0.055841	0.000000
semimcfvlb	3	0.050583	0.000000
semimcfvlb	4	0.047526	0.000000
semimcfvlb	5	0.042335	0.000000
semimcfvlb	6	0.049795	0.000000
semimcfvlb	7	0.046549	0.000000
semimcfvlb	8	0.048805	0.000000
semimcfvlb	9	0.039994	0.000000
spf	0	0.040766	0.000000
spf	1	0.039045	0.000000
spf	2	0.035635	0.000000
spf	3	0.033294	0.000000
spf	4	0.031723	0.000000
spf	5	0.033891	0.000000
spf	6	0.035875	0.000000
spf	7	0.035947	0.000000
spf	8	0.036846	0.000000
spf	9	0.034058	0.000000
vlb	0	0.056029	0.000000
vlb	1	0.057130	0.000000
vlb	2	0.042988	0.000000
vlb	3	0.041939	0.000000
vlb	4	0.039971	0.000000
vlb	5	0.039030	0.000000
vlb	6	0.046679	0.000000
vlb	7	0.040642	0.000000
vlb	8	0.043418	0.000000
vlb	9	0.042634	0.000000

