#solver	iter	latency-throughput
ecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
ecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
ecmp	2	
		1. : 0.218649411092
		2. : 0.438702173788
		3. : 0.589188386545
		4. : 0.706644633793
		5. : 0.786873417711
		6. : 0.837308457217
ecmp	3	
		1. : 0.222926646706
		2. : 0.441719432085
		3. : 0.586849975597
		4. : 0.7055356574
		5. : 0.782460814499
		6. : 0.833447956818
ecmp	4	
		1. : 0.22306265546
		2. : 0.447597876615
		3. : 0.596334589699
		4. : 0.716866874894
		5. : 0.791886328695
		6. : 0.840280306468
ecmp	5	
		1. : 0.225362639771
		2. : 0.451681539665
		3. : 0.607050866725
		4. : 0.725974167447
		5. : 0.802836852311
		6. : 0.851522051091
ecmp	6	
		1. : 0.224132482745
		2. : 0.458003178722
		3. : 0.618947923846
		4. : 0.737021877386
		5. : 0.810673053317
		6. : 0.855898863522
ecmp	7	
		1. : 0.225540299849
		2. : 0.455614894567
		3. : 0.61494904449
		4. : 0.734327564859
		5. : 0.810377176919
		6. : 0.857387451932
ecmp	8	
		1. : 0.222380863977
		2. : 0.452326219004
		3. : 0.613204811332
		4. : 0.732006907442
		5. : 0.809679734176
		6. : 0.8575804398
ecmp	9	
		1. : 0.225440719212
		2. : 0.452166317049
		3. : 0.605070037504
		4. : 0.726357344377
		5. : 0.803714385538
		6. : 0.851444910807
ksp	0	
		1. : 0.0981169519731
		2. : 0.220452986567
		3. : 0.413072014264
		4. : 0.684300868684
		5. : 0.898222582467
		6. : 0.999583116004
		7. : 1.
ksp	1	
		1. : 0.0975051180457
		2. : 0.217479728636
		3. : 0.40676692433
		4. : 0.675260754068
		5. : 0.894407652615
		6. : 0.999611580385
		7. : 1.
ksp	2	
		1. : 0.148329700668
		2. : 0.266746690086
		3. : 0.412671281097
		4. : 0.57700949922
		5. : 0.727239389375
		6. : 0.822396531886
		7. : 0.85863240757
		8. : 0.876822000162
		9. : 0.88719441393
		10. : 0.887858311885
ksp	3	
		1. : 0.155936456807
		2. : 0.274099510026
		3. : 0.416347876733
		4. : 0.576614212979
		5. : 0.719769766348
		6. : 0.814716638189
		7. : 0.850601234485
		8. : 0.868874727974
		9. : 0.880370003012
		10. : 0.88110614555
ksp	4	
		1. : 0.154937055933
		2. : 0.277998705523
		3. : 0.422960267162
		4. : 0.585607390829
		5. : 0.728164274589
		6. : 0.821128674338
		7. : 0.856208493758
		8. : 0.874407577493
		9. : 0.886031973344
		10. : 0.886716761136
ksp	5	
		1. : 0.153433634735
		2. : 0.280592425588
		3. : 0.434223769928
		4. : 0.598546749072
		5. : 0.744257417965
		6. : 0.836590712663
		7. : 0.871234727644
		8. : 0.889656778907
		9. : 0.900027044972
		10. : 0.900321140059
ksp	6	
		1. : 0.149445817423
		2. : 0.279308918733
		3. : 0.437871328258
		4. : 0.605366038235
		5. : 0.752570838621
		6. : 0.84237406689
		7. : 0.875877247137
		8. : 0.893258459172
		9. : 0.903071825105
		10. : 0.903308659721
ksp	7	
		1. : 0.153055649286
		2. : 0.282598316719
		3. : 0.439678228573
		4. : 0.60404352856
		5. : 0.751435089231
		6. : 0.842666806082
		7. : 0.877059161054
		8. : 0.894603661176
		9. : 0.90427977656
		10. : 0.904562075212
ksp	8	
		1. : 0.147276944001
		2. : 0.274395711486
		3. : 0.431966157405
		4. : 0.598786690606
		5. : 0.75184719327
		6. : 0.844736478912
		7. : 0.879165630138
		8. : 0.896565428603
		9. : 0.905856600294
		10. : 0.906108594564
ksp	9	
		1. : 0.154989184075
		2. : 0.282055102382
		3. : 0.431043406738
		4. : 0.594485267438
		5. : 0.741458137448
		6. : 0.834595100738
		7. : 0.869496221119
		8. : 0.887726849669
		9. : 0.898253036642
		10. : 0.898536617855
mcf	0	
		1. : 0.250237394853
		2. : 0.440141664852
		3. : 0.550111339844
		4. : 0.608258365469
		5. : 0.731174581249
		6. : 0.850153933142
		7. : 0.950181175313
		8. : 1.
mcf	1	
		1. : 0.246165833059
		2. : 0.435694248692
		3. : 0.553348262679
		4. : 0.614989263698
		5. : 0.695354137108
		6. : 0.85041470842
		7. : 0.936229338545
		8. : 1.
mcf	2	
		1. : 0.195761936572
		2. : 0.332539657287
		3. : 0.442343710906
		4. : 0.532447165724
		5. : 0.619686666493
		6. : 0.739033772495
		7. : 0.795902150772
		8. : 0.840691413977
		9. : 0.854441086176
mcf	3	
		1. : 0.204498925795
		2. : 0.33459547041
		3. : 0.446918008612
		4. : 0.540482352523
		5. : 0.638294530186
		6. : 0.737763460045
		7. : 0.785915147136
		8. : 0.835462769865
		9. : 0.846671392003
mcf	4	
		1. : 0.204157167503
