# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.158267	0.000000
ecmp	1	0.154638	0.000000
ecmp	2	0.162289	0.000000
ecmp	3	0.158185	0.000000
ecmp	4	0.153863	0.000000
ecmp	5	0.154505	0.000000
ecmp	6	0.158754	0.000000
ecmp	7	0.156771	0.000000
ecmp	8	0.158538	0.000000
ecmp	9	0.151631	0.000000
ksp	0	0.241641	0.000000
ksp	1	0.235236	0.000000
ksp	2	0.246438	0.000000
ksp	3	0.241612	0.000000
ksp	4	0.234953	0.000000
ksp	5	0.235444	0.000000
ksp	6	0.241976	0.000000
ksp	7	0.238478	0.000000
ksp	8	0.240691	0.000000
ksp	9	0.231062	0.000000
mcf	0	0.237505	0.000000
mcf	1	0.232759	0.000000
mcf	2	0.236661	0.000000
mcf	3	0.235898	0.000000
mcf	4	0.227293	0.000000
mcf	5	0.227793	0.000000
mcf	6	0.228929	0.000000
mcf	7	0.233727	0.000000
mcf	8	0.238247	0.000000
mcf	9	0.222766	0.000000
raeke	0	0.197795	0.000000
raeke	1	0.192943	0.000000
raeke	2	0.202672	0.000000
raeke	3	0.237241	0.000000
raeke	4	0.225824	0.000000
raeke	5	0.226246	0.000000
raeke	6	0.232132	0.000000
raeke	7	0.230038	0.000000
raeke	8	0.234087	0.000000
raeke	9	0.226310	0.000000
semimcfecmp	0	0.158267	0.000000
semimcfecmp	1	0.154638	0.000000
semimcfecmp	2	0.162289	0.000000
semimcfecmp	3	0.206242	0.000000
semimcfecmp	4	0.199429	0.000000
semimcfecmp	5	0.200367	0.000000
semimcfecmp	6	0.204488	0.000000
semimcfecmp	7	0.201900	0.000000
semimcfecmp	8	0.204766	0.000000
semimcfecmp	9	0.195586	0.000000
semimcfksp	0	0.194268	0.000000
semimcfksp	1	0.176572	0.000000
semimcfksp	2	0.198478	0.000000
semimcfksp	3	0.217406	0.000000
semimcfksp	4	0.218068	0.000000
semimcfksp	5	0.225410	0.000000
semimcfksp	6	0.230081	0.000000
semimcfksp	7	0.229112	0.000000
semimcfksp	8	0.221504	0.000000
semimcfksp	9	0.211071	0.000000
semimcfmcf	0	0.237816	0.000000
semimcfmcf	1	0.231470	0.000000
semimcfmcf	2	0.246309	0.000000
semimcfmcf	3	0.270351	0.000000
semimcfmcf	4	0.258236	0.000000
semimcfmcf	5	0.262878	0.000000
semimcfmcf	6	0.275336	0.000000
semimcfmcf	7	0.271027	0.000000
semimcfmcf	8	0.279556	0.000000
semimcfmcf	9	0.263956	0.000000
semimcfraeke	0	0.187087	0.000000
semimcfraeke	1	0.193716	0.000000
semimcfraeke	2	0.196022	0.000000
semimcfraeke	3	0.223230	0.000000
semimcfraeke	4	0.220124	0.000000
semimcfraeke	5	0.224200	0.000000
semimcfraeke	6	0.230494	0.000000
semimcfraeke	7	0.224218	0.000000
semimcfraeke	8	0.233067	0.000000
semimcfraeke	9	0.222197	0.000000
semimcfvlb	0	0.183934	0.000000
semimcfvlb	1	0.191948	0.000000
semimcfvlb	2	0.195403	0.000000
semimcfvlb	3	0.223053	0.000000
semimcfvlb	4	0.219483	0.000000
semimcfvlb	5	0.220927	0.000000
semimcfvlb	6	0.235564	0.000000
semimcfvlb	7	0.225221	0.000000
semimcfvlb	8	0.227532	0.000000
semimcfvlb	9	0.216318	0.000000
spf	0	0.158267	0.000000
spf	1	0.154638	0.000000
spf	2	0.162289	0.000000
spf	3	0.158185	0.000000
spf	4	0.153863	0.000000
spf	5	0.154505	0.000000
spf	6	0.158754	0.000000
spf	7	0.156771	0.000000
spf	8	0.158538	0.000000
spf	9	0.151631	0.000000
vlb	0	0.199586	0.000000
vlb	1	0.193769	0.000000
vlb	2	0.203630	0.000000
vlb	3	0.198414	0.000000
vlb	4	0.190482	0.000000
vlb	5	0.193739	0.000000
vlb	6	0.199343	0.000000
vlb	7	0.197940	0.000000
vlb	8	0.199928	0.000000
vlb	9	0.189149	0.000000

