# solver	iter	time	stddev
ecmp	0	0.055513	0.000000
ecmp	1	0.039318	0.000000
ecmp	2	0.042258	0.000000
ecmp	3	0.140106	0.000000
ecmp	4	0.097761	0.000000
ecmp	5	0.110384	0.000000
ecmp	6	0.075261	0.000000
ecmp	7	0.118410	0.000000
ecmp	8	0.099892	0.000000
ecmp	9	0.100477	0.000000
ksp	0	0.043994	0.000000
ksp	1	0.054647	0.000000
ksp	2	0.030337	0.000000
ksp	3	0.029836	0.000000
ksp	4	0.068755	0.000000
ksp	5	0.038028	0.000000
ksp	6	0.084292	0.000000
ksp	7	0.038635	0.000000
ksp	8	0.023445	0.000000
ksp	9	0.042866	0.000000
mcf	0	0.736120	0.000000
mcf	1	0.661594	0.000000
mcf	2	0.491379	0.000000
mcf	3	0.793006	0.000000
mcf	4	0.557080	0.000000
mcf	5	0.553157	0.000000
mcf	6	0.800940	0.000000
mcf	7	0.470468	0.000000
mcf	8	0.562469	0.000000
mcf	9	0.525788	0.000000
raeke	0	0.723352	0.000000
raeke	1	0.000730	0.000000
raeke	2	0.000430	0.000000
raeke	3	0.000432	0.000000
raeke	4	0.000342	0.000000
raeke	5	0.000320	0.000000
raeke	6	0.000343	0.000000
raeke	7	0.000376	0.000000
raeke	8	0.000367	0.000000
raeke	9	0.000440	0.000000
semimcfecmp	0	0.050711	0.000000
semimcfecmp	1	0.077292	0.000000
semimcfecmp	2	0.049274	0.000000
semimcfecmp	3	0.081428	0.000000
semimcfecmp	4	0.031929	0.000000
semimcfecmp	5	0.032882	0.000000
semimcfecmp	6	0.078008	0.000000
semimcfecmp	7	0.095608	0.000000
semimcfecmp	8	0.040485	0.000000
semimcfecmp	9	0.076315	0.000000
semimcfksp	0	0.053393	0.000000
semimcfksp	1	0.064101	0.000000
semimcfksp	2	0.084714	0.000000
semimcfksp	3	0.081815	0.000000
semimcfksp	4	0.055659	0.000000
semimcfksp	5	0.091595	0.000000
semimcfksp	6	0.073245	0.000000
semimcfksp	7	0.076376	0.000000
semimcfksp	8	0.064878	0.000000
semimcfksp	9	0.075499	0.000000
semimcfmcf	0	0.064881	0.000000
semimcfmcf	1	0.031140	0.000000
semimcfmcf	2	0.059816	0.000000
semimcfmcf	3	0.050587	0.000000
semimcfmcf	4	0.061428	0.000000
semimcfmcf	5	0.049838	0.000000
semimcfmcf	6	0.051875	0.000000
semimcfmcf	7	0.049094	0.000000
semimcfmcf	8	0.080106	0.000000
semimcfmcf	9	0.085423	0.000000
semimcfraeke	0	0.024772	0.000000
semimcfraeke	1	0.048673	0.000000
semimcfraeke	2	0.089744	0.000000
semimcfraeke	3	0.057367	0.000000
semimcfraeke	4	0.065457	0.000000
semimcfraeke	5	0.085145	0.000000
semimcfraeke	6	0.128862	0.000000
semimcfraeke	7	0.090715	0.000000
semimcfraeke	8	0.082466	0.000000
semimcfraeke	9	0.062803	0.000000
semimcfvlb	0	0.103117	0.000000
semimcfvlb	1	0.046517	0.000000
semimcfvlb	2	0.050744	0.000000
semimcfvlb	3	0.067318	0.000000
semimcfvlb	4	0.067518	0.000000
semimcfvlb	5	0.055670	0.000000
semimcfvlb	6	0.039577	0.000000
semimcfvlb	7	0.051642	0.000000
semimcfvlb	8	0.054766	0.000000
semimcfvlb	9	0.062359	0.000000
spf	0	0.001750	0.000000
spf	1	0.000909	0.000000
spf	2	0.000967	0.000000
spf	3	0.001136	0.000000
spf	4	0.000942	0.000000
spf	5	0.001368	0.000000
spf	6	0.000999	0.000000
spf	7	0.000926	0.000000
spf	8	0.002427	0.000000
spf	9	0.001089	0.000000
vlb	0	0.175410	0.000000
vlb	1	0.118265	0.000000
vlb	2	0.117108	0.000000
vlb	3	0.115947	0.000000
vlb	4	0.118954	0.000000
vlb	5	0.130952	0.000000
vlb	6	0.143297	0.000000
vlb	7	0.049070	0.000000
vlb	8	0.109360	0.000000
vlb	9	0.051533	0.000000

