# solver	iter	total-throughput	stddev
ecmp	0	1.000000	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	0.837308	0.000000
ecmp	3	0.833448	0.000000
ecmp	4	0.840280	0.000000
ecmp	5	0.851522	0.000000
ecmp	6	0.855899	0.000000
ecmp	7	0.857387	0.000000
ecmp	8	0.857580	0.000000
ecmp	9	0.851445	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	0.887858	0.000000
ksp	3	0.881106	0.000000
ksp	4	0.886717	0.000000
ksp	5	0.900321	0.000000
ksp	6	0.903309	0.000000
ksp	7	0.904562	0.000000
ksp	8	0.906109	0.000000
ksp	9	0.898537	0.000000
mcf	0	1.000000	0.000000
mcf	1	1.000000	0.000000
mcf	2	0.854441	0.000000
mcf	3	0.846671	0.000000
mcf	4	0.846492	0.000000
mcf	5	0.862561	0.000000
mcf	6	0.865441	0.000000
mcf	7	0.866856	0.000000
mcf	8	0.874031	0.000000
mcf	9	0.858409	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	0.896417	0.000000
raeke	3	0.931083	0.000000
raeke	4	0.936927	0.000000
raeke	5	0.957382	0.000000
raeke	6	0.957759	0.000000
raeke	7	0.962773	0.000000
raeke	8	0.964068	0.000000
raeke	9	0.954754	0.000000
semimcfecmp	0	1.000000	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	0.838312	0.000000
semimcfecmp	3	0.930445	0.000000
semimcfecmp	4	0.936839	0.000000
semimcfecmp	5	0.957470	0.000000
semimcfecmp	6	0.957988	0.000000
semimcfecmp	7	0.962840	0.000000
semimcfecmp	8	0.964583	0.000000
semimcfecmp	9	0.954168	0.000000
semimcfksp	0	1.000000	0.000000
semimcfksp	1	1.000000	0.000000
semimcfksp	2	0.903551	0.000000
semimcfksp	3	0.930445	0.000000
semimcfksp	4	0.936839	0.000000
semimcfksp	5	0.957470	0.000000
semimcfksp	6	0.957988	0.000000
semimcfksp	7	0.962840	0.000000
semimcfksp	8	0.964583	0.000000
semimcfksp	9	0.954168	0.000000
semimcfmcf	0	1.000000	0.000000
semimcfmcf	1	1.000000	0.000000
semimcfmcf	2	0.845214	0.000000
semimcfmcf	3	0.931249	0.000000
semimcfmcf	4	0.936709	0.000000
semimcfmcf	5	0.956691	0.000000
semimcfmcf	6	0.957896	0.000000
semimcfmcf	7	0.962735	0.000000
semimcfmcf	8	0.965133	0.000000
semimcfmcf	9	0.954043	0.000000
semimcfraeke	0	1.000000	0.000000
semimcfraeke	1	1.000000	0.000000
semimcfraeke	2	0.907963	0.000000
semimcfraeke	3	0.929454	0.000000
semimcfraeke	4	0.936783	0.000000
semimcfraeke	5	0.957234	0.000000
semimcfraeke	6	0.957298	0.000000
semimcfraeke	7	0.962472	0.000000
semimcfraeke	8	0.964550	0.000000
semimcfraeke	9	0.954558	0.000000
semimcfvlb	0	1.000000	0.000000
semimcfvlb	1	1.000000	0.000000
semimcfvlb	2	0.904572	0.000000
semimcfvlb	3	0.929957	0.000000
semimcfvlb	4	0.937392	0.000000
semimcfvlb	5	0.957075	0.000000
semimcfvlb	6	0.959308	0.000000
semimcfvlb	7	0.964153	0.000000
semimcfvlb	8	0.964289	0.000000
semimcfvlb	9	0.955175	0.000000
spf	0	1.000000	0.000000
spf	1	1.000000	0.000000
spf	2	0.838312	0.000000
spf	3	0.834203	0.000000
spf	4	0.840919	0.000000
spf	5	0.852188	0.000000
spf	6	0.856745	0.000000
spf	7	0.858200	0.000000
spf	8	0.858622	0.000000
spf	9	0.852159	0.000000
vlb	0	1.000000	0.000000
vlb	1	1.000000	0.000000
vlb	2	0.888625	0.000000
vlb	3	0.883371	0.000000
vlb	4	0.889606	0.000000
vlb	5	0.900907	0.000000
vlb	6	0.903676	0.000000
vlb	7	0.911051	0.000000
vlb	8	0.907992	0.000000
vlb	9	0.901769	0.000000

