# solver	iter	.0.800000-congestion	stddev
ecmp	0	0.332785	0.000000
ecmp	1	0.318223	0.000000
ecmp	2	0.343955	0.000000
ecmp	3	0.306326	0.000000
ecmp	4	0.292887	0.000000
ecmp	5	0.314902	0.000000
ecmp	6	0.331339	0.000000
ecmp	7	0.323169	0.000000
ecmp	8	0.327895	0.000000
ecmp	9	0.307497	0.000000
ksp	0	0.568939	0.000000
ksp	1	0.573120	0.000000
ksp	2	0.447233	0.000000
ksp	3	0.412187	0.000000
ksp	4	0.409066	0.000000
ksp	5	0.410952	0.000000
ksp	6	0.447166	0.000000
ksp	7	0.436275	0.000000
ksp	8	0.461960	0.000000
ksp	9	0.410873	0.000000
mcf	0	0.532806	0.000000
mcf	1	0.526126	0.000000
mcf	2	0.482768	0.000000
mcf	3	0.449400	0.000000
mcf	4	0.444113	0.000000
mcf	5	0.463991	0.000000
mcf	6	0.484322	0.000000
mcf	7	0.505885	0.000000
mcf	8	0.526878	0.000000
mcf	9	0.455989	0.000000
raeke	0	0.425194	0.000000
raeke	1	0.409107	0.000000
raeke	2	0.407167	0.000000
raeke	3	0.400431	0.000000
raeke	4	0.376059	0.000000
raeke	5	0.393797	0.000000
raeke	6	0.420508	0.000000
raeke	7	0.429245	0.000000
raeke	8	0.455304	0.000000
raeke	9	0.398254	0.000000
semimcfecmp	0	0.373417	0.000000
semimcfecmp	1	0.369541	0.000000
semimcfecmp	2	0.299431	0.000000
semimcfecmp	3	0.322600	0.000000
semimcfecmp	4	0.305506	0.000000
semimcfecmp	5	0.351861	0.000000
semimcfecmp	6	0.348993	0.000000
semimcfecmp	7	0.355211	0.000000
semimcfecmp	8	0.346368	0.000000
semimcfecmp	9	0.345020	0.000000
semimcfksp	0	0.416592	0.000000
semimcfksp	1	0.393680	0.000000
semimcfksp	2	0.386383	0.000000
semimcfksp	3	0.386940	0.000000
semimcfksp	4	0.375753	0.000000
semimcfksp	5	0.399843	0.000000
semimcfksp	6	0.460311	0.000000
semimcfksp	7	0.459188	0.000000
semimcfksp	8	0.434714	0.000000
semimcfksp	9	0.377040	0.000000
semimcfmcf	0	0.544438	0.000000
semimcfmcf	1	0.537090	0.000000
semimcfmcf	2	0.499637	0.000000
semimcfmcf	3	0.520806	0.000000
semimcfmcf	4	0.485279	0.000000
semimcfmcf	5	0.541640	0.000000
semimcfmcf	6	0.575643	0.000000
semimcfmcf	7	0.564727	0.000000
semimcfmcf	8	0.614510	0.000000
semimcfmcf	9	0.534605	0.000000
semimcfraeke	0	0.429727	0.000000
semimcfraeke	1	0.435527	0.000000
semimcfraeke	2	0.399728	0.000000
semimcfraeke	3	0.380099	0.000000
semimcfraeke	4	0.410298	0.000000
semimcfraeke	5	0.448134	0.000000
semimcfraeke	6	0.479055	0.000000
semimcfraeke	7	0.439284	0.000000
semimcfraeke	8	0.490609	0.000000
semimcfraeke	9	0.400972	0.000000
semimcfvlb	0	0.418580	0.000000
semimcfvlb	1	0.437943	0.000000
semimcfvlb	2	0.396080	0.000000
semimcfvlb	3	0.389155	0.000000
semimcfvlb	4	0.387991	0.000000
semimcfvlb	5	0.425176	0.000000
semimcfvlb	6	0.471682	0.000000
semimcfvlb	7	0.436882	0.000000
semimcfvlb	8	0.454746	0.000000
semimcfvlb	9	0.403681	0.000000
spf	0	0.344083	0.000000
spf	1	0.302366	0.000000
spf	2	0.349662	0.000000
spf	3	0.344536	0.000000
spf	4	0.336211	0.000000
spf	5	0.316193	0.000000
spf	6	0.320743	0.000000
spf	7	0.312961	0.000000
spf	8	0.368210	0.000000
spf	9	0.309783	0.000000
vlb	0	0.414949	0.000000
vlb	1	0.428298	0.000000
vlb	2	0.407709	0.000000
vlb	3	0.345566	0.000000
vlb	4	0.408547	0.000000
vlb	5	0.378394	0.000000
vlb	6	0.402869	0.000000
vlb	7	0.419909	0.000000
vlb	8	0.418444	0.000000
vlb	9	0.345611	0.000000

