# solver	iter	.0.950000-exp-congestion	stddev
ecmp	0	0.456621	0.000000
ecmp	1	0.442128	0.000000
ecmp	2	0.486389	0.000000
ecmp	3	0.489624	0.000000
ecmp	4	0.470008	0.000000
ecmp	5	0.481380	0.000000
ecmp	6	0.477545	0.000000
ecmp	7	0.483093	0.000000
ecmp	8	0.526339	0.000000
ecmp	9	0.463632	0.000000
ksp	0	0.707097	0.000000
ksp	1	0.698536	0.000000
ksp	2	0.728142	0.000000
ksp	3	0.700751	0.000000
ksp	4	0.676213	0.000000
ksp	5	0.679825	0.000000
ksp	6	0.706754	0.000000
ksp	7	0.682798	0.000000
ksp	8	0.684652	0.000000
ksp	9	0.661130	0.000000
mcf	0	0.600000	0.000000
mcf	1	0.600116	0.000000
mcf	2	0.606547	0.000000
mcf	3	0.616135	0.000000
mcf	4	0.602786	0.000000
mcf	5	0.569436	0.000000
mcf	6	0.570776	0.000000
mcf	7	0.561454	0.000000
mcf	8	0.559065	0.000000
mcf	9	0.573240	0.000000
raeke	0	0.645579	0.000000
raeke	1	0.626131	0.000000
raeke	2	0.653843	0.000000
raeke	3	0.927943	0.000000
raeke	4	0.889585	0.000000
raeke	5	0.910637	0.000000
raeke	6	0.936605	0.000000
raeke	7	0.931745	0.000000
raeke	8	0.941669	0.000000
raeke	9	0.876527	0.000000
semimcfecmp	0	0.460625	0.000000
semimcfecmp	1	0.449681	0.000000
semimcfecmp	2	0.469246	0.000000
semimcfecmp	3	0.927943	0.000000
semimcfecmp	4	0.889585	0.000000
semimcfecmp	5	0.910637	0.000000
semimcfecmp	6	0.936605	0.000000
semimcfecmp	7	0.931745	0.000000
semimcfecmp	8	0.941669	0.000000
semimcfecmp	9	0.876527	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.512261	0.000000
semimcfksp	2	0.606547	0.000000
semimcfksp	3	0.927943	0.000000
semimcfksp	4	0.889585	0.000000
semimcfksp	5	0.910637	0.000000
semimcfksp	6	0.936605	0.000000
semimcfksp	7	0.931745	0.000000
semimcfksp	8	0.941669	0.000000
semimcfksp	9	0.876527	0.000000
semimcfmcf	0	0.600000	0.000000
semimcfmcf	1	0.600116	0.000000
semimcfmcf	2	0.628107	0.000000
semimcfmcf	3	0.927943	0.000000
semimcfmcf	4	0.889585	0.000000
semimcfmcf	5	0.910637	0.000000
semimcfmcf	6	0.957830	0.000000
semimcfmcf	7	0.931745	0.000000
semimcfmcf	8	0.941669	0.000000
semimcfmcf	9	0.876527	0.000000
semimcfraeke	0	0.600000	0.000000
semimcfraeke	1	0.600116	0.000000
semimcfraeke	2	0.606547	0.000000
semimcfraeke	3	0.927943	0.000000
semimcfraeke	4	0.889585	0.000000
semimcfraeke	5	0.910637	0.000000
semimcfraeke	6	0.936605	0.000000
semimcfraeke	7	0.931745	0.000000
semimcfraeke	8	0.941669	0.000000
semimcfraeke	9	0.876527	0.000000
semimcfvlb	0	0.600000	0.000000
semimcfvlb	1	0.574451	0.000000
semimcfvlb	2	0.606547	0.000000
semimcfvlb	3	0.927943	0.000000
semimcfvlb	4	0.889585	0.000000
semimcfvlb	5	0.910637	0.000000
semimcfvlb	6	0.936605	0.000000
semimcfvlb	7	0.931745	0.000000
semimcfvlb	8	0.941669	0.000000
semimcfvlb	9	0.876527	0.000000
spf	0	0.575402	0.000000
spf	1	0.514151	0.000000
spf	2	0.596866	0.000000
spf	3	0.572849	0.000000
spf	4	0.550198	0.000000
spf	5	0.592645	0.000000
spf	6	0.590993	0.000000
spf	7	0.596154	0.000000
spf	8	0.634372	0.000000
spf	9	0.564794	0.000000
vlb	0	0.636805	0.000000
vlb	1	0.610457	0.000000
vlb	2	0.631731	0.000000
vlb	3	0.606912	0.000000
vlb	4	0.617521	0.000000
vlb	5	0.627464	0.000000
vlb	6	0.634175	0.000000
vlb	7	0.629783	0.000000
vlb	8	0.628966	0.000000
vlb	9	0.580961	0.000000

