# solver	iter	.0.400000-exp-congestion	stddev
ecmp	0	0.042087	0.000000
ecmp	1	0.041443	0.000000
ecmp	2	0.043931	0.000000
ecmp	3	0.038453	0.000000
ecmp	4	0.037156	0.000000
ecmp	5	0.039777	0.000000
ecmp	6	0.041935	0.000000
ecmp	7	0.039712	0.000000
ecmp	8	0.039663	0.000000
ecmp	9	0.037900	0.000000
ksp	0	0.045738	0.000000
ksp	1	0.045515	0.000000
ksp	2	0.047722	0.000000
ksp	3	0.048200	0.000000
ksp	4	0.045735	0.000000
ksp	5	0.045709	0.000000
ksp	6	0.046856	0.000000
ksp	7	0.047266	0.000000
ksp	8	0.049075	0.000000
ksp	9	0.046556	0.000000
mcf	0	0.045738	0.000000
mcf	1	0.045162	0.000000
mcf	2	0.047722	0.000000
mcf	3	0.048200	0.000000
mcf	4	0.042434	0.000000
mcf	5	0.045709	0.000000
mcf	6	0.046096	0.000000
mcf	7	0.047266	0.000000
mcf	8	0.046016	0.000000
mcf	9	0.042693	0.000000
raeke	0	0.045738	0.000000
raeke	1	0.045515	0.000000
raeke	2	0.047722	0.000000
raeke	3	0.048200	0.000000
raeke	4	0.045735	0.000000
raeke	5	0.045709	0.000000
raeke	6	0.046856	0.000000
raeke	7	0.047266	0.000000
raeke	8	0.049075	0.000000
raeke	9	0.046556	0.000000
semimcfecmp	0	0.043989	0.000000
semimcfecmp	1	0.045162	0.000000
semimcfecmp	2	0.043931	0.000000
semimcfecmp	3	0.044033	0.000000
semimcfecmp	4	0.041035	0.000000
semimcfecmp	5	0.038419	0.000000
semimcfecmp	6	0.046096	0.000000
semimcfecmp	7	0.043297	0.000000
semimcfecmp	8	0.036837	0.000000
semimcfecmp	9	0.037900	0.000000
semimcfksp	0	0.045738	0.000000
semimcfksp	1	0.045162	0.000000
semimcfksp	2	0.047722	0.000000
semimcfksp	3	0.045956	0.000000
semimcfksp	4	0.045735	0.000000
semimcfksp	5	0.045709	0.000000
semimcfksp	6	0.046856	0.000000
semimcfksp	7	0.047266	0.000000
semimcfksp	8	0.049075	0.000000
semimcfksp	9	0.046556	0.000000
semimcfmcf	0	0.045738	0.000000
semimcfmcf	1	0.045515	0.000000
semimcfmcf	2	0.047722	0.000000
semimcfmcf	3	0.048200	0.000000
semimcfmcf	4	0.045735	0.000000
semimcfmcf	5	0.045709	0.000000
semimcfmcf	6	0.046856	0.000000
semimcfmcf	7	0.047266	0.000000
semimcfmcf	8	0.049075	0.000000
semimcfmcf	9	0.046556	0.000000
semimcfraeke	0	0.043989	0.000000
semimcfraeke	1	0.045515	0.000000
semimcfraeke	2	0.047722	0.000000
semimcfraeke	3	0.048200	0.000000
semimcfraeke	4	0.042434	0.000000
semimcfraeke	5	0.041343	0.000000
semimcfraeke	6	0.046856	0.000000
semimcfraeke	7	0.047266	0.000000
semimcfraeke	8	0.049075	0.000000
semimcfraeke	9	0.046556	0.000000
semimcfvlb	0	0.045738	0.000000
semimcfvlb	1	0.045162	0.000000
semimcfvlb	2	0.046744	0.000000
semimcfvlb	3	0.045956	0.000000
semimcfvlb	4	0.045735	0.000000
semimcfvlb	5	0.045709	0.000000
semimcfvlb	6	0.046096	0.000000
semimcfvlb	7	0.047266	0.000000
semimcfvlb	8	0.049075	0.000000
semimcfvlb	9	0.041808	0.000000
spf	0	0.039317	0.000000
spf	1	0.041363	0.000000
spf	2	0.042527	0.000000
spf	3	0.040174	0.000000
spf	4	0.037166	0.000000
spf	5	0.037073	0.000000
spf	6	0.041284	0.000000
spf	7	0.039712	0.000000
spf	8	0.036632	0.000000
spf	9	0.036712	0.000000
vlb	0	0.043989	0.000000
vlb	1	0.045162	0.000000
vlb	2	0.046744	0.000000
vlb	3	0.045956	0.000000
vlb	4	0.042434	0.000000
vlb	5	0.041343	0.000000
vlb	6	0.041284	0.000000
vlb	7	0.045538	0.000000
vlb	8	0.046016	0.000000
vlb	9	0.046556	0.000000

