# solver	iter	failure-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.334930	0.000000
ecmp	3	0.335020	0.000000
ecmp	4	0.326444	0.000000
ecmp	5	0.326450	0.000000
ecmp	6	0.316339	0.000000
ecmp	7	0.319206	0.000000
ecmp	8	0.320844	0.000000
ecmp	9	0.322383	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.412660	0.000000
ksp	3	0.425834	0.000000
ksp	4	0.421710	0.000000
ksp	5	0.412227	0.000000
ksp	6	0.399366	0.000000
ksp	7	0.406690	0.000000
ksp	8	0.397102	0.000000
ksp	9	0.414267	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.304802	0.000000
mcf	3	0.318556	0.000000
mcf	4	0.317018	0.000000
mcf	5	0.313910	0.000000
mcf	6	0.297564	0.000000
mcf	7	0.305550	0.000000
mcf	8	0.301707	0.000000
mcf	9	0.309459	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.319775	0.000000
raeke	3	0.330289	0.000000
raeke	4	0.244265	0.000000
raeke	5	0.319182	0.000000
raeke	6	0.234615	0.000000
raeke	7	0.316047	0.000000
raeke	8	0.311819	0.000000
raeke	9	0.242502	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.332541	0.000000
semimcfecmp	3	0.332612	0.000000
semimcfecmp	4	0.324252	0.000000
semimcfecmp	5	0.324347	0.000000
semimcfecmp	6	0.313738	0.000000
semimcfecmp	7	0.316637	0.000000
semimcfecmp	8	0.318467	0.000000
semimcfecmp	9	0.319809	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.302881	0.000000
semimcfksp	3	0.310830	0.000000
semimcfksp	4	0.301957	0.000000
semimcfksp	5	0.297596	0.000000
semimcfksp	6	0.302095	0.000000
semimcfksp	7	0.288925	0.000000
semimcfksp	8	0.301707	0.000000
semimcfksp	9	0.297669	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.323778	0.000000
semimcfmcf	3	0.335402	0.000000
semimcfmcf	4	0.328003	0.000000
semimcfmcf	5	0.320562	0.000000
semimcfmcf	6	0.305993	0.000000
semimcfmcf	7	0.312189	0.000000
semimcfmcf	8	0.301861	0.000000
semimcfmcf	9	0.323547	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.300985	0.000000
semimcfraeke	3	0.310676	0.000000
semimcfraeke	4	0.309119	0.000000
semimcfraeke	5	0.304005	0.000000
semimcfraeke	6	0.290747	0.000000
semimcfraeke	7	0.265307	0.000000
semimcfraeke	8	0.283804	0.000000
semimcfraeke	9	0.310801	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.288224	0.000000
semimcfvlb	3	0.294248	0.000000
semimcfvlb	4	0.289652	0.000000
semimcfvlb	5	0.286939	0.000000
semimcfvlb	6	0.278176	0.000000
semimcfvlb	7	0.286086	0.000000
semimcfvlb	8	0.287515	0.000000
semimcfvlb	9	0.285557	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.332541	0.000000
spf	3	0.332612	0.000000
spf	4	0.324252	0.000000
spf	5	0.324347	0.000000
spf	6	0.313738	0.000000
spf	7	0.316637	0.000000
spf	8	0.318467	0.000000
spf	9	0.319809	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.400420	0.000000
vlb	3	0.408093	0.000000
vlb	4	0.407161	0.000000
vlb	5	0.394259	0.000000
vlb	6	0.375264	0.000000
vlb	7	0.387545	0.000000
vlb	8	0.383308	0.000000
vlb	9	0.407474	0.000000

