#solver	iter	latency-throughput
ecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
ecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
ecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.57064064999
		4. : 0.648884241628
		5. : 0.672700025023
ecmp	3	
		1. : 0.229918779481
		2. : 0.467063167088
		3. : 0.569000617156
		4. : 0.64804272343
		5. : 0.672510563109
ecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.680895596837
ecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.680856131344
ecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.690727093436
ecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.687969923648
ecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.686392912976
ecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.684901666824
ksp	0	
		1. : 0.0981169519731
		2. : 0.220452986567
		3. : 0.413072014264
		4. : 0.684300868684
		5. : 0.898222582467
		6. : 0.999583116004
		7. : 1.
ksp	1	
		1. : 0.0975051180457
		2. : 0.217479728636
		3. : 0.40676692433
		4. : 0.675260754068
		5. : 0.894407652615
		6. : 0.999611580385
		7. : 1.
ksp	2	
		1. : 0.0774206148606
		2. : 0.164008408676
		3. : 0.285245746564
		4. : 0.439877669968
		5. : 0.565486378264
		6. : 0.600275360465
		7. : 0.600660823168
ksp	3	
		1. : 0.0791015411195
		2. : 0.165224810557
		3. : 0.28176361967
		4. : 0.432189261456
		5. : 0.551647223512
		6. : 0.587587349852
		7. : 0.587875364301
ksp	4	
		1. : 0.0791328243998
		2. : 0.167158336377
		3. : 0.285280773797
		4. : 0.437981150086
		5. : 0.556782489353
		6. : 0.591620797129
		7. : 0.591909665497
ksp	5	
		1. : 0.0786775066404
		2. : 0.167236261107
		3. : 0.291454443086
		4. : 0.445954708248
		5. : 0.566545499969
		6. : 0.600718479049
		7. : 0.600964238564
ksp	6	
		1. : 0.0785744026277
		2. : 0.169602192601
		3. : 0.299505393726
		4. : 0.457392678468
		5. : 0.580579472401
		6. : 0.613172145427
		7. : 0.61338189423
ksp	7	
		1. : 0.078796705481
		2. : 0.16818767504
		3. : 0.295443373268
		4. : 0.450037739151
		5. : 0.572857854543
		6. : 0.606026653326
		7. : 0.606290273409
ksp	8	
		1. : 0.0778877317846
		2. : 0.167231846443
		3. : 0.297114640837
		4. : 0.454444395879
		5. : 0.582274366882
		6. : 0.615312818268
		7. : 0.615599435363
ksp	9	
		1. : 0.0793497071991
		2. : 0.167432824511
		3. : 0.288763480073
		4. : 0.442467065497
		5. : 0.56478752153
		6. : 0.598882442662
		7. : 0.599136400364
mcf	0	
		1. : 0.250237394853
		2. : 0.440141664852
		3. : 0.550111339844
		4. : 0.608258365469
		5. : 0.731174581249
		6. : 0.850153933142
		7. : 0.950181175313
		8. : 1.
mcf	1	
		1. : 0.246165833059
		2. : 0.435694248692
		3. : 0.553348262679
		4. : 0.614989263698
		5. : 0.695354137108
		6. : 0.85041470842
		7. : 0.936229338545
		8. : 1.
mcf	2	
		1. : 0.207113526458
		2. : 0.348933199714
		3. : 0.443757067753
		4. : 0.495541017119
		5. : 0.554320546051
		6. : 0.668732407242
		7. : 0.699602683383
		8. : 0.703290802725
mcf	3	
		1. : 0.20621761318
		2. : 0.330199278111
		3. : 0.432605539436
		4. : 0.491569316482
		5. : 0.574455235187
		6. : 0.654871036272
		7. : 0.678463866366
		8. : 0.68982587345
mcf	4	
		1. : 0.209268688822
		2. : 0.332176198426
		3. : 0.436298421709
		4. : 0.498772370488
		5. : 0.561837149778
		6. : 0.656835522163
		7. : 0.683984943065
		8. : 0.690979204133
mcf	5	
		1. : 0.2092730106
		2. : 0.331484399662
		3. : 0.435693430055
		4. : 0.481955133832
		5. : 0.562766491826
		6. : 0.661050673072
		7. : 0.686459323503
		8. : 0.69222005071
		9. : 0.693398264635
mcf	6	
		1. : 0.209916700732
		2. : 0.348568748793
		3. : 0.436033631989
		4. : 0.501166041255
		5. : 0.562136002357
		6. : 0.674684542285
		7. : 0.706883863391
		8. : 0.710150238261
mcf	7	
		1. : 0.202725758027
		2. : 0.306490241902
		3. : 0.375613405833
		4. : 0.451119611662
		5. : 0.529661892369
		6. : 0.656573729855
		7. : 0.699179181265
		8. : 0.701950165948
