# solver	iter	time	stddev
ecmp	0	0.138670	0.000000
ecmp	1	0.092460	0.000000
ecmp	2	0.113611	0.000000
ecmp	3	0.107371	0.000000
ecmp	4	0.110897	0.000000
ecmp	5	0.184611	0.000000
ecmp	6	0.147473	0.000000
ecmp	7	0.126577	0.000000
ecmp	8	0.139075	0.000000
ecmp	9	0.103430	0.000000
ksp	0	0.071769	0.000000
ksp	1	0.084475	0.000000
ksp	2	0.063656	0.000000
ksp	3	0.060912	0.000000
ksp	4	0.041989	0.000000
ksp	5	0.037943	0.000000
ksp	6	0.057878	0.000000
ksp	7	0.054136	0.000000
ksp	8	0.062439	0.000000
ksp	9	0.056290	0.000000
mcf	0	0.809510	0.000000
mcf	1	0.854866	0.000000
mcf	2	0.691880	0.000000
mcf	3	0.635286	0.000000
mcf	4	0.658593	0.000000
mcf	5	1.033749	0.000000
mcf	6	1.102203	0.000000
mcf	7	0.933017	0.000000
mcf	8	0.864868	0.000000
mcf	9	0.570083	0.000000
raeke	0	1.082992	0.000000
raeke	1	0.000381	0.000000
raeke	2	0.028456	0.000000
raeke	3	0.000451	0.000000
raeke	4	0.000389	0.000000
raeke	5	0.000354	0.000000
raeke	6	0.000444	0.000000
raeke	7	0.000438	0.000000
raeke	8	0.000626	0.000000
raeke	9	0.000452	0.000000
semimcfecmp	0	0.073515	0.000000
semimcfecmp	1	0.064196	0.000000
semimcfecmp	2	0.081074	0.000000
semimcfecmp	3	0.074240	0.000000
semimcfecmp	4	0.053152	0.000000
semimcfecmp	5	0.066279	0.000000
semimcfecmp	6	0.065222	0.000000
semimcfecmp	7	0.082922	0.000000
semimcfecmp	8	0.060758	0.000000
semimcfecmp	9	0.087205	0.000000
semimcfksp	0	0.077665	0.000000
semimcfksp	1	0.088218	0.000000
semimcfksp	2	0.083326	0.000000
semimcfksp	3	0.085065	0.000000
semimcfksp	4	0.075411	0.000000
semimcfksp	5	0.106762	0.000000
semimcfksp	6	0.099917	0.000000
semimcfksp	7	0.128718	0.000000
semimcfksp	8	0.121571	0.000000
semimcfksp	9	0.097923	0.000000
semimcfmcf	0	0.037142	0.000000
semimcfmcf	1	0.060372	0.000000
semimcfmcf	2	0.075905	0.000000
semimcfmcf	3	0.054863	0.000000
semimcfmcf	4	0.079640	0.000000
semimcfmcf	5	0.064658	0.000000
semimcfmcf	6	0.069408	0.000000
semimcfmcf	7	0.043867	0.000000
semimcfmcf	8	0.075939	0.000000
semimcfmcf	9	0.036704	0.000000
semimcfraeke	0	0.104929	0.000000
semimcfraeke	1	0.105383	0.000000
semimcfraeke	2	0.093062	0.000000
semimcfraeke	3	0.093971	0.000000
semimcfraeke	4	0.124145	0.000000
semimcfraeke	5	0.105236	0.000000
semimcfraeke	6	0.109514	0.000000
semimcfraeke	7	0.115122	0.000000
semimcfraeke	8	0.108155	0.000000
semimcfraeke	9	0.087401	0.000000
semimcfvlb	0	0.100495	0.000000
semimcfvlb	1	0.123532	0.000000
semimcfvlb	2	0.093706	0.000000
semimcfvlb	3	0.082795	0.000000
semimcfvlb	4	0.053093	0.000000
semimcfvlb	5	0.078793	0.000000
semimcfvlb	6	0.073870	0.000000
semimcfvlb	7	0.073384	0.000000
semimcfvlb	8	0.057404	0.000000
semimcfvlb	9	0.094455	0.000000
spf	0	0.000935	0.000000
spf	1	0.000906	0.000000
spf	2	0.000921	0.000000
spf	3	0.033411	0.000000
spf	4	0.000908	0.000000
spf	5	0.000928	0.000000
spf	6	0.001226	0.000000
spf	7	0.000899	0.000000
spf	8	0.025016	0.000000
spf	9	0.013327	0.000000
vlb	0	0.195560	0.000000
vlb	1	0.182349	0.000000
vlb	2	0.203021	0.000000
vlb	3	0.158133	0.000000
vlb	4	0.174588	0.000000
vlb	5	0.195019	0.000000
vlb	6	0.301692	0.000000
vlb	7	0.225261	0.000000
vlb	8	0.162974	0.000000
vlb	9	0.208132	0.000000

