# solver	iter	mean-congestion	stddev
ecmp	0	0.105512	0.000000
ecmp	1	0.103092	0.000000
ecmp	2	0.068167	0.000000
ecmp	3	0.066576	0.000000
ecmp	4	0.065742	0.000000
ecmp	5	0.065828	0.000000
ecmp	6	0.068936	0.000000
ecmp	7	0.067522	0.000000
ecmp	8	0.067996	0.000000
ecmp	9	0.065063	0.000000
ksp	0	0.161094	0.000000
ksp	1	0.156824	0.000000
ksp	2	0.132400	0.000000
ksp	3	0.129051	0.000000
ksp	4	0.125618	0.000000
ksp	5	0.126615	0.000000
ksp	6	0.131160	0.000000
ksp	7	0.128458	0.000000
ksp	8	0.130415	0.000000
ksp	9	0.123702	0.000000
mcf	0	0.158337	0.000000
mcf	1	0.155173	0.000000
mcf	2	0.107547	0.000000
mcf	3	0.103445	0.000000
mcf	4	0.097890	0.000000
mcf	5	0.101139	0.000000
mcf	6	0.104473	0.000000
mcf	7	0.109068	0.000000
mcf	8	0.112707	0.000000
mcf	9	0.096933	0.000000
raeke	0	0.132994	0.000000
raeke	1	0.129804	0.000000
raeke	2	0.139834	0.000000
raeke	3	0.135860	0.000000
raeke	4	0.131677	0.000000
raeke	5	0.132334	0.000000
raeke	6	0.135745	0.000000
raeke	7	0.133753	0.000000
raeke	8	0.135899	0.000000
raeke	9	0.129336	0.000000
semimcfecmp	0	0.105512	0.000000
semimcfecmp	1	0.103092	0.000000
semimcfecmp	2	0.068218	0.000000
semimcfecmp	3	0.066626	0.000000
semimcfecmp	4	0.065787	0.000000
semimcfecmp	5	0.065871	0.000000
semimcfecmp	6	0.068988	0.000000
semimcfecmp	7	0.067574	0.000000
semimcfecmp	8	0.068045	0.000000
semimcfecmp	9	0.065115	0.000000
semimcfksp	0	0.129512	0.000000
semimcfksp	1	0.117715	0.000000
semimcfksp	2	0.121312	0.000000
semimcfksp	3	0.116254	0.000000
semimcfksp	4	0.114741	0.000000
semimcfksp	5	0.115793	0.000000
semimcfksp	6	0.119051	0.000000
semimcfksp	7	0.117475	0.000000
semimcfksp	8	0.115644	0.000000
semimcfksp	9	0.112172	0.000000
semimcfmcf	0	0.158544	0.000000
semimcfmcf	1	0.154313	0.000000
semimcfmcf	2	0.107113	0.000000
semimcfmcf	3	0.100753	0.000000
semimcfmcf	4	0.099188	0.000000
semimcfmcf	5	0.101710	0.000000
semimcfmcf	6	0.107202	0.000000
semimcfmcf	7	0.104537	0.000000
semimcfmcf	8	0.107713	0.000000
semimcfmcf	9	0.099073	0.000000
semimcfraeke	0	0.124576	0.000000
semimcfraeke	1	0.124193	0.000000
semimcfraeke	2	0.134309	0.000000
semimcfraeke	3	0.131530	0.000000
semimcfraeke	4	0.125317	0.000000
semimcfraeke	5	0.127400	0.000000
semimcfraeke	6	0.131870	0.000000
semimcfraeke	7	0.130937	0.000000
semimcfraeke	8	0.132264	0.000000
semimcfraeke	9	0.125052	0.000000
semimcfvlb	0	0.129844	0.000000
semimcfvlb	1	0.122562	0.000000
semimcfvlb	2	0.121096	0.000000
semimcfvlb	3	0.117791	0.000000
semimcfvlb	4	0.115007	0.000000
semimcfvlb	5	0.116995	0.000000
semimcfvlb	6	0.118917	0.000000
semimcfvlb	7	0.118777	0.000000
semimcfvlb	8	0.115188	0.000000
semimcfvlb	9	0.113017	0.000000
spf	0	0.105512	0.000000
spf	1	0.103092	0.000000
spf	2	0.068218	0.000000
spf	3	0.066626	0.000000
spf	4	0.065787	0.000000
spf	5	0.065871	0.000000
spf	6	0.068988	0.000000
spf	7	0.067574	0.000000
spf	8	0.068045	0.000000
spf	9	0.065115	0.000000
vlb	0	0.134108	0.000000
vlb	1	0.128862	0.000000
vlb	2	0.120592	0.000000
vlb	3	0.118850	0.000000
vlb	4	0.115449	0.000000
vlb	5	0.117204	0.000000
vlb	6	0.118721	0.000000
vlb	7	0.115561	0.000000
vlb	8	0.116341	0.000000
vlb	9	0.112716	0.000000

