# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.211023	0.000000
ecmp	1	0.206185	0.000000
ecmp	2	0.216386	0.000000
ecmp	3	0.210913	0.000000
ecmp	4	0.205151	0.000000
ecmp	5	0.206007	0.000000
ecmp	6	0.211672	0.000000
ecmp	7	0.209027	0.000000
ecmp	8	0.211385	0.000000
ecmp	9	0.202175	0.000000
ksp	0	0.322188	0.000000
ksp	1	0.313648	0.000000
ksp	2	0.328584	0.000000
ksp	3	0.322149	0.000000
ksp	4	0.313271	0.000000
ksp	5	0.313926	0.000000
ksp	6	0.322634	0.000000
ksp	7	0.317970	0.000000
ksp	8	0.320921	0.000000
ksp	9	0.308083	0.000000
mcf	0	0.316674	0.000000
mcf	1	0.310346	0.000000
mcf	2	0.315548	0.000000
mcf	3	0.314531	0.000000
mcf	4	0.303057	0.000000
mcf	5	0.303724	0.000000
mcf	6	0.305238	0.000000
mcf	7	0.311636	0.000000
mcf	8	0.317663	0.000000
mcf	9	0.297021	0.000000
raeke	0	0.262939	0.000000
raeke	1	0.256452	0.000000
raeke	2	0.269334	0.000000
raeke	3	0.312014	0.000000
raeke	4	0.299408	0.000000
raeke	5	0.307881	0.000000
raeke	6	0.310026	0.000000
raeke	7	0.303841	0.000000
raeke	8	0.307435	0.000000
raeke	9	0.296034	0.000000
semimcfecmp	0	0.211023	0.000000
semimcfecmp	1	0.206185	0.000000
semimcfecmp	2	0.216386	0.000000
semimcfecmp	3	0.274990	0.000000
semimcfecmp	4	0.265905	0.000000
semimcfecmp	5	0.267156	0.000000
semimcfecmp	6	0.272651	0.000000
semimcfecmp	7	0.269200	0.000000
semimcfecmp	8	0.273022	0.000000
semimcfecmp	9	0.260781	0.000000
semimcfksp	0	0.259024	0.000000
semimcfksp	1	0.235430	0.000000
semimcfksp	2	0.264637	0.000000
semimcfksp	3	0.289875	0.000000
semimcfksp	4	0.290757	0.000000
semimcfksp	5	0.300547	0.000000
semimcfksp	6	0.306775	0.000000
semimcfksp	7	0.305482	0.000000
semimcfksp	8	0.295339	0.000000
semimcfksp	9	0.281428	0.000000
semimcfmcf	0	0.317089	0.000000
semimcfmcf	1	0.308627	0.000000
semimcfmcf	2	0.328412	0.000000
semimcfmcf	3	0.360469	0.000000
semimcfmcf	4	0.344314	0.000000
semimcfmcf	5	0.350504	0.000000
semimcfmcf	6	0.367115	0.000000
semimcfmcf	7	0.361369	0.000000
semimcfmcf	8	0.372741	0.000000
semimcfmcf	9	0.351942	0.000000
semimcfraeke	0	0.250435	0.000000
semimcfraeke	1	0.250577	0.000000
semimcfraeke	2	0.260146	0.000000
semimcfraeke	3	0.308936	0.000000
semimcfraeke	4	0.292127	0.000000
semimcfraeke	5	0.296353	0.000000
semimcfraeke	6	0.312401	0.000000
semimcfraeke	7	0.295184	0.000000
semimcfraeke	8	0.303084	0.000000
semimcfraeke	9	0.294302	0.000000
semimcfvlb	0	0.253429	0.000000
semimcfvlb	1	0.246837	0.000000
semimcfvlb	2	0.258141	0.000000
semimcfvlb	3	0.295085	0.000000
semimcfvlb	4	0.292164	0.000000
semimcfvlb	5	0.292665	0.000000
semimcfvlb	6	0.300577	0.000000
semimcfvlb	7	0.296194	0.000000
semimcfvlb	8	0.300747	0.000000
semimcfvlb	9	0.290541	0.000000
spf	0	0.211023	0.000000
spf	1	0.206185	0.000000
spf	2	0.216386	0.000000
spf	3	0.210913	0.000000
spf	4	0.205151	0.000000
spf	5	0.206007	0.000000
spf	6	0.211672	0.000000
spf	7	0.209027	0.000000
spf	8	0.211385	0.000000
spf	9	0.202175	0.000000
vlb	0	0.266828	0.000000
vlb	1	0.257999	0.000000
vlb	2	0.272145	0.000000
vlb	3	0.268398	0.000000
vlb	4	0.261760	0.000000
vlb	5	0.254067	0.000000
vlb	6	0.265578	0.000000
vlb	7	0.263832	0.000000
vlb	8	0.266286	0.000000
vlb	9	0.257504	0.000000

