# solver	iter	.0.500000-congestion	stddev
ecmp	0	0.081531	0.000000
ecmp	1	0.077497	0.000000
ecmp	2	0.070987	0.000000
ecmp	3	0.067170	0.000000
ecmp	4	0.062881	0.000000
ecmp	5	0.066376	0.000000
ecmp	6	0.071903	0.000000
ecmp	7	0.069877	0.000000
ecmp	8	0.071586	0.000000
ecmp	9	0.066726	0.000000
ksp	0	0.136241	0.000000
ksp	1	0.127588	0.000000
ksp	2	0.116566	0.000000
ksp	3	0.118140	0.000000
ksp	4	0.113871	0.000000
ksp	5	0.111647	0.000000
ksp	6	0.105604	0.000000
ksp	7	0.107399	0.000000
ksp	8	0.105282	0.000000
ksp	9	0.105504	0.000000
mcf	0	0.123056	0.000000
mcf	1	0.132744	0.000000
mcf	2	0.089656	0.000000
mcf	3	0.092977	0.000000
mcf	4	0.081955	0.000000
mcf	5	0.076942	0.000000
mcf	6	0.087187	0.000000
mcf	7	0.087022	0.000000
mcf	8	0.086082	0.000000
mcf	9	0.089086	0.000000
raeke	0	0.114898	0.000000
raeke	1	0.114344	0.000000
raeke	2	0.120454	0.000000
raeke	3	0.136646	0.000000
raeke	4	0.194743	0.000000
raeke	5	0.181701	0.000000
raeke	6	0.112539	0.000000
raeke	7	0.120043	0.000000
raeke	8	0.127902	0.000000
raeke	9	0.117529	0.000000
semimcfecmp	0	0.086079	0.000000
semimcfecmp	1	0.090304	0.000000
semimcfecmp	2	0.074150	0.000000
semimcfecmp	3	0.073341	0.000000
semimcfecmp	4	0.067875	0.000000
semimcfecmp	5	0.070795	0.000000
semimcfecmp	6	0.077923	0.000000
semimcfecmp	7	0.074766	0.000000
semimcfecmp	8	0.071976	0.000000
semimcfecmp	9	0.072384	0.000000
semimcfksp	0	0.147383	0.000000
semimcfksp	1	0.120961	0.000000
semimcfksp	2	0.093868	0.000000
semimcfksp	3	0.089738	0.000000
semimcfksp	4	0.110175	0.000000
semimcfksp	5	0.094643	0.000000
semimcfksp	6	0.099450	0.000000
semimcfksp	7	0.100465	0.000000
semimcfksp	8	0.093341	0.000000
semimcfksp	9	0.094754	0.000000
semimcfmcf	0	0.120486	0.000000
semimcfmcf	1	0.107957	0.000000
semimcfmcf	2	0.087155	0.000000
semimcfmcf	3	0.078191	0.000000
semimcfmcf	4	0.076949	0.000000
semimcfmcf	5	0.072798	0.000000
semimcfmcf	6	0.070001	0.000000
semimcfmcf	7	0.072075	0.000000
semimcfmcf	8	0.070980	0.000000
semimcfmcf	9	0.055706	0.000000
semimcfraeke	0	0.131360	0.000000
semimcfraeke	1	0.140366	0.000000
semimcfraeke	2	0.109839	0.000000
semimcfraeke	3	0.103538	0.000000
semimcfraeke	4	0.121708	0.000000
semimcfraeke	5	0.137882	0.000000
semimcfraeke	6	0.125835	0.000000
semimcfraeke	7	0.102160	0.000000
semimcfraeke	8	0.120314	0.000000
semimcfraeke	9	0.117607	0.000000
semimcfvlb	0	0.101942	0.000000
semimcfvlb	1	0.117409	0.000000
semimcfvlb	2	0.086053	0.000000
semimcfvlb	3	0.094579	0.000000
semimcfvlb	4	0.100046	0.000000
semimcfvlb	5	0.094561	0.000000
semimcfvlb	6	0.101085	0.000000
semimcfvlb	7	0.112193	0.000000
semimcfvlb	8	0.098882	0.000000
semimcfvlb	9	0.095548	0.000000
spf	0	0.081531	0.000000
spf	1	0.078090	0.000000
spf	2	0.070778	0.000000
spf	3	0.062781	0.000000
spf	4	0.061112	0.000000
spf	5	0.066297	0.000000
spf	6	0.070605	0.000000
spf	7	0.068881	0.000000
spf	8	0.068416	0.000000
spf	9	0.063547	0.000000
vlb	0	0.114539	0.000000
vlb	1	0.110848	0.000000
vlb	2	0.091380	0.000000
vlb	3	0.091676	0.000000
vlb	4	0.090740	0.000000
vlb	5	0.089889	0.000000
vlb	6	0.090360	0.000000
vlb	7	0.090029	0.000000
vlb	8	0.088841	0.000000
vlb	9	0.091771	0.000000

