# solver	iter	congestion-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.002494	0.000000
ecmp	2	0.000863	0.000000
ecmp	3	0.000380	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.000000	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.000000	0.000000
ecmp	9	0.000000	0.000000
ksp	0	0.048032	0.000000
ksp	1	0.052546	0.000000
ksp	2	0.087431	0.000000
ksp	3	0.095412	0.000000
ksp	4	0.088055	0.000000
ksp	5	0.079646	0.000000
ksp	6	0.084665	0.000000
ksp	7	0.080032	0.000000
ksp	8	0.077627	0.000000
ksp	9	0.077089	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.004174	0.000000
mcf	3	0.006266	0.000000
mcf	4	0.000000	0.000000
mcf	5	0.000000	0.000000
mcf	6	0.000000	0.000000
mcf	7	0.000000	0.000000
mcf	8	0.000000	0.000000
mcf	9	0.000000	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.001612	0.000000
raeke	2	0.154980	0.000000
raeke	3	0.161830	0.000000
raeke	4	0.148876	0.000000
raeke	5	0.135407	0.000000
raeke	6	0.134598	0.000000
raeke	7	0.132194	0.000000
raeke	8	0.127832	0.000000
raeke	9	0.131337	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000170	0.000000
semimcfecmp	2	0.000689	0.000000
semimcfecmp	3	0.000201	0.000000
semimcfecmp	4	0.000000	0.000000
semimcfecmp	5	0.000000	0.000000
semimcfecmp	6	0.000000	0.000000
semimcfecmp	7	0.000000	0.000000
semimcfecmp	8	0.000000	0.000000
semimcfecmp	9	0.000000	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.081959	0.000000
semimcfksp	3	0.089214	0.000000
semimcfksp	4	0.082695	0.000000
semimcfksp	5	0.075924	0.000000
semimcfksp	6	0.081285	0.000000
semimcfksp	7	0.076637	0.000000
semimcfksp	8	0.074840	0.000000
semimcfksp	9	0.073200	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.000000	0.000000
semimcfmcf	3	0.000000	0.000000
semimcfmcf	4	0.000000	0.000000
semimcfmcf	5	0.000000	0.000000
semimcfmcf	6	0.000000	0.000000
semimcfmcf	7	0.000000	0.000000
semimcfmcf	8	0.000000	0.000000
semimcfmcf	9	0.000000	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.152355	0.000000
semimcfraeke	3	0.159513	0.000000
semimcfraeke	4	0.147832	0.000000
semimcfraeke	5	0.135700	0.000000
semimcfraeke	6	0.134029	0.000000
semimcfraeke	7	0.132514	0.000000
semimcfraeke	8	0.128193	0.000000
semimcfraeke	9	0.131614	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.072153	0.000000
semimcfvlb	3	0.077767	0.000000
semimcfvlb	4	0.071582	0.000000
semimcfvlb	5	0.066591	0.000000
semimcfvlb	6	0.072454	0.000000
semimcfvlb	7	0.066867	0.000000
semimcfvlb	8	0.066766	0.000000
semimcfvlb	9	0.063050	0.000000
spf	0	0.000000	0.000000
spf	1	0.000170	0.000000
spf	2	0.000689	0.000000
spf	3	0.000201	0.000000
spf	4	0.000000	0.000000
spf	5	0.000000	0.000000
spf	6	0.000000	0.000000
spf	7	0.000000	0.000000
spf	8	0.000000	0.000000
spf	9	0.000000	0.000000
vlb	0	0.044086	0.000000
vlb	1	0.059949	0.000000
vlb	2	0.077395	0.000000
vlb	3	0.126549	0.000000
vlb	4	0.092860	0.000000
vlb	5	0.060634	0.000000
vlb	6	0.081362	0.000000
vlb	7	0.081785	0.000000
vlb	8	0.089024	0.000000
vlb	9	0.083700	0.000000

