#solver	iter	latency-throughput
ecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
ecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.799192229481
		4. : 0.949118155246
		5. : 0.99750597967
ecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.569519249448
		4. : 0.647762841085
		5. : 0.673516491361
ecmp	3	
		1. : 0.229918779481
		2. : 0.466885548807
		3. : 0.568521428493
		4. : 0.647563534767
		5. : 0.673984311382
ecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.682673501121
ecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682562042191
ecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.692837082632
ecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690053687212
ecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688320523164
ecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.686990146076
ksp	0	
		1. : 0.091838535725
		2. : 0.213624284059
		3. : 0.39603961762
		4. : 0.658190163716
		5. : 0.861908183363
		6. : 0.951550779988
		7. : 0.951967663984
ksp	1	
		1. : 0.0909680708975
		2. : 0.20979790601
		3. : 0.388544417455
		4. : 0.646394037743
		5. : 0.855000252041
		6. : 0.947065585627
		7. : 0.947454005241
ksp	2	
		1. : 0.142185315409
		2. : 0.253567628201
		3. : 0.400473403148
		4. : 0.587615680837
		5. : 0.762830063952
		6. : 0.800819563531
		7. : 0.801269960826
ksp	3	
		1. : 0.150318732642
		2. : 0.262520677732
		3. : 0.405057434226
		4. : 0.588137635236
		5. : 0.755118478818
		6. : 0.79488546463
		7. : 0.795230620241
ksp	4	
		1. : 0.148294980373
		2. : 0.264874848503
		3. : 0.412332704568
		4. : 0.598769363199
		5. : 0.764237127198
		6. : 0.804510960959
		7. : 0.804856564055
ksp	5	
		1. : 0.144397647888
		2. : 0.261736736263
		3. : 0.415169690229
		4. : 0.606334085019
		5. : 0.775446219828
		6. : 0.813345936109
		7. : 0.813641541096
ksp	6	
		1. : 0.138146757654
		2. : 0.255718991821
		3. : 0.413574901238
		4. : 0.607159068419
		5. : 0.777350894077
		6. : 0.813233918248
		7. : 0.813486635307
ksp	7	
		1. : 0.142396519873
		2. : 0.259894873375
		3. : 0.415911153997
		4. : 0.608235202859
		5. : 0.778734656997
		6. : 0.815189004847
		7. : 0.815509302916
ksp	8	
		1. : 0.138292034025
		2. : 0.255962193978
		3. : 0.415797986871
		4. : 0.610001076681
		5. : 0.781316207581
		6. : 0.816979067435
		7. : 0.817318448012
ksp	9	
		1. : 0.147191216452
		2. : 0.265043993566
		3. : 0.417649125956
		4. : 0.608218584069
		5. : 0.778533975027
		6. : 0.816345137151
		7. : 0.816656287635
mcf	0	
		1. : 0.250237394853
		2. : 0.440141664851
		3. : 0.550111339845
		4. : 0.608258365469
		5. : 0.731174581249
		6. : 0.850153933143
		7. : 0.950181175313
		8. : 1.
mcf	1	
		1. : 0.246165833059
		2. : 0.435694248692
		3. : 0.55334826268
		4. : 0.614989263699
		5. : 0.695354137108
		6. : 0.85041470842
		7. : 0.936229338545
		8. : 1.
mcf	2	
		1. : 0.207113526458
		2. : 0.36344509978
		3. : 0.45826896782
		4. : 0.510052917185
		5. : 0.586182862689
		6. : 0.700101762018
		7. : 0.730972038159
		8. : 0.734660157501
mcf	3	
		1. : 0.20621761318
		2. : 0.344795188871
		3. : 0.447201450196
		4. : 0.506165227242
		5. : 0.604294429541
		6. : 0.684710230626
		7. : 0.70830306072
		8. : 0.719665067804
mcf	4	
		1. : 0.209268688822
		2. : 0.353109472188
		3. : 0.457231695472
		4. : 0.51970564425
		5. : 0.582770423541
		6. : 0.677768795925
		7. : 0.706288008448
		8. : 0.713282269516
mcf	5	
		1. : 0.2092730106
		2. : 0.373253672426
		3. : 0.477462702819
		4. : 0.523724406597
		5. : 0.604535764591
		6. : 0.702819945836
		7. : 0.728228596268
		8. : 0.733989323474
		9. : 0.735167537399
mcf	6	
		1. : 0.209916700732
		2. : 0.36437121006
		3. : 0.460281571162
		4. : 0.525413980428
		5. : 0.58638394153
		6. : 0.698932481458
		7. : 0.731131802564
		8. : 0.734398177434
mcf	7	
		1. : 0.202725758027
		2. : 0.32876215527
		3. : 0.399872421318
		4. : 0.475378627147
		5. : 0.553920907854
		6. : 0.68083274534
		7. : 0.724951482628
		8. : 0.727722467311
