#solver	iter	latency-throughput
ecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
ecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.799192229481
		4. : 0.949118155246
		5. : 0.99750597967
ecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.569519249448
		4. : 0.647762841085
		5. : 0.671578624481
ecmp	3	
		1. : 0.229918779481
		2. : 0.466885548807
		3. : 0.568521428493
		4. : 0.647563534767
		5. : 0.672031374445
ecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.680895596837
ecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.680856131344
ecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.690727093436
ecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.687969923648
ecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.686392912976
ecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.684901666824
ksp	0	
		1. : 0.091838535725
		2. : 0.213624284059
		3. : 0.39603961762
		4. : 0.658190163716
		5. : 0.861908183363
		6. : 0.951550779988
		7. : 0.951967663984
ksp	1	
		1. : 0.0909680708975
		2. : 0.20979790601
		3. : 0.388544417455
		4. : 0.646394037743
		5. : 0.855000252041
		6. : 0.947065585627
		7. : 0.947454005241
ksp	2	
		1. : 0.0768115319912
		2. : 0.163291006437
		3. : 0.282927111596
		4. : 0.436156714686
		5. : 0.559917846756
		6. : 0.592477888295
		7. : 0.592863350998
ksp	3	
		1. : 0.0783192695701
		2. : 0.16409032779
		3. : 0.279062462944
		4. : 0.427548786144
		5. : 0.545199047476
		6. : 0.578874554367
		7. : 0.579162568816
ksp	4	
		1. : 0.0783214968014
		2. : 0.166133916706
		3. : 0.282793659874
		4. : 0.433886959787
		5. : 0.551000574917
		6. : 0.583898290091
		7. : 0.584187158458
ksp	5	
		1. : 0.0782252803514
		2. : 0.166720443426
		3. : 0.289766101458
		4. : 0.443262724247
		5. : 0.562500603722
		6. : 0.595164331665
		7. : 0.595410091181
ksp	6	
		1. : 0.0781520358493
		2. : 0.16910801799
		3. : 0.297924963065
		4. : 0.454954164824
		5. : 0.576887586391
		6. : 0.608090509294
		7. : 0.608300258097
ksp	7	
		1. : 0.0784754029564
		2. : 0.167845591909
		3. : 0.294017117663
		4. : 0.447743701167
		5. : 0.569312848321
		6. : 0.601018107751
		7. : 0.601281727833
ksp	8	
		1. : 0.0776780089762
		2. : 0.167022123635
		3. : 0.29588018352
		4. : 0.452535976709
		5. : 0.579183561741
		6. : 0.610956254721
		7. : 0.611242871816
ksp	9	
		1. : 0.0788318651322
		2. : 0.166885231141
		3. : 0.287094922937
		4. : 0.439639665802
		5. : 0.560666702104
		6. : 0.593102779724
		7. : 0.593356737427
mcf	0	
		1. : 0.250237394853
		2. : 0.440141664851
		3. : 0.550111339845
		4. : 0.608258365469
		5. : 0.731174581249
		6. : 0.850153933143
		7. : 0.950181175313
		8. : 1.
mcf	1	
		1. : 0.246165833059
		2. : 0.435694248692
		3. : 0.55334826268
		4. : 0.614989263699
		5. : 0.695354137108
		6. : 0.85041470842
		7. : 0.936229338545
		8. : 1.
mcf	2	
		1. : 0.207113526458
		2. : 0.348933199713
		3. : 0.443757067753
		4. : 0.495541017118
		5. : 0.554320546051
		6. : 0.668732407242
		7. : 0.699602683383
		8. : 0.703290802725
mcf	3	
		1. : 0.20621761318
		2. : 0.330199278111
		3. : 0.432605539435
		4. : 0.491569316482
		5. : 0.574455235187
		6. : 0.654871036272
		7. : 0.678463866366
		8. : 0.68982587345
mcf	4	
		1. : 0.209268688822
		2. : 0.332176198426
		3. : 0.436298421709
		4. : 0.498772370487
		5. : 0.561837149778
		6. : 0.656835522163
		7. : 0.683984943065
		8. : 0.690979204133
mcf	5	
		1. : 0.2092730106
		2. : 0.331484399662
		3. : 0.435693430055
		4. : 0.481955133832
		5. : 0.562766491826
		6. : 0.661050673072
		7. : 0.686459323503
		8. : 0.69222005071
		9. : 0.693398264635
mcf	6	
		1. : 0.209916700732
		2. : 0.348568748793
		3. : 0.436033631989
		4. : 0.501166041255
		5. : 0.562136002357
		6. : 0.674684542285
		7. : 0.706883863391
		8. : 0.710150238261
mcf	7	
		1. : 0.202725758027
		2. : 0.306490241902
		3. : 0.375613405833
		4. : 0.451119611661
		5. : 0.529661892369
		6. : 0.656573729855
		7. : 0.699179181265
