# solver	iter	.0.700000-exp-congestion	stddev
ecmp	0	0.330355	0.000000
ecmp	1	0.316136	0.000000
ecmp	2	0.333974	0.000000
ecmp	3	0.318945	0.000000
ecmp	4	0.319540	0.000000
ecmp	5	0.322538	0.000000
ecmp	6	0.328465	0.000000
ecmp	7	0.335445	0.000000
ecmp	8	0.310126	0.000000
ecmp	9	0.281621	0.000000
ksp	0	0.549469	0.000000
ksp	1	0.523901	0.000000
ksp	2	0.566184	0.000000
ksp	3	0.582695	0.000000
ksp	4	0.547170	0.000000
ksp	5	0.520889	0.000000
ksp	6	0.558056	0.000000
ksp	7	0.556755	0.000000
ksp	8	0.554591	0.000000
ksp	9	0.510383	0.000000
mcf	0	0.597139	0.000000
mcf	1	0.581752	0.000000
mcf	2	0.562299	0.000000
mcf	3	0.564347	0.000000
mcf	4	0.547941	0.000000
mcf	5	0.579775	0.000000
mcf	6	0.537299	0.000000
mcf	7	0.622958	0.000000
mcf	8	0.625933	0.000000
mcf	9	0.555706	0.000000
raeke	0	0.384374	0.000000
raeke	1	0.357544	0.000000
raeke	2	0.377191	0.000000
raeke	3	0.361567	0.000000
raeke	4	0.352477	0.000000
raeke	5	0.382612	0.000000
raeke	6	0.385706	0.000000
raeke	7	0.384688	0.000000
raeke	8	0.399431	0.000000
raeke	9	0.376423	0.000000
semimcfecmp	0	0.296932	0.000000
semimcfecmp	1	0.279140	0.000000
semimcfecmp	2	0.293780	0.000000
semimcfecmp	3	0.295347	0.000000
semimcfecmp	4	0.298161	0.000000
semimcfecmp	5	0.292886	0.000000
semimcfecmp	6	0.310248	0.000000
semimcfecmp	7	0.304015	0.000000
semimcfecmp	8	0.314827	0.000000
semimcfecmp	9	0.279992	0.000000
semimcfksp	0	0.445062	0.000000
semimcfksp	1	0.421047	0.000000
semimcfksp	2	0.477182	0.000000
semimcfksp	3	0.462126	0.000000
semimcfksp	4	0.438085	0.000000
semimcfksp	5	0.446277	0.000000
semimcfksp	6	0.372457	0.000000
semimcfksp	7	0.430979	0.000000
semimcfksp	8	0.365905	0.000000
semimcfksp	9	0.454020	0.000000
semimcfmcf	0	0.597821	0.000000
semimcfmcf	1	0.596932	0.000000
semimcfmcf	2	0.619029	0.000000
semimcfmcf	3	0.571863	0.000000
semimcfmcf	4	0.572844	0.000000
semimcfmcf	5	0.608612	0.000000
semimcfmcf	6	0.643675	0.000000
semimcfmcf	7	0.634822	0.000000
semimcfmcf	8	0.591866	0.000000
semimcfmcf	9	0.575442	0.000000
semimcfraeke	0	0.398465	0.000000
semimcfraeke	1	0.393285	0.000000
semimcfraeke	2	0.399932	0.000000
semimcfraeke	3	0.362952	0.000000
semimcfraeke	4	0.366178	0.000000
semimcfraeke	5	0.383778	0.000000
semimcfraeke	6	0.405517	0.000000
semimcfraeke	7	0.440313	0.000000
semimcfraeke	8	0.403396	0.000000
semimcfraeke	9	0.369105	0.000000
semimcfvlb	0	0.519032	0.000000
semimcfvlb	1	0.442553	0.000000
semimcfvlb	2	0.451013	0.000000
semimcfvlb	3	0.425762	0.000000
semimcfvlb	4	0.486418	0.000000
semimcfvlb	5	0.497015	0.000000
semimcfvlb	6	0.404701	0.000000
semimcfvlb	7	0.461481	0.000000
semimcfvlb	8	0.372656	0.000000
semimcfvlb	9	0.404381	0.000000
spf	0	0.268471	0.000000
spf	1	0.268390	0.000000
spf	2	0.265505	0.000000
spf	3	0.272362	0.000000
spf	4	0.269788	0.000000
spf	5	0.264003	0.000000
spf	6	0.277702	0.000000
spf	7	0.284614	0.000000
spf	8	0.262265	0.000000
spf	9	0.257948	0.000000
vlb	0	0.414848	0.000000
vlb	1	0.455707	0.000000
vlb	2	0.447527	0.000000
vlb	3	0.436175	0.000000
vlb	4	0.429015	0.000000
vlb	5	0.453663	0.000000
vlb	6	0.394576	0.000000
vlb	7	0.437495	0.000000
vlb	8	0.459892	0.000000
vlb	9	0.398868	0.000000

