# solver	iter	failure-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.010296	0.000000
ecmp	3	0.010284	0.000000
ecmp	4	0.009980	0.000000
ecmp	5	0.010083	0.000000
ecmp	6	0.009732	0.000000
ecmp	7	0.009905	0.000000
ecmp	8	0.009942	0.000000
ecmp	9	0.009936	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.013367	0.000000
ksp	3	0.013822	0.000000
ksp	4	0.013821	0.000000
ksp	5	0.013490	0.000000
ksp	6	0.012949	0.000000
ksp	7	0.013264	0.000000
ksp	8	0.012798	0.000000
ksp	9	0.013625	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.011919	0.000000
mcf	3	0.012482	0.000000
mcf	4	0.012787	0.000000
mcf	5	0.013722	0.000000
mcf	6	0.012091	0.000000
mcf	7	0.011615	0.000000
mcf	8	0.012470	0.000000
mcf	9	0.012927	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.010476	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.000000	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.000000	0.000000
raeke	9	0.000000	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.010198	0.000000
semimcfecmp	3	0.000000	0.000000
semimcfecmp	4	0.000000	0.000000
semimcfecmp	5	0.000000	0.000000
semimcfecmp	6	0.000000	0.000000
semimcfecmp	7	0.000000	0.000000
semimcfecmp	8	0.000000	0.000000
semimcfecmp	9	0.000000	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.009577	0.000000
semimcfksp	3	0.000000	0.000000
semimcfksp	4	0.000000	0.000000
semimcfksp	5	0.000000	0.000000
semimcfksp	6	0.000000	0.000000
semimcfksp	7	0.000000	0.000000
semimcfksp	8	0.000000	0.000000
semimcfksp	9	0.000000	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.012563	0.000000
semimcfmcf	3	0.000000	0.000000
semimcfmcf	4	0.000000	0.000000
semimcfmcf	5	0.000000	0.000000
semimcfmcf	6	0.000000	0.000000
semimcfmcf	7	0.000000	0.000000
semimcfmcf	8	0.000000	0.000000
semimcfmcf	9	0.000000	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.009216	0.000000
semimcfraeke	3	0.000000	0.000000
semimcfraeke	4	0.000000	0.000000
semimcfraeke	5	0.000000	0.000000
semimcfraeke	6	0.000000	0.000000
semimcfraeke	7	0.000000	0.000000
semimcfraeke	8	0.000000	0.000000
semimcfraeke	9	0.000000	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.010344	0.000000
semimcfvlb	3	0.000000	0.000000
semimcfvlb	4	0.000000	0.000000
semimcfvlb	5	0.000000	0.000000
semimcfvlb	6	0.000000	0.000000
semimcfvlb	7	0.000000	0.000000
semimcfvlb	8	0.000000	0.000000
semimcfvlb	9	0.000000	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.009377	0.000000
spf	3	0.009536	0.000000
spf	4	0.009479	0.000000
spf	5	0.009238	0.000000
spf	6	0.008971	0.000000
spf	7	0.009042	0.000000
spf	8	0.008787	0.000000
spf	9	0.009116	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.012855	0.000000
vlb	3	0.013262	0.000000
vlb	4	0.013264	0.000000
vlb	5	0.013097	0.000000
vlb	6	0.012073	0.000000
vlb	7	0.012932	0.000000
vlb	8	0.013072	0.000000
vlb	9	0.012415	0.000000

