# solver	iter	time	stddev
ecmp	0	0.196573	0.000000
ecmp	1	0.134962	0.000000
ecmp	2	0.078657	0.000000
ecmp	3	0.123398	0.000000
ecmp	4	0.124633	0.000000
ecmp	5	0.136132	0.000000
ecmp	6	0.163332	0.000000
ecmp	7	0.101882	0.000000
ecmp	8	0.118049	0.000000
ecmp	9	0.040367	0.000000
ksp	0	0.070859	0.000000
ksp	1	0.066161	0.000000
ksp	2	0.020797	0.000000
ksp	3	0.060260	0.000000
ksp	4	0.092977	0.000000
ksp	5	0.085719	0.000000
ksp	6	0.073961	0.000000
ksp	7	0.057263	0.000000
ksp	8	0.067749	0.000000
ksp	9	0.082217	0.000000
mcf	0	0.864353	0.000000
mcf	1	1.012640	0.000000
mcf	2	0.821140	0.000000
mcf	3	0.875669	0.000000
mcf	4	0.737037	0.000000
mcf	5	0.763114	0.000000
mcf	6	0.727545	0.000000
mcf	7	0.747528	0.000000
mcf	8	0.759839	0.000000
mcf	9	0.816580	0.000000
raeke	0	0.958402	0.000000
raeke	1	0.000388	0.000000
raeke	2	0.000517	0.000000
raeke	3	0.016518	0.000000
raeke	4	0.000427	0.000000
raeke	5	0.000392	0.000000
raeke	6	0.000416	0.000000
raeke	7	0.000433	0.000000
raeke	8	0.000548	0.000000
raeke	9	0.000370	0.000000
semimcfecmp	0	0.044408	0.000000
semimcfecmp	1	0.052339	0.000000
semimcfecmp	2	0.067549	0.000000
semimcfecmp	3	0.071084	0.000000
semimcfecmp	4	0.087313	0.000000
semimcfecmp	5	0.106231	0.000000
semimcfecmp	6	0.060157	0.000000
semimcfecmp	7	0.061234	0.000000
semimcfecmp	8	0.045920	0.000000
semimcfecmp	9	0.067490	0.000000
semimcfksp	0	0.087109	0.000000
semimcfksp	1	0.076287	0.000000
semimcfksp	2	0.110760	0.000000
semimcfksp	3	0.024198	0.000000
semimcfksp	4	0.046863	0.000000
semimcfksp	5	0.120823	0.000000
semimcfksp	6	0.073908	0.000000
semimcfksp	7	0.114868	0.000000
semimcfksp	8	0.021759	0.000000
semimcfksp	9	0.096855	0.000000
semimcfmcf	0	0.068751	0.000000
semimcfmcf	1	0.071099	0.000000
semimcfmcf	2	0.047473	0.000000
semimcfmcf	3	0.068680	0.000000
semimcfmcf	4	0.074834	0.000000
semimcfmcf	5	0.047909	0.000000
semimcfmcf	6	0.048523	0.000000
semimcfmcf	7	0.065910	0.000000
semimcfmcf	8	0.086210	0.000000
semimcfmcf	9	0.041953	0.000000
semimcfraeke	0	0.020026	0.000000
semimcfraeke	1	0.102022	0.000000
semimcfraeke	2	0.079342	0.000000
semimcfraeke	3	0.076784	0.000000
semimcfraeke	4	0.065966	0.000000
semimcfraeke	5	0.093559	0.000000
semimcfraeke	6	0.072420	0.000000
semimcfraeke	7	0.068807	0.000000
semimcfraeke	8	0.083574	0.000000
semimcfraeke	9	0.103127	0.000000
semimcfvlb	0	0.071657	0.000000
semimcfvlb	1	0.078403	0.000000
semimcfvlb	2	0.109294	0.000000
semimcfvlb	3	0.019085	0.000000
semimcfvlb	4	0.069608	0.000000
semimcfvlb	5	0.064319	0.000000
semimcfvlb	6	0.059742	0.000000
semimcfvlb	7	0.074666	0.000000
semimcfvlb	8	0.068405	0.000000
semimcfvlb	9	0.059602	0.000000
spf	0	0.000925	0.000000
spf	1	0.001238	0.000000
spf	2	0.001014	0.000000
spf	3	0.005026	0.000000
spf	4	0.000935	0.000000
spf	5	0.005479	0.000000
spf	6	0.005019	0.000000
spf	7	0.000932	0.000000
spf	8	0.001366	0.000000
spf	9	0.000932	0.000000
vlb	0	0.170206	0.000000
vlb	1	0.190045	0.000000
vlb	2	0.132000	0.000000
vlb	3	0.111331	0.000000
vlb	4	0.212533	0.000000
vlb	5	0.192258	0.000000
vlb	6	0.184599	0.000000
vlb	7	0.194997	0.000000
vlb	8	0.160196	0.000000
vlb	9	0.197597	0.000000

