# solver	iter	.0.800000-exp-congestion	stddev
ecmp	0	0.665570	0.000000
ecmp	1	0.636445	0.000000
ecmp	2	0.670888	0.000000
ecmp	3	0.703274	0.000000
ecmp	4	0.683165	0.000000
ecmp	5	0.697491	0.000000
ecmp	6	0.719484	0.000000
ecmp	7	0.712829	0.000000
ecmp	8	0.708875	0.000000
ecmp	9	0.700691	0.000000
ksp	0	1.137879	0.000000
ksp	1	1.146240	0.000000
ksp	2	1.144407	0.000000
ksp	3	1.116059	0.000000
ksp	4	1.093992	0.000000
ksp	5	1.054320	0.000000
ksp	6	1.105855	0.000000
ksp	7	1.071476	0.000000
ksp	8	1.065166	0.000000
ksp	9	1.036384	0.000000
mcf	0	1.065611	0.000000
mcf	1	1.052251	0.000000
mcf	2	1.090651	0.000000
mcf	3	1.062087	0.000000
mcf	4	1.019653	0.000000
mcf	5	1.016732	0.000000
mcf	6	1.079913	0.000000
mcf	7	1.035791	0.000000
mcf	8	1.058348	0.000000
mcf	9	1.034454	0.000000
raeke	0	0.876561	0.000000
raeke	1	0.809035	0.000000
raeke	2	0.892439	0.000000
raeke	3	0.828547	0.000000
raeke	4	0.814007	0.000000
raeke	5	0.831385	0.000000
raeke	6	0.880504	0.000000
raeke	7	0.857974	0.000000
raeke	8	0.908243	0.000000
raeke	9	0.782366	0.000000
semimcfecmp	0	0.746835	0.000000
semimcfecmp	1	0.739082	0.000000
semimcfecmp	2	0.761305	0.000000
semimcfecmp	3	0.702536	0.000000
semimcfecmp	4	0.682332	0.000000
semimcfecmp	5	0.700303	0.000000
semimcfecmp	6	0.708550	0.000000
semimcfecmp	7	0.701432	0.000000
semimcfecmp	8	0.734395	0.000000
semimcfecmp	9	0.666229	0.000000
semimcfksp	0	0.833184	0.000000
semimcfksp	1	0.787361	0.000000
semimcfksp	2	0.896469	0.000000
semimcfksp	3	0.845765	0.000000
semimcfksp	4	0.831579	0.000000
semimcfksp	5	0.808138	0.000000
semimcfksp	6	0.822705	0.000000
semimcfksp	7	0.855996	0.000000
semimcfksp	8	0.827624	0.000000
semimcfksp	9	0.802717	0.000000
semimcfmcf	0	1.088876	0.000000
semimcfmcf	1	1.074180	0.000000
semimcfmcf	2	1.117116	0.000000
semimcfmcf	3	1.107505	0.000000
semimcfmcf	4	1.070148	0.000000
semimcfmcf	5	1.044003	0.000000
semimcfmcf	6	1.076709	0.000000
semimcfmcf	7	1.050508	0.000000
semimcfmcf	8	1.116387	0.000000
semimcfmcf	9	1.029538	0.000000
semimcfraeke	0	0.850882	0.000000
semimcfraeke	1	0.799074	0.000000
semimcfraeke	2	0.801578	0.000000
semimcfraeke	3	0.669363	0.000000
semimcfraeke	4	0.763175	0.000000
semimcfraeke	5	0.820841	0.000000
semimcfraeke	6	0.875092	0.000000
semimcfraeke	7	0.829626	0.000000
semimcfraeke	8	0.843397	0.000000
semimcfraeke	9	0.709896	0.000000
semimcfvlb	0	0.908222	0.000000
semimcfvlb	1	0.867854	0.000000
semimcfvlb	2	0.911404	0.000000
semimcfvlb	3	0.892298	0.000000
semimcfvlb	4	0.858105	0.000000
semimcfvlb	5	0.896902	0.000000
semimcfvlb	6	0.874934	0.000000
semimcfvlb	7	0.943989	0.000000
semimcfvlb	8	0.788418	0.000000
semimcfvlb	9	0.878180	0.000000
spf	0	0.688166	0.000000
spf	1	0.604733	0.000000
spf	2	0.668793	0.000000
spf	3	0.693269	0.000000
spf	4	0.672138	0.000000
spf	5	0.696991	0.000000
spf	6	0.708550	0.000000
spf	7	0.696725	0.000000
spf	8	0.673340	0.000000
spf	9	0.687439	0.000000
vlb	0	0.828428	0.000000
vlb	1	0.823268	0.000000
vlb	2	0.835248	0.000000
vlb	3	0.821528	0.000000
vlb	4	0.805744	0.000000
vlb	5	0.811781	0.000000
vlb	6	0.839655	0.000000
vlb	7	0.851013	0.000000
vlb	8	0.804880	0.000000
vlb	9	0.818377	0.000000

