# solver	iter	mean-congestion	stddev
ecmp	0	0.295823	0.000000
ecmp	1	0.287429	0.000000
ecmp	2	0.299800	0.000000
ecmp	3	0.295014	0.000000
ecmp	4	0.288989	0.000000
ecmp	5	0.291122	0.000000
ecmp	6	0.298891	0.000000
ecmp	7	0.295861	0.000000
ecmp	8	0.297437	0.000000
ecmp	9	0.287003	0.000000
ksp	0	0.394315	0.000000
ksp	1	0.384996	0.000000
ksp	2	0.397442	0.000000
ksp	3	0.388465	0.000000
ksp	4	0.384116	0.000000
ksp	5	0.389559	0.000000
ksp	6	0.395981	0.000000
ksp	7	0.393098	0.000000
ksp	8	0.393518	0.000000
ksp	9	0.383172	0.000000
mcf	0	0.415750	0.000000
mcf	1	0.400310	0.000000
mcf	2	0.404656	0.000000
mcf	3	0.405934	0.000000
mcf	4	0.398205	0.000000
mcf	5	0.409571	0.000000
mcf	6	0.416601	0.000000
mcf	7	0.422406	0.000000
mcf	8	0.436015	0.000000
mcf	9	0.408294	0.000000
raeke	0	0.366304	0.000000
raeke	1	0.359205	0.000000
raeke	2	0.373144	0.000000
raeke	3	0.362424	0.000000
raeke	4	0.355245	0.000000
raeke	5	0.360583	0.000000
raeke	6	0.370149	0.000000
raeke	7	0.366056	0.000000
raeke	8	0.370949	0.000000
raeke	9	0.354208	0.000000
semimcfecmp	0	0.296390	0.000000
semimcfecmp	1	0.288017	0.000000
semimcfecmp	2	0.300128	0.000000
semimcfecmp	3	0.295177	0.000000
semimcfecmp	4	0.289392	0.000000
semimcfecmp	5	0.291524	0.000000
semimcfecmp	6	0.299316	0.000000
semimcfecmp	7	0.296304	0.000000
semimcfecmp	8	0.297151	0.000000
semimcfecmp	9	0.287487	0.000000
semimcfksp	0	0.369321	0.000000
semimcfksp	1	0.339305	0.000000
semimcfksp	2	0.365650	0.000000
semimcfksp	3	0.353047	0.000000
semimcfksp	4	0.353813	0.000000
semimcfksp	5	0.362079	0.000000
semimcfksp	6	0.354915	0.000000
semimcfksp	7	0.364148	0.000000
semimcfksp	8	0.354025	0.000000
semimcfksp	9	0.347938	0.000000
semimcfmcf	0	0.408551	0.000000
semimcfmcf	1	0.398179	0.000000
semimcfmcf	2	0.407019	0.000000
semimcfmcf	3	0.400089	0.000000
semimcfmcf	4	0.399364	0.000000
semimcfmcf	5	0.406690	0.000000
semimcfmcf	6	0.416607	0.000000
semimcfmcf	7	0.411205	0.000000
semimcfmcf	8	0.417711	0.000000
semimcfmcf	9	0.404680	0.000000
semimcfraeke	0	0.353587	0.000000
semimcfraeke	1	0.352092	0.000000
semimcfraeke	2	0.360648	0.000000
semimcfraeke	3	0.346473	0.000000
semimcfraeke	4	0.333840	0.000000
semimcfraeke	5	0.342641	0.000000
semimcfraeke	6	0.359478	0.000000
semimcfraeke	7	0.372447	0.000000
semimcfraeke	8	0.349230	0.000000
semimcfraeke	9	0.342371	0.000000
semimcfvlb	0	0.366382	0.000000
semimcfvlb	1	0.349924	0.000000
semimcfvlb	2	0.370525	0.000000
semimcfvlb	3	0.355678	0.000000
semimcfvlb	4	0.358759	0.000000
semimcfvlb	5	0.363577	0.000000
semimcfvlb	6	0.361441	0.000000
semimcfvlb	7	0.375703	0.000000
semimcfvlb	8	0.350720	0.000000
semimcfvlb	9	0.353311	0.000000
spf	0	0.286763	0.000000
spf	1	0.285715	0.000000
spf	2	0.287380	0.000000
spf	3	0.288164	0.000000
spf	4	0.284498	0.000000
spf	5	0.281510	0.000000
spf	6	0.287258	0.000000
spf	7	0.285835	0.000000
spf	8	0.282533	0.000000
spf	9	0.278867	0.000000
vlb	0	0.347571	0.000000
vlb	1	0.343288	0.000000
vlb	2	0.355339	0.000000
vlb	3	0.347064	0.000000
vlb	4	0.340627	0.000000
vlb	5	0.342972	0.000000
vlb	6	0.351061	0.000000
vlb	7	0.343453	0.000000
vlb	8	0.348634	0.000000
vlb	9	0.338686	0.000000

