# solver	iter	time	stddev
ecmp	0	0.113231	0.000000
ecmp	1	0.252068	0.000000
ecmp	2	0.150271	0.000000
ecmp	3	0.158892	0.000000
ecmp	4	0.157924	0.000000
ecmp	5	0.101558	0.000000
ecmp	6	0.210277	0.000000
ecmp	7	0.081458	0.000000
ecmp	8	0.150739	0.000000
ecmp	9	0.160967	0.000000
ksp	0	0.075708	0.000000
ksp	1	0.065280	0.000000
ksp	2	0.085818	0.000000
ksp	3	0.061354	0.000000
ksp	4	0.054533	0.000000
ksp	5	0.115988	0.000000
ksp	6	0.063160	0.000000
ksp	7	0.057009	0.000000
ksp	8	0.054508	0.000000
ksp	9	0.041970	0.000000
mcf	0	0.701869	0.000000
mcf	1	0.760251	0.000000
mcf	2	0.554352	0.000000
mcf	3	0.638383	0.000000
mcf	4	0.388507	0.000000
mcf	5	0.389647	0.000000
mcf	6	0.745228	0.000000
mcf	7	0.806910	0.000000
mcf	8	0.831264	0.000000
mcf	9	0.605649	0.000000
raeke	0	0.883089	0.000000
raeke	1	0.000408	0.000000
raeke	2	0.000417	0.000000
raeke	3	0.000460	0.000000
raeke	4	0.002694	0.000000
raeke	5	0.000354	0.000000
raeke	6	0.000402	0.000000
raeke	7	0.000406	0.000000
raeke	8	0.000386	0.000000
raeke	9	0.000471	0.000000
semimcfecmp	0	0.038451	0.000000
semimcfecmp	1	0.050439	0.000000
semimcfecmp	2	0.046824	0.000000
semimcfecmp	3	0.079481	0.000000
semimcfecmp	4	0.072523	0.000000
semimcfecmp	5	0.079225	0.000000
semimcfecmp	6	0.067665	0.000000
semimcfecmp	7	0.064387	0.000000
semimcfecmp	8	0.063924	0.000000
semimcfecmp	9	0.011117	0.000000
semimcfksp	0	0.066281	0.000000
semimcfksp	1	0.066729	0.000000
semimcfksp	2	0.067243	0.000000
semimcfksp	3	0.098839	0.000000
semimcfksp	4	0.098457	0.000000
semimcfksp	5	0.088977	0.000000
semimcfksp	6	0.062121	0.000000
semimcfksp	7	0.114830	0.000000
semimcfksp	8	0.063006	0.000000
semimcfksp	9	0.090465	0.000000
semimcfmcf	0	0.060599	0.000000
semimcfmcf	1	0.057880	0.000000
semimcfmcf	2	0.039075	0.000000
semimcfmcf	3	0.053783	0.000000
semimcfmcf	4	0.045445	0.000000
semimcfmcf	5	0.063638	0.000000
semimcfmcf	6	0.087970	0.000000
semimcfmcf	7	0.044951	0.000000
semimcfmcf	8	0.052682	0.000000
semimcfmcf	9	0.085437	0.000000
semimcfraeke	0	0.074173	0.000000
semimcfraeke	1	0.098623	0.000000
semimcfraeke	2	0.082918	0.000000
semimcfraeke	3	0.106576	0.000000
semimcfraeke	4	0.094741	0.000000
semimcfraeke	5	0.111516	0.000000
semimcfraeke	6	0.109636	0.000000
semimcfraeke	7	0.086482	0.000000
semimcfraeke	8	0.095107	0.000000
semimcfraeke	9	0.112070	0.000000
semimcfvlb	0	0.044027	0.000000
semimcfvlb	1	0.121726	0.000000
semimcfvlb	2	0.071608	0.000000
semimcfvlb	3	0.086067	0.000000
semimcfvlb	4	0.051792	0.000000
semimcfvlb	5	0.061681	0.000000
semimcfvlb	6	0.070675	0.000000
semimcfvlb	7	0.077057	0.000000
semimcfvlb	8	0.091099	0.000000
semimcfvlb	9	0.093732	0.000000
spf	0	0.000904	0.000000
spf	1	0.001154	0.000000
spf	2	0.019912	0.000000
spf	3	0.000910	0.000000
spf	4	0.000904	0.000000
spf	5	0.001376	0.000000
spf	6	0.000966	0.000000
spf	7	0.000925	0.000000
spf	8	0.001174	0.000000
spf	9	0.000901	0.000000
vlb	0	0.132323	0.000000
vlb	1	0.147015	0.000000
vlb	2	0.128550	0.000000
vlb	3	0.185007	0.000000
vlb	4	0.172786	0.000000
vlb	5	0.203045	0.000000
vlb	6	0.181217	0.000000
vlb	7	0.254936	0.000000
vlb	8	0.170882	0.000000
vlb	9	0.180650	0.000000

