#solver	iter	latency-throughput
ecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
ecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
ecmp	2	
		1. : 0.264411835017
		2. : 0.600398154146
		3. : 0.804752141086
		4. : 0.953786513135
		5. : 1.
ecmp	3	
		1. : 0.273336133824
		2. : 0.613374627144
		3. : 0.803560486548
		4. : 0.951791009819
		5. : 1.
ecmp	4	
		1. : 0.273763702931
		2. : 0.616219800345
		3. : 0.805203391502
		4. : 0.952024716991
		5. : 1.
ecmp	5	
		1. : 0.269297874263
		2. : 0.610729308371
		3. : 0.811685866074
		4. : 0.953086559005
		5. : 1.
ecmp	6	
		1. : 0.268067963625
		2. : 0.613706615915
		3. : 0.814636774305
		4. : 0.959275050759
		5. : 1.
ecmp	7	
		1. : 0.266514081632
		2. : 0.606517723808
		3. : 0.809879395447
		4. : 0.957596604944
		5. : 1.
ecmp	8	
		1. : 0.263257978597
		2. : 0.599286000542
		3. : 0.810797751825
		4. : 0.959934955164
		5. : 1.
ecmp	9	
		1. : 0.272576327877
		2. : 0.609515800761
		3. : 0.803200707213
		4. : 0.952728814481
		5. : 1.
ksp	0	
		1. : 0.0981169519731
		2. : 0.220452986567
		3. : 0.413072014264
		4. : 0.684300868684
		5. : 0.898222582467
		6. : 0.999583116004
		7. : 1.
ksp	1	
		1. : 0.0975051180457
		2. : 0.217479728636
		3. : 0.40676692433
		4. : 0.675260754068
		5. : 0.894407652615
		6. : 0.999611580385
		7. : 1.
ksp	2	
		1. : 0.0947504928669
		2. : 0.215313082586
		3. : 0.406740136549
		4. : 0.675457377451
		5. : 0.895500093967
		6. : 0.999572988852
		7. : 1.
ksp	3	
		1. : 0.0983906140809
		2. : 0.219415893233
		3. : 0.407393886307
		4. : 0.675146800172
		5. : 0.892976178775
		6. : 0.999684816983
		7. : 1.
ksp	4	
		1. : 0.0987489955338
		2. : 0.22083111474
		3. : 0.409965121122
		4. : 0.678280993332
		5. : 0.894322916613
		6. : 0.999683941114
		7. : 1.
ksp	5	
		1. : 0.0958449046451
		2. : 0.218553577715
		3. : 0.412906943825
		4. : 0.682720186741
		5. : 0.896483394069
		6. : 0.999725463135
		7. : 1.
ksp	6	
		1. : 0.0953555243599
		2. : 0.219864015682
		3. : 0.417494133863
		4. : 0.688640389779
		5. : 0.900795253437
		6. : 0.999763162392
		7. : 1.
ksp	7	
		1. : 0.09461011857
		2. : 0.216905091536
		3. : 0.413148101076
		4. : 0.683830717581
		5. : 0.898326408501
		6. : 0.999706980307
		7. : 1.
ksp	8	
		1. : 0.0933099289623
		2. : 0.214587504611
		3. : 0.41265485253
		4. : 0.68338769488
		5. : 0.899608694049
		6. : 0.999691290066
		7. : 1.
ksp	9	
		1. : 0.0973052418735
		2. : 0.217842070307
		3. : 0.408410748065
		4. : 0.677957694598
		5. : 0.894707756708
		6. : 0.999723919063
		7. : 1.
mcf	0	
		1. : 0.250237394853
		2. : 0.440141664852
		3. : 0.550111339845
		4. : 0.608258365469
		5. : 0.731174581249
		6. : 0.850153933142
		7. : 0.950181175313
		8. : 1.
mcf	1	
		1. : 0.246165833059
		2. : 0.435694248692
		3. : 0.553348262679
		4. : 0.614989263699
		5. : 0.695354137108
		6. : 0.85041470842
		7. : 0.936229338545
		8. : 1.
mcf	2	
		1. : 0.246078901513
		2. : 0.4498217908
		3. : 0.567916881496
		4. : 0.630045924778
		5. : 0.708921782339
		6. : 0.86638646768
		7. : 0.973386096928
		8. : 1.
mcf	3	
		1. : 0.249634967523
		2. : 0.432780834278
		3. : 0.561307335563
		4. : 0.625066919271
		5. : 0.729375646561
		6. : 0.848480571886
		7. : 0.938746302773
		8. : 1.
mcf	4	
		1. : 0.252991641382
		2. : 0.431686099027
		3. : 0.562343930414
		4. : 0.649828245177
		5. : 0.735588739311
		6. : 0.850809190975
		7. : 0.945675417426
		8. : 1.
mcf	5	
		1. : 0.248135346751
		2. : 0.446074455552
		3. : 0.582540052652
		4. : 0.6326893406
		5. : 0.734255743194
		6. : 0.857520930489
		7. : 0.941377998528
		8. : 0.990181550626
		9. : 1.
mcf	6	
		1. : 0.248142462358
		2. : 0.468821279237
		3. : 0.574660427509
		4. : 0.646012193
		5. : 0.731788436747
		6. : 0.890099119913
		7. : 0.971485935326
		8. : 1.
mcf	7	
		1. : 0.238567201514
		2. : 0.409089784024
		3. : 0.533180697334
		4. : 0.625406354918
		5. : 0.721491040308
		6. : 0.876823345922
		7. : 0.97952769996
		8. : 1.
mcf	8	
		1. : 0.236798760554
		2. : 0.407243639804
		3. : 0.529867414569
		4. : 0.636901665249
		5. : 0.730964380669
		6. : 0.852380669595
		7. : 0.948642015817
