# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.105512	0.000000
ecmp	1	0.103092	0.000000
ecmp	2	0.108193	0.000000
ecmp	3	0.105457	0.000000
ecmp	4	0.102576	0.000000
ecmp	5	0.103003	0.000000
ecmp	6	0.105836	0.000000
ecmp	7	0.104514	0.000000
ecmp	8	0.105692	0.000000
ecmp	9	0.101088	0.000000
ksp	0	0.161094	0.000000
ksp	1	0.156824	0.000000
ksp	2	0.164292	0.000000
ksp	3	0.161074	0.000000
ksp	4	0.156635	0.000000
ksp	5	0.156963	0.000000
ksp	6	0.161317	0.000000
ksp	7	0.158985	0.000000
ksp	8	0.160460	0.000000
ksp	9	0.154042	0.000000
mcf	0	0.158337	0.000000
mcf	1	0.155173	0.000000
mcf	2	0.157774	0.000000
mcf	3	0.157266	0.000000
mcf	4	0.151529	0.000000
mcf	5	0.151862	0.000000
mcf	6	0.152619	0.000000
mcf	7	0.155818	0.000000
mcf	8	0.158831	0.000000
mcf	9	0.148510	0.000000
mwmcf	0	0.105512	0.000000
mwmcf	1	0.103092	0.000000
mwmcf	2	0.108193	0.000000
mwmcf	3	0.105457	0.000000
mwmcf	4	0.102576	0.000000
mwmcf	5	0.103003	0.000000
mwmcf	6	0.105836	0.000000
mwmcf	7	0.104514	0.000000
mwmcf	8	0.105692	0.000000
mwmcf	9	0.101088	0.000000
raeke	0	0.129847	0.000000
raeke	1	0.126681	0.000000
raeke	2	0.132848	0.000000
raeke	3	0.129802	0.000000
raeke	4	0.126314	0.000000
raeke	5	0.126610	0.000000
raeke	6	0.130244	0.000000
raeke	7	0.128491	0.000000
raeke	8	0.129782	0.000000
raeke	9	0.124298	0.000000
semimcfecmp	0	0.105512	0.000000
semimcfecmp	1	0.103092	0.000000
semimcfecmp	2	0.108193	0.000000
semimcfecmp	3	0.105457	0.000000
semimcfecmp	4	0.102576	0.000000
semimcfecmp	5	0.103003	0.000000
semimcfecmp	6	0.105836	0.000000
semimcfecmp	7	0.104514	0.000000
semimcfecmp	8	0.105692	0.000000
semimcfecmp	9	0.101088	0.000000
semimcfksp	0	0.129512	0.000000
semimcfksp	1	0.117715	0.000000
semimcfksp	2	0.132318	0.000000
semimcfksp	3	0.127626	0.000000
semimcfksp	4	0.123970	0.000000
semimcfksp	5	0.125142	0.000000
semimcfksp	6	0.123777	0.000000
semimcfksp	7	0.125216	0.000000
semimcfksp	8	0.123096	0.000000
semimcfksp	9	0.123073	0.000000
semimcfmcf	0	0.134447	0.000000
semimcfmcf	1	0.131877	0.000000
semimcfmcf	2	0.138784	0.000000
semimcfmcf	3	0.136076	0.000000
semimcfmcf	4	0.132081	0.000000
semimcfmcf	5	0.131926	0.000000
semimcfmcf	6	0.136317	0.000000
semimcfmcf	7	0.134372	0.000000
semimcfmcf	8	0.136312	0.000000
semimcfmcf	9	0.129998	0.000000
semimcfraeke	0	0.135789	0.000000
semimcfraeke	1	0.138082	0.000000
semimcfraeke	2	0.142373	0.000000
semimcfraeke	3	0.136426	0.000000
semimcfraeke	4	0.134982	0.000000
semimcfraeke	5	0.132767	0.000000
semimcfraeke	6	0.144822	0.000000
semimcfraeke	7	0.141289	0.000000
semimcfraeke	8	0.139750	0.000000
semimcfraeke	9	0.131380	0.000000
semimcfvlb	0	0.131583	0.000000
semimcfvlb	1	0.124135	0.000000
semimcfvlb	2	0.138454	0.000000
semimcfvlb	3	0.133508	0.000000
semimcfvlb	4	0.128218	0.000000
semimcfvlb	5	0.129465	0.000000
semimcfvlb	6	0.131207	0.000000
semimcfvlb	7	0.130783	0.000000
semimcfvlb	8	0.130934	0.000000
semimcfvlb	9	0.126872	0.000000
spf	0	0.105512	0.000000
spf	1	0.103092	0.000000
spf	2	0.108193	0.000000
spf	3	0.105457	0.000000
spf	4	0.102576	0.000000
spf	5	0.103003	0.000000
spf	6	0.105836	0.000000
spf	7	0.104514	0.000000
spf	8	0.105692	0.000000
spf	9	0.101088	0.000000
vlb	0	0.132838	0.000000
vlb	1	0.130474	0.000000
vlb	2	0.135623	0.000000
vlb	3	0.133021	0.000000
vlb	4	0.129490	0.000000
vlb	5	0.130140	0.000000
vlb	6	0.131308	0.000000
vlb	7	0.133729	0.000000
vlb	8	0.133052	0.000000
vlb	9	0.127539	0.000000

