# solver	iter	congestion-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.035712	0.000000
ecmp	3	0.039646	0.000000
ecmp	4	0.036002	0.000000
ecmp	5	0.024242	0.000000
ecmp	6	0.023947	0.000000
ecmp	7	0.021181	0.000000
ecmp	8	0.020188	0.000000
ecmp	9	0.026124	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.044219	0.000000
ksp	3	0.049316	0.000000
ksp	4	0.044455	0.000000
ksp	5	0.028850	0.000000
ksp	6	0.029021	0.000000
ksp	7	0.025173	0.000000
ksp	8	0.024084	0.000000
ksp	9	0.031305	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.035712	0.000000
mcf	3	0.039646	0.000000
mcf	4	0.036002	0.000000
mcf	5	0.024242	0.000000
mcf	6	0.023947	0.000000
mcf	7	0.021181	0.000000
mcf	8	0.020188	0.000000
mcf	9	0.026124	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.048243	0.000000
raeke	3	0.069555	0.000000
raeke	4	0.063161	0.000000
raeke	5	0.042530	0.000000
raeke	6	0.042012	0.000000
raeke	7	0.037160	0.000000
raeke	8	0.035417	0.000000
raeke	9	0.045832	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.035712	0.000000
semimcfecmp	3	0.069555	0.000000
semimcfecmp	4	0.063161	0.000000
semimcfecmp	5	0.042530	0.000000
semimcfecmp	6	0.042012	0.000000
semimcfecmp	7	0.037160	0.000000
semimcfecmp	8	0.035417	0.000000
semimcfecmp	9	0.045832	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.044219	0.000000
semimcfksp	3	0.069555	0.000000
semimcfksp	4	0.063161	0.000000
semimcfksp	5	0.042842	0.000000
semimcfksp	6	0.042319	0.000000
semimcfksp	7	0.037180	0.000000
semimcfksp	8	0.035417	0.000000
semimcfksp	9	0.045832	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.035712	0.000000
semimcfmcf	3	0.069555	0.000000
semimcfmcf	4	0.063161	0.000000
semimcfmcf	5	0.042530	0.000000
semimcfmcf	6	0.042012	0.000000
semimcfmcf	7	0.037160	0.000000
semimcfmcf	8	0.035417	0.000000
semimcfmcf	9	0.045832	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.048243	0.000000
semimcfraeke	3	0.069555	0.000000
semimcfraeke	4	0.063161	0.000000
semimcfraeke	5	0.042530	0.000000
semimcfraeke	6	0.042012	0.000000
semimcfraeke	7	0.037252	0.000000
semimcfraeke	8	0.035417	0.000000
semimcfraeke	9	0.045832	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.048243	0.000000
semimcfvlb	3	0.069555	0.000000
semimcfvlb	4	0.063161	0.000000
semimcfvlb	5	0.042530	0.000000
semimcfvlb	6	0.042024	0.000000
semimcfvlb	7	0.037160	0.000000
semimcfvlb	8	0.035417	0.000000
semimcfvlb	9	0.045832	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.035712	0.000000
spf	3	0.039646	0.000000
spf	4	0.036002	0.000000
spf	5	0.024242	0.000000
spf	6	0.023947	0.000000
spf	7	0.021181	0.000000
spf	8	0.020188	0.000000
spf	9	0.026124	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.048243	0.000000
vlb	3	0.053557	0.000000
vlb	4	0.048634	0.000000
vlb	5	0.032748	0.000000
vlb	6	0.032349	0.000000
vlb	7	0.028613	0.000000
vlb	8	0.027271	0.000000
vlb	9	0.035291	0.000000

