#solver	iter	latency-throughput
ecmp	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
ecmp	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
ecmp	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.57064064999
		4. : 0.648884241628
		5. : 0.674637891903
ecmp	3	
		1. : 0.229918779481
		2. : 0.467063167088
		3. : 0.569000617156
		4. : 0.64804272343
		5. : 0.674463500045
ecmp	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.682673501121
ecmp	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682562042191
ecmp	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.692837082632
ecmp	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690053687212
ecmp	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688320523164
ecmp	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.686990146076
ksp	0	
		1. : 0.0675172645244
		2. : 0.148899254495
		3. : 0.272357997737
		4. : 0.449770328845
		5. : 0.643121425696
		6. : 0.859877694898
		7. : 0.905190564409
		8. : 0.946611197784
		9. : 0.992560038901
		10. : 0.999883195887
		11. : 1.
ksp	1	
		1. : 0.0676695962126
		2. : 0.147816727684
		3. : 0.269441810684
		4. : 0.445387971987
		5. : 0.639510102569
		6. : 0.860490539807
		7. : 0.903501889546
		8. : 0.945218548124
		9. : 0.992877073506
		10. : 0.999869608392
		11. : 1.
ksp	2	
		1. : 0.140896812493
		2. : 0.243335414765
		3. : 0.361444946239
		4. : 0.483544727518
		5. : 0.655752537901
		6. : 0.830946239653
		7. : 0.861261786145
		8. : 0.878360899649
		9. : 0.891566731395
		10. : 0.895683829765
		11. : 0.895811961262
ksp	3	
		1. : 0.147649489256
		2. : 0.250820612203
		3. : 0.364747681201
		4. : 0.483548253768
		5. : 0.647806562828
		6. : 0.823664794859
		7. : 0.851966111702
		8. : 0.87027858814
		9. : 0.884621177488
		10. : 0.889113484161
		11. : 0.889226237357
ksp	4	
		1. : 0.14633481323
		2. : 0.251423400486
		3. : 0.368134887483
		4. : 0.48885444765
		5. : 0.652756023536
		6. : 0.828484635696
		7. : 0.857527729993
		8. : 0.876418669705
		9. : 0.890308158885
		10. : 0.894576519996
		11. : 0.894688471198
ksp	5	
		1. : 0.14502448399
		2. : 0.253578000138
		3. : 0.377392925027
		4. : 0.499706238043
		5. : 0.668531552515
		6. : 0.845394703574
		7. : 0.875997847814
		8. : 0.893227732028
		9. : 0.90629024386
		10. : 0.910564733433
		11. : 0.910663090483
ksp	6	
		1. : 0.139541801441
		2. : 0.250098535927
		3. : 0.377154583874
		4. : 0.50128280511
		5. : 0.67198440221
		6. : 0.845012330614
		7. : 0.87696721672
		8. : 0.895060711389
		9. : 0.908239796135
		10. : 0.912651721419
		11. : 0.912736508076
ksp	7	
		1. : 0.144644488834
		2. : 0.255931016552
		3. : 0.381690621855
		4. : 0.504145405203
		5. : 0.674534866199
		6. : 0.850483495231
		7. : 0.881241359815
		8. : 0.898181516985
		9. : 0.910964734632
		10. : 0.915052512092
		11. : 0.91516435133
ksp	8	
		1. : 0.139684940231
		2. : 0.249789046921
		3. : 0.37460655086
		4. : 0.498860417957
		5. : 0.67339447698
		6. : 0.851738793687
		7. : 0.884322857862
		8. : 0.901207339518
		9. : 0.913581242886
		10. : 0.917557444512
		11. : 0.917661559495
ksp	9	
		1. : 0.146542112229
		2. : 0.255110577722
		3. : 0.3749728872
		4. : 0.496511041995
		5. : 0.664016322546
		6. : 0.842172721913
		7. : 0.871772661151
		8. : 0.890502010544
		9. : 0.904097148488
		10. : 0.908304836036
		11. : 0.908417691088
mcf	0	
		1. : 0.250237394853
		2. : 0.440141664852
		3. : 0.550111339844
		4. : 0.608258365469
		5. : 0.731174581249
		6. : 0.850153933142
		7. : 0.950181175313
		8. : 1.
mcf	1	
		1. : 0.246165833059
		2. : 0.435694248692
		3. : 0.553348262679
		4. : 0.614989263698
		5. : 0.695354137108
		6. : 0.85041470842
		7. : 0.936229338545
		8. : 1.
mcf	2	
		1. : 0.207113526458
		2. : 0.367044527886
		3. : 0.461868395925
		4. : 0.513652345291
		5. : 0.589782290794
		6. : 0.704194151986
		7. : 0.735064428126
		8. : 0.738752547468
mcf	3	
		1. : 0.20621761318
		2. : 0.350979940808
		3. : 0.453386202133
		4. : 0.512349979179
