# solver	iter	max-congestion	stddev
ecmp	0	0.745559	0.000000
ecmp	1	0.758105	0.000000
ecmp	2	0.438355	0.000000
ecmp	3	0.474255	0.000000
ecmp	4	0.474118	0.000000
ecmp	5	0.439918	0.000000
ecmp	6	0.462264	0.000000
ecmp	7	0.451459	0.000000
ecmp	8	0.448453	0.000000
ecmp	9	0.463672	0.000000
ksp	0	0.941780	0.000000
ksp	1	0.946763	0.000000
ksp	2	0.912792	0.000000
ksp	3	0.914229	0.000000
ksp	4	0.911270	0.000000
ksp	5	0.905422	0.000000
ksp	6	0.907114	0.000000
ksp	7	0.904464	0.000000
ksp	8	0.905233	0.000000
ksp	9	0.906117	0.000000
mcf	0	0.600000	0.000000
mcf	1	0.600116	0.000000
mcf	2	0.732011	0.000000
mcf	3	0.740834	0.000000
mcf	4	0.671815	0.000000
mcf	5	0.660151	0.000000
mcf	6	0.654315	0.000000
mcf	7	0.642924	0.000000
mcf	8	0.648113	0.000000
mcf	9	0.641512	0.000000
raeke	0	0.727962	0.000000
raeke	1	0.708285	0.000000
raeke	2	0.927187	0.000000
raeke	3	0.929730	0.000000
raeke	4	0.927354	0.000000
raeke	5	0.920932	0.000000
raeke	6	0.922770	0.000000
raeke	7	0.920153	0.000000
raeke	8	0.921448	0.000000
raeke	9	0.923671	0.000000
semimcfecmp	0	0.738268	0.000000
semimcfecmp	1	0.750551	0.000000
semimcfecmp	2	0.439653	0.000000
semimcfecmp	3	0.475573	0.000000
semimcfecmp	4	0.475277	0.000000
semimcfecmp	5	0.441055	0.000000
semimcfecmp	6	0.463332	0.000000
semimcfecmp	7	0.452394	0.000000
semimcfecmp	8	0.449236	0.000000
semimcfecmp	9	0.465040	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.600116	0.000000
semimcfksp	2	0.910604	0.000000
semimcfksp	3	0.912757	0.000000
semimcfksp	4	0.910029	0.000000
semimcfksp	5	0.902063	0.000000
semimcfksp	6	0.902421	0.000000
semimcfksp	7	0.900382	0.000000
semimcfksp	8	0.899566	0.000000
semimcfksp	9	0.903093	0.000000
semimcfmcf	0	0.600000	0.000000
semimcfmcf	1	0.600116	0.000000
semimcfmcf	2	0.697260	0.000000
semimcfmcf	3	0.681614	0.000000
semimcfmcf	4	0.672560	0.000000
semimcfmcf	5	0.664207	0.000000
semimcfmcf	6	0.680092	0.000000
semimcfmcf	7	0.672289	0.000000
semimcfmcf	8	0.697196	0.000000
semimcfmcf	9	0.673848	0.000000
semimcfraeke	0	0.600000	0.000000
semimcfraeke	1	0.600116	0.000000
semimcfraeke	2	0.911122	0.000000
semimcfraeke	3	0.913164	0.000000
semimcfraeke	4	0.910131	0.000000
semimcfraeke	5	0.902124	0.000000
semimcfraeke	6	0.902527	0.000000
semimcfraeke	7	0.900496	0.000000
semimcfraeke	8	0.900440	0.000000
semimcfraeke	9	0.903475	0.000000
semimcfvlb	0	0.600000	0.000000
semimcfvlb	1	0.600116	0.000000
semimcfvlb	2	0.910583	0.000000
semimcfvlb	3	0.912833	0.000000
semimcfvlb	4	0.909991	0.000000
semimcfvlb	5	0.902366	0.000000
semimcfvlb	6	0.902962	0.000000
semimcfvlb	7	0.900350	0.000000
semimcfvlb	8	0.900116	0.000000
semimcfvlb	9	0.903647	0.000000
spf	0	0.738268	0.000000
spf	1	0.750551	0.000000
spf	2	0.439653	0.000000
spf	3	0.475573	0.000000
spf	4	0.475277	0.000000
spf	5	0.441055	0.000000
spf	6	0.463332	0.000000
spf	7	0.452394	0.000000
spf	8	0.449236	0.000000
spf	9	0.465040	0.000000
vlb	0	0.891916	0.000000
vlb	1	0.943030	0.000000
vlb	2	0.879287	0.000000
vlb	3	0.881590	0.000000
vlb	4	0.879598	0.000000
vlb	5	0.874984	0.000000
vlb	6	0.877340	0.000000
vlb	7	0.864109	0.000000
vlb	8	0.876397	0.000000
vlb	9	0.867114	0.000000

