# solver	iter	max-exp-congestion	stddev
ecmp	0	0.745559	0.000000
ecmp	1	0.758105	0.000000
ecmp	2	0.779339	0.000000
ecmp	3	0.762689	0.000000
ecmp	4	0.735565	0.000000
ecmp	5	0.702987	0.000000
ecmp	6	0.706745	0.000000
ecmp	7	0.690000	0.000000
ecmp	8	0.693484	0.000000
ecmp	9	0.687657	0.000000
ksp	0	0.941780	0.000000
ksp	1	0.946763	0.000000
ksp	2	0.967389	0.000000
ksp	3	0.987640	0.000000
ksp	4	0.958242	0.000000
ksp	5	0.911998	0.000000
ksp	6	0.908514	0.000000
ksp	7	0.904044	0.000000
ksp	8	0.892013	0.000000
ksp	9	0.912422	0.000000
mcf	0	0.600000	0.000000
mcf	1	0.600116	0.000000
mcf	2	0.606547	0.000000
mcf	3	0.616135	0.000000
mcf	4	0.602786	0.000000
mcf	5	0.569436	0.000000
mcf	6	0.570776	0.000000
mcf	7	0.561454	0.000000
mcf	8	0.559065	0.000000
mcf	9	0.573240	0.000000
raeke	0	0.727962	0.000000
raeke	1	0.708285	0.000000
raeke	2	0.719167	0.000000
raeke	3	0.729713	0.000000
raeke	4	0.720533	0.000000
raeke	5	0.694366	0.000000
raeke	6	0.706138	0.000000
raeke	7	0.692181	0.000000
raeke	8	0.699550	0.000000
raeke	9	0.705441	0.000000
semimcfecmp	0	0.738268	0.000000
semimcfecmp	1	0.750551	0.000000
semimcfecmp	2	0.773441	0.000000
semimcfecmp	3	0.756698	0.000000
semimcfecmp	4	0.730296	0.000000
semimcfecmp	5	0.697816	0.000000
semimcfecmp	6	0.701278	0.000000
semimcfecmp	7	0.684302	0.000000
semimcfecmp	8	0.687811	0.000000
semimcfecmp	9	0.681440	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.600116	0.000000
semimcfksp	2	0.606547	0.000000
semimcfksp	3	0.616135	0.000000
semimcfksp	4	0.602786	0.000000
semimcfksp	5	0.569436	0.000000
semimcfksp	6	0.570776	0.000000
semimcfksp	7	0.561454	0.000000
semimcfksp	8	0.559065	0.000000
semimcfksp	9	0.573240	0.000000
semimcfmcf	0	0.600000	0.000000
semimcfmcf	1	0.600116	0.000000
semimcfmcf	2	0.633116	0.000000
semimcfmcf	3	0.636985	0.000000
semimcfmcf	4	0.614536	0.000000
semimcfmcf	5	0.612007	0.000000
semimcfmcf	6	0.611836	0.000000
semimcfmcf	7	0.622053	0.000000
semimcfmcf	8	0.624166	0.000000
semimcfmcf	9	0.591867	0.000000
semimcfraeke	0	0.600000	0.000000
semimcfraeke	1	0.600116	0.000000
semimcfraeke	2	0.606547	0.000000
semimcfraeke	3	0.616135	0.000000
semimcfraeke	4	0.602786	0.000000
semimcfraeke	5	0.569436	0.000000
semimcfraeke	6	0.570776	0.000000
semimcfraeke	7	0.561454	0.000000
semimcfraeke	8	0.559065	0.000000
semimcfraeke	9	0.573240	0.000000
semimcfvlb	0	0.600000	0.000000
semimcfvlb	1	0.600116	0.000000
semimcfvlb	2	0.606547	0.000000
semimcfvlb	3	0.616135	0.000000
semimcfvlb	4	0.602786	0.000000
semimcfvlb	5	0.569436	0.000000
semimcfvlb	6	0.570776	0.000000
semimcfvlb	7	0.561454	0.000000
semimcfvlb	8	0.559065	0.000000
semimcfvlb	9	0.573240	0.000000
spf	0	0.738268	0.000000
spf	1	0.750551	0.000000
spf	2	0.773441	0.000000
spf	3	0.756698	0.000000
spf	4	0.730296	0.000000
spf	5	0.697816	0.000000
spf	6	0.701278	0.000000
spf	7	0.684302	0.000000
spf	8	0.687811	0.000000
spf	9	0.681440	0.000000
vlb	0	0.891916	0.000000
vlb	1	0.943030	0.000000
vlb	2	0.931608	0.000000
vlb	3	0.945178	0.000000
vlb	4	0.903637	0.000000
vlb	5	0.854089	0.000000
vlb	6	0.856279	0.000000
vlb	7	0.878175	0.000000
vlb	8	0.838200	0.000000
vlb	9	0.887585	0.000000

