# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.158267	0.000000
ecmp	1	0.154638	0.000000
ecmp	2	0.162289	0.000000
ecmp	3	0.158185	0.000000
ecmp	4	0.153863	0.000000
ecmp	5	0.154505	0.000000
ecmp	6	0.158754	0.000000
ecmp	7	0.156771	0.000000
ecmp	8	0.158538	0.000000
ecmp	9	0.151631	0.000000
ksp	0	0.305558	0.000000
ksp	1	0.296573	0.000000
ksp	2	0.310112	0.000000
ksp	3	0.304877	0.000000
ksp	4	0.296778	0.000000
ksp	5	0.297353	0.000000
ksp	6	0.306248	0.000000
ksp	7	0.301197	0.000000
ksp	8	0.303187	0.000000
ksp	9	0.291400	0.000000
mcf	0	0.237505	0.000000
mcf	1	0.232759	0.000000
mcf	2	0.236661	0.000000
mcf	3	0.235898	0.000000
mcf	4	0.227293	0.000000
mcf	5	0.227793	0.000000
mcf	6	0.228929	0.000000
mcf	7	0.233727	0.000000
mcf	8	0.238247	0.000000
mcf	9	0.222766	0.000000
raeke	0	0.211596	0.000000
raeke	1	0.206390	0.000000
raeke	2	0.217013	0.000000
raeke	3	0.211325	0.000000
raeke	4	0.205394	0.000000
raeke	5	0.206521	0.000000
raeke	6	0.212579	0.000000
raeke	7	0.209585	0.000000
raeke	8	0.212217	0.000000
raeke	9	0.202320	0.000000
semimcfecmp	0	0.158267	0.000000
semimcfecmp	1	0.154638	0.000000
semimcfecmp	2	0.162289	0.000000
semimcfecmp	3	0.158185	0.000000
semimcfecmp	4	0.153863	0.000000
semimcfecmp	5	0.154505	0.000000
semimcfecmp	6	0.158754	0.000000
semimcfecmp	7	0.156771	0.000000
semimcfecmp	8	0.158538	0.000000
semimcfecmp	9	0.151631	0.000000
semimcfksp	0	0.200964	0.000000
semimcfksp	1	0.203096	0.000000
semimcfksp	2	0.209447	0.000000
semimcfksp	3	0.200782	0.000000
semimcfksp	4	0.193915	0.000000
semimcfksp	5	0.196029	0.000000
semimcfksp	6	0.203099	0.000000
semimcfksp	7	0.207054	0.000000
semimcfksp	8	0.199770	0.000000
semimcfksp	9	0.194525	0.000000
semimcfmcf	0	0.237816	0.000000
semimcfmcf	1	0.231470	0.000000
semimcfmcf	2	0.246309	0.000000
semimcfmcf	3	0.237261	0.000000
semimcfmcf	4	0.230716	0.000000
semimcfmcf	5	0.235183	0.000000
semimcfmcf	6	0.241204	0.000000
semimcfmcf	7	0.239473	0.000000
semimcfmcf	8	0.241973	0.000000
semimcfmcf	9	0.228073	0.000000
semimcfraeke	0	0.201676	0.000000
semimcfraeke	1	0.201027	0.000000
semimcfraeke	2	0.214778	0.000000
semimcfraeke	3	0.205170	0.000000
semimcfraeke	4	0.195396	0.000000
semimcfraeke	5	0.199256	0.000000
semimcfraeke	6	0.206219	0.000000
semimcfraeke	7	0.209123	0.000000
semimcfraeke	8	0.208188	0.000000
semimcfraeke	9	0.190855	0.000000
semimcfvlb	0	0.192135	0.000000
semimcfvlb	1	0.189581	0.000000
semimcfvlb	2	0.199623	0.000000
semimcfvlb	3	0.194081	0.000000
semimcfvlb	4	0.190163	0.000000
semimcfvlb	5	0.192307	0.000000
semimcfvlb	6	0.192385	0.000000
semimcfvlb	7	0.202952	0.000000
semimcfvlb	8	0.189240	0.000000
semimcfvlb	9	0.189576	0.000000
spf	0	0.158267	0.000000
spf	1	0.154638	0.000000
spf	2	0.162289	0.000000
spf	3	0.158185	0.000000
spf	4	0.153863	0.000000
spf	5	0.154505	0.000000
spf	6	0.158754	0.000000
spf	7	0.156771	0.000000
spf	8	0.158538	0.000000
spf	9	0.151631	0.000000
vlb	0	0.213149	0.000000
vlb	1	0.209688	0.000000
vlb	2	0.220253	0.000000
vlb	3	0.214672	0.000000
vlb	4	0.207054	0.000000
vlb	5	0.207359	0.000000
vlb	6	0.216511	0.000000
vlb	7	0.208992	0.000000
vlb	8	0.216151	0.000000
vlb	9	0.203706	0.000000

