# solver	iter	mean-congestion	stddev
ecmp	0	0.158267	0.000000
ecmp	1	0.154638	0.000000
ecmp	2	0.117366	0.000000
ecmp	3	0.114628	0.000000
ecmp	4	0.112490	0.000000
ecmp	5	0.113171	0.000000
ecmp	6	0.117491	0.000000
ecmp	7	0.115656	0.000000
ecmp	8	0.116728	0.000000
ecmp	9	0.111314	0.000000
ksp	0	0.305558	0.000000
ksp	1	0.296573	0.000000
ksp	2	0.215661	0.000000
ksp	3	0.208673	0.000000
ksp	4	0.203689	0.000000
ksp	5	0.206950	0.000000
ksp	6	0.216055	0.000000
ksp	7	0.210822	0.000000
ksp	8	0.214436	0.000000
ksp	9	0.201505	0.000000
mcf	0	0.237505	0.000000
mcf	1	0.232759	0.000000
mcf	2	0.189563	0.000000
mcf	3	0.187987	0.000000
mcf	4	0.182612	0.000000
mcf	5	0.186648	0.000000
mcf	6	0.184408	0.000000
mcf	7	0.191117	0.000000
mcf	8	0.195319	0.000000
mcf	9	0.176652	0.000000
raeke	0	0.209334	0.000000
raeke	1	0.203865	0.000000
raeke	2	0.162688	0.000000
raeke	3	0.157044	0.000000
raeke	4	0.152977	0.000000
raeke	5	0.155166	0.000000
raeke	6	0.160853	0.000000
raeke	7	0.158135	0.000000
raeke	8	0.161147	0.000000
raeke	9	0.151636	0.000000
semimcfecmp	0	0.158267	0.000000
semimcfecmp	1	0.154638	0.000000
semimcfecmp	2	0.117871	0.000000
semimcfecmp	3	0.115133	0.000000
semimcfecmp	4	0.112936	0.000000
semimcfecmp	5	0.113604	0.000000
semimcfecmp	6	0.118006	0.000000
semimcfecmp	7	0.116169	0.000000
semimcfecmp	8	0.117218	0.000000
semimcfecmp	9	0.111834	0.000000
semimcfksp	0	0.200964	0.000000
semimcfksp	1	0.203096	0.000000
semimcfksp	2	0.166070	0.000000
semimcfksp	3	0.157266	0.000000
semimcfksp	4	0.153966	0.000000
semimcfksp	5	0.156123	0.000000
semimcfksp	6	0.168128	0.000000
semimcfksp	7	0.164659	0.000000
semimcfksp	8	0.160216	0.000000
semimcfksp	9	0.154892	0.000000
semimcfmcf	0	0.237816	0.000000
semimcfmcf	1	0.231470	0.000000
semimcfmcf	2	0.201618	0.000000
semimcfmcf	3	0.191352	0.000000
semimcfmcf	4	0.186865	0.000000
semimcfmcf	5	0.193199	0.000000
semimcfmcf	6	0.200497	0.000000
semimcfmcf	7	0.198182	0.000000
semimcfmcf	8	0.202643	0.000000
semimcfmcf	9	0.186053	0.000000
semimcfraeke	0	0.195509	0.000000
semimcfraeke	1	0.202996	0.000000
semimcfraeke	2	0.173411	0.000000
semimcfraeke	3	0.165329	0.000000
semimcfraeke	4	0.151014	0.000000
semimcfraeke	5	0.152573	0.000000
semimcfraeke	6	0.160626	0.000000
semimcfraeke	7	0.157976	0.000000
semimcfraeke	8	0.167059	0.000000
semimcfraeke	9	0.152645	0.000000
semimcfvlb	0	0.195283	0.000000
semimcfvlb	1	0.201831	0.000000
semimcfvlb	2	0.169769	0.000000
semimcfvlb	3	0.160388	0.000000
semimcfvlb	4	0.147977	0.000000
semimcfvlb	5	0.149518	0.000000
semimcfvlb	6	0.164153	0.000000
semimcfvlb	7	0.153892	0.000000
semimcfvlb	8	0.156056	0.000000
semimcfvlb	9	0.151310	0.000000
spf	0	0.158267	0.000000
spf	1	0.154638	0.000000
spf	2	0.117871	0.000000
spf	3	0.115133	0.000000
spf	4	0.112936	0.000000
spf	5	0.113604	0.000000
spf	6	0.118006	0.000000
spf	7	0.116169	0.000000
spf	8	0.117218	0.000000
spf	9	0.111834	0.000000
vlb	0	0.214866	0.000000
vlb	1	0.206648	0.000000
vlb	2	0.152390	0.000000
vlb	3	0.148690	0.000000
vlb	4	0.141921	0.000000
vlb	5	0.140757	0.000000
vlb	6	0.148227	0.000000
vlb	7	0.144459	0.000000
vlb	8	0.151116	0.000000
vlb	9	0.143186	0.000000

