# solver	iter	.0.700000-congestion	stddev
ecmp	0	0.247766	0.000000
ecmp	1	0.237102	0.000000
ecmp	2	0.152915	0.000000
ecmp	3	0.130379	0.000000
ecmp	4	0.130656	0.000000
ecmp	5	0.143381	0.000000
ecmp	6	0.153630	0.000000
ecmp	7	0.149345	0.000000
ecmp	8	0.163235	0.000000
ecmp	9	0.140452	0.000000
ksp	0	0.539238	0.000000
ksp	1	0.505076	0.000000
ksp	2	0.356781	0.000000
ksp	3	0.325780	0.000000
ksp	4	0.321099	0.000000
ksp	5	0.341042	0.000000
ksp	6	0.362601	0.000000
ksp	7	0.346829	0.000000
ksp	8	0.350294	0.000000
ksp	9	0.328799	0.000000
mcf	0	0.447854	0.000000
mcf	1	0.436314	0.000000
mcf	2	0.296084	0.000000
mcf	3	0.309471	0.000000
mcf	4	0.292577	0.000000
mcf	5	0.350993	0.000000
mcf	6	0.288207	0.000000
mcf	7	0.347084	0.000000
mcf	8	0.345455	0.000000
mcf	9	0.283021	0.000000
raeke	0	0.327543	0.000000
raeke	1	0.330067	0.000000
raeke	2	0.218117	0.000000
raeke	3	0.199509	0.000000
raeke	4	0.198123	0.000000
raeke	5	0.222837	0.000000
raeke	6	0.243495	0.000000
raeke	7	0.225931	0.000000
raeke	8	0.234437	0.000000
raeke	9	0.208897	0.000000
semimcfecmp	0	0.222699	0.000000
semimcfecmp	1	0.209355	0.000000
semimcfecmp	2	0.128231	0.000000
semimcfecmp	3	0.112296	0.000000
semimcfecmp	4	0.112062	0.000000
semimcfecmp	5	0.131721	0.000000
semimcfecmp	6	0.149860	0.000000
semimcfecmp	7	0.130043	0.000000
semimcfecmp	8	0.119578	0.000000
semimcfecmp	9	0.112018	0.000000
semimcfksp	0	0.293861	0.000000
semimcfksp	1	0.319951	0.000000
semimcfksp	2	0.220809	0.000000
semimcfksp	3	0.205786	0.000000
semimcfksp	4	0.218168	0.000000
semimcfksp	5	0.238457	0.000000
semimcfksp	6	0.260120	0.000000
semimcfksp	7	0.235740	0.000000
semimcfksp	8	0.256976	0.000000
semimcfksp	9	0.222406	0.000000
semimcfmcf	0	0.448366	0.000000
semimcfmcf	1	0.447699	0.000000
semimcfmcf	2	0.302243	0.000000
semimcfmcf	3	0.289243	0.000000
semimcfmcf	4	0.282546	0.000000
semimcfmcf	5	0.310526	0.000000
semimcfmcf	6	0.336031	0.000000
semimcfmcf	7	0.321323	0.000000
semimcfmcf	8	0.328973	0.000000
semimcfmcf	9	0.308965	0.000000
semimcfraeke	0	0.303393	0.000000
semimcfraeke	1	0.311451	0.000000
semimcfraeke	2	0.266858	0.000000
semimcfraeke	3	0.250722	0.000000
semimcfraeke	4	0.194902	0.000000
semimcfraeke	5	0.209997	0.000000
semimcfraeke	6	0.240654	0.000000
semimcfraeke	7	0.257839	0.000000
semimcfraeke	8	0.241722	0.000000
semimcfraeke	9	0.212320	0.000000
semimcfvlb	0	0.338578	0.000000
semimcfvlb	1	0.303113	0.000000
semimcfvlb	2	0.210549	0.000000
semimcfvlb	3	0.198037	0.000000
semimcfvlb	4	0.193632	0.000000
semimcfvlb	5	0.232216	0.000000
semimcfvlb	6	0.214308	0.000000
semimcfvlb	7	0.219740	0.000000
semimcfvlb	8	0.214919	0.000000
semimcfvlb	9	0.220196	0.000000
spf	0	0.201353	0.000000
spf	1	0.201292	0.000000
spf	2	0.171179	0.000000
spf	3	0.151465	0.000000
spf	4	0.150279	0.000000
spf	5	0.169762	0.000000
spf	6	0.165959	0.000000
spf	7	0.167793	0.000000
spf	8	0.166139	0.000000
spf	9	0.157816	0.000000
vlb	0	0.359192	0.000000
vlb	1	0.331925	0.000000
vlb	2	0.223141	0.000000
vlb	3	0.201729	0.000000
vlb	4	0.206163	0.000000
vlb	5	0.210978	0.000000
vlb	6	0.201115	0.000000
vlb	7	0.218804	0.000000
vlb	8	0.224352	0.000000
vlb	9	0.213352	0.000000

