# solver	iter	total-throughput	stddev
ecmp	0	1.000000	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	0.871967	0.000000
ecmp	3	0.872042	0.000000
ecmp	4	0.875358	0.000000
ecmp	5	0.875210	0.000000
ecmp	6	0.879284	0.000000
ecmp	7	0.878117	0.000000
ecmp	8	0.877346	0.000000
ecmp	9	0.876973	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	0.932647	0.000000
ksp	3	0.931291	0.000000
ksp	4	0.932122	0.000000
ksp	5	0.932912	0.000000
ksp	6	0.935402	0.000000
ksp	7	0.933926	0.000000
ksp	8	0.935210	0.000000
ksp	9	0.933084	0.000000
mcf	0	1.000000	0.000000
mcf	1	1.000000	0.000000
mcf	2	0.888460	0.000000
mcf	3	0.884875	0.000000
mcf	4	0.881264	0.000000
mcf	5	0.885902	0.000000
mcf	6	0.888381	0.000000
mcf	7	0.887166	0.000000
mcf	8	0.893117	0.000000
mcf	9	0.883614	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	0.950404	0.000000
raeke	3	1.001084	0.000000
raeke	4	0.999162	0.000000
raeke	5	1.000558	0.000000
raeke	6	0.999815	0.000000
raeke	7	1.000165	0.000000
raeke	8	0.999815	0.000000
raeke	9	1.000220	0.000000
semimcfecmp	0	1.000000	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	0.872331	0.000000
semimcfecmp	3	1.000000	0.000000
semimcfecmp	4	1.000000	0.000000
semimcfecmp	5	1.000000	0.000000
semimcfecmp	6	1.000000	0.000000
semimcfecmp	7	1.000000	0.000000
semimcfecmp	8	1.000000	0.000000
semimcfecmp	9	1.000000	0.000000
semimcfksp	0	1.000000	0.000000
semimcfksp	1	1.000000	0.000000
semimcfksp	2	0.947886	0.000000
semimcfksp	3	1.000000	0.000000
semimcfksp	4	1.000000	0.000000
semimcfksp	5	1.000000	0.000000
semimcfksp	6	1.000000	0.000000
semimcfksp	7	1.000000	0.000000
semimcfksp	8	1.000000	0.000000
semimcfksp	9	1.000000	0.000000
semimcfmcf	0	1.000000	0.000000
semimcfmcf	1	1.000000	0.000000
semimcfmcf	2	0.879233	0.000000
semimcfmcf	3	1.000803	0.000000
semimcfmcf	4	0.999870	0.000000
semimcfmcf	5	0.999222	0.000000
semimcfmcf	6	0.999907	0.000000
semimcfmcf	7	0.999895	0.000000
semimcfmcf	8	1.000550	0.000000
semimcfmcf	9	0.999876	0.000000
semimcfraeke	0	1.000000	0.000000
semimcfraeke	1	1.000000	0.000000
semimcfraeke	2	0.952129	0.000000
semimcfraeke	3	1.000525	0.000000
semimcfraeke	4	1.000524	0.000000
semimcfraeke	5	1.000943	0.000000
semimcfraeke	6	0.998908	0.000000
semimcfraeke	7	1.000569	0.000000
semimcfraeke	8	0.999133	0.000000
semimcfraeke	9	0.999959	0.000000
semimcfvlb	0	1.000000	0.000000
semimcfvlb	1	1.000000	0.000000
semimcfvlb	2	0.952147	0.000000
semimcfvlb	3	0.999706	0.000000
semimcfvlb	4	0.999856	0.000000
semimcfvlb	5	0.999812	0.000000
semimcfvlb	6	1.000432	0.000000
semimcfvlb	7	1.000522	0.000000
semimcfvlb	8	0.999379	0.000000
semimcfvlb	9	0.999865	0.000000
spf	0	1.000000	0.000000
spf	1	1.000000	0.000000
spf	2	0.872331	0.000000
spf	3	0.872407	0.000000
spf	4	0.875691	0.000000
spf	5	0.875529	0.000000
spf	6	0.879685	0.000000
spf	7	0.878511	0.000000
spf	8	0.877708	0.000000
spf	9	0.877363	0.000000
vlb	0	1.000000	0.000000
vlb	1	1.000000	0.000000
vlb	2	0.938756	0.000000
vlb	3	0.937301	0.000000
vlb	4	0.939293	0.000000
vlb	5	0.940690	0.000000
vlb	6	0.942792	0.000000
vlb	7	0.942070	0.000000
vlb	8	0.941730	0.000000
vlb	9	0.940324	0.000000

