# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.105512	0.000000
ecmp	1	0.103092	0.000000
ecmp	2	0.108193	0.000000
ecmp	3	0.105457	0.000000
ecmp	4	0.102576	0.000000
ecmp	5	0.103003	0.000000
ecmp	6	0.105836	0.000000
ecmp	7	0.104514	0.000000
ecmp	8	0.105692	0.000000
ecmp	9	0.101088	0.000000
ksp	0	0.203705	0.000000
ksp	1	0.197716	0.000000
ksp	2	0.206741	0.000000
ksp	3	0.203252	0.000000
ksp	4	0.197852	0.000000
ksp	5	0.198236	0.000000
ksp	6	0.204165	0.000000
ksp	7	0.200798	0.000000
ksp	8	0.202125	0.000000
ksp	9	0.194267	0.000000
mcf	0	0.158337	0.000000
mcf	1	0.155173	0.000000
mcf	2	0.157774	0.000000
mcf	3	0.157266	0.000000
mcf	4	0.151529	0.000000
mcf	5	0.151862	0.000000
mcf	6	0.152619	0.000000
mcf	7	0.155818	0.000000
mcf	8	0.158831	0.000000
mcf	9	0.148510	0.000000
raeke	0	0.141107	0.000000
raeke	1	0.137519	0.000000
raeke	2	0.144482	0.000000
raeke	3	0.140909	0.000000
raeke	4	0.137061	0.000000
raeke	5	0.137661	0.000000
raeke	6	0.141634	0.000000
raeke	7	0.139719	0.000000
raeke	8	0.141448	0.000000
raeke	9	0.135091	0.000000
semimcfecmp	0	0.105512	0.000000
semimcfecmp	1	0.103092	0.000000
semimcfecmp	2	0.108193	0.000000
semimcfecmp	3	0.105457	0.000000
semimcfecmp	4	0.102576	0.000000
semimcfecmp	5	0.103003	0.000000
semimcfecmp	6	0.105836	0.000000
semimcfecmp	7	0.104514	0.000000
semimcfecmp	8	0.105692	0.000000
semimcfecmp	9	0.101088	0.000000
semimcfksp	0	0.133976	0.000000
semimcfksp	1	0.135397	0.000000
semimcfksp	2	0.139631	0.000000
semimcfksp	3	0.133855	0.000000
semimcfksp	4	0.129276	0.000000
semimcfksp	5	0.130686	0.000000
semimcfksp	6	0.135399	0.000000
semimcfksp	7	0.138036	0.000000
semimcfksp	8	0.133180	0.000000
semimcfksp	9	0.129683	0.000000
semimcfmcf	0	0.158544	0.000000
semimcfmcf	1	0.154313	0.000000
semimcfmcf	2	0.164206	0.000000
semimcfmcf	3	0.158174	0.000000
semimcfmcf	4	0.153810	0.000000
semimcfmcf	5	0.156789	0.000000
semimcfmcf	6	0.160803	0.000000
semimcfmcf	7	0.159649	0.000000
semimcfmcf	8	0.161315	0.000000
semimcfmcf	9	0.152049	0.000000
semimcfraeke	0	0.138838	0.000000
semimcfraeke	1	0.132633	0.000000
semimcfraeke	2	0.143390	0.000000
semimcfraeke	3	0.139275	0.000000
semimcfraeke	4	0.132101	0.000000
semimcfraeke	5	0.133468	0.000000
semimcfraeke	6	0.135704	0.000000
semimcfraeke	7	0.137963	0.000000
semimcfraeke	8	0.137252	0.000000
semimcfraeke	9	0.131119	0.000000
semimcfvlb	0	0.135967	0.000000
semimcfvlb	1	0.133956	0.000000
semimcfvlb	2	0.137849	0.000000
semimcfvlb	3	0.132813	0.000000
semimcfvlb	4	0.131361	0.000000
semimcfvlb	5	0.132428	0.000000
semimcfvlb	6	0.133408	0.000000
semimcfvlb	7	0.127323	0.000000
semimcfvlb	8	0.131224	0.000000
semimcfvlb	9	0.127134	0.000000
spf	0	0.105512	0.000000
spf	1	0.103092	0.000000
spf	2	0.108193	0.000000
spf	3	0.105457	0.000000
spf	4	0.102576	0.000000
spf	5	0.103003	0.000000
spf	6	0.105836	0.000000
spf	7	0.104514	0.000000
spf	8	0.105692	0.000000
spf	9	0.101088	0.000000
vlb	0	0.141599	0.000000
vlb	1	0.139092	0.000000
vlb	2	0.146668	0.000000
vlb	3	0.145215	0.000000
vlb	4	0.140213	0.000000
vlb	5	0.136662	0.000000
vlb	6	0.142765	0.000000
vlb	7	0.139875	0.000000
vlb	8	0.142379	0.000000
vlb	9	0.135983	0.000000

