# solver	iter	churn	stddev
ecmp	0	168.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	0.000000	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.000000	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.000000	0.000000
ecmp	9	0.000000	0.000000
ksp	0	623.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.000000	0.000000
ksp	3	0.000000	0.000000
ksp	4	0.000000	0.000000
ksp	5	0.000000	0.000000
ksp	6	0.000000	0.000000
ksp	7	0.000000	0.000000
ksp	8	0.000000	0.000000
ksp	9	0.000000	0.000000
mcf	0	137.000000	0.000000
mcf	1	59.000000	0.000000
mcf	2	78.000000	0.000000
mcf	3	74.000000	0.000000
mcf	4	55.000000	0.000000
mcf	5	75.000000	0.000000
mcf	6	92.000000	0.000000
mcf	7	89.000000	0.000000
mcf	8	86.000000	0.000000
mcf	9	85.000000	0.000000
raeke	0	619.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000000	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.000000	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.000000	0.000000
raeke	9	0.000000	0.000000
semimcfecmp	0	168.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.000000	0.000000
semimcfecmp	3	0.000000	0.000000
semimcfecmp	4	0.000000	0.000000
semimcfecmp	5	0.000000	0.000000
semimcfecmp	6	0.000000	0.000000
semimcfecmp	7	0.000000	0.000000
semimcfecmp	8	0.000000	0.000000
semimcfecmp	9	0.000000	0.000000
semimcfksp	0	623.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.000000	0.000000
semimcfksp	3	0.000000	0.000000
semimcfksp	4	0.000000	0.000000
semimcfksp	5	0.000000	0.000000
semimcfksp	6	0.000000	0.000000
semimcfksp	7	0.000000	0.000000
semimcfksp	8	0.000000	0.000000
semimcfksp	9	0.000000	0.000000
semimcfmcf	0	137.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.000000	0.000000
semimcfmcf	3	0.000000	0.000000
semimcfmcf	4	0.000000	0.000000
semimcfmcf	5	0.000000	0.000000
semimcfmcf	6	0.000000	0.000000
semimcfmcf	7	0.000000	0.000000
semimcfmcf	8	0.000000	0.000000
semimcfmcf	9	0.000000	0.000000
semimcfraeke	0	605.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.000000	0.000000
semimcfraeke	3	0.000000	0.000000
semimcfraeke	4	0.000000	0.000000
semimcfraeke	5	0.000000	0.000000
semimcfraeke	6	0.000000	0.000000
semimcfraeke	7	0.000000	0.000000
semimcfraeke	8	0.000000	0.000000
semimcfraeke	9	0.000000	0.000000
semimcfvlb	0	518.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.000000	0.000000
semimcfvlb	3	0.000000	0.000000
semimcfvlb	4	0.000000	0.000000
semimcfvlb	5	0.000000	0.000000
semimcfvlb	6	0.000000	0.000000
semimcfvlb	7	0.000000	0.000000
semimcfvlb	8	0.000000	0.000000
semimcfvlb	9	0.000000	0.000000
spf	0	132.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.000000	0.000000
spf	3	0.000000	0.000000
spf	4	0.000000	0.000000
spf	5	0.000000	0.000000
spf	6	0.000000	0.000000
spf	7	0.000000	0.000000
spf	8	0.000000	0.000000
spf	9	0.000000	0.000000
vlb	0	504.000000	0.000000
vlb	1	90.000000	0.000000
vlb	2	93.000000	0.000000
vlb	3	113.000000	0.000000
vlb	4	127.000000	0.000000
vlb	5	105.000000	0.000000
vlb	6	101.000000	0.000000
vlb	7	99.000000	0.000000
vlb	8	101.000000	0.000000
vlb	9	52.000000	0.000000

