# solver	iter	congestion-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.002494	0.000000
ecmp	2	0.118978	0.000000
ecmp	3	0.121578	0.000000
ecmp	4	0.111682	0.000000
ecmp	5	0.101266	0.000000
ecmp	6	0.101349	0.000000
ecmp	7	0.099446	0.000000
ecmp	8	0.094790	0.000000
ecmp	9	0.097335	0.000000
ksp	0	0.078729	0.000000
ksp	1	0.079516	0.000000
ksp	2	0.168535	0.000000
ksp	3	0.172341	0.000000
ksp	4	0.157960	0.000000
ksp	5	0.142993	0.000000
ksp	6	0.146993	0.000000
ksp	7	0.142478	0.000000
ksp	8	0.139875	0.000000
ksp	9	0.137857	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.122837	0.000000
mcf	3	0.121955	0.000000
mcf	4	0.111031	0.000000
mcf	5	0.104941	0.000000
mcf	6	0.110510	0.000000
mcf	7	0.104290	0.000000
mcf	8	0.095344	0.000000
mcf	9	0.096238	0.000000
raeke	0	0.016937	0.000000
raeke	1	0.019474	0.000000
raeke	2	0.167086	0.000000
raeke	3	0.223462	0.000000
raeke	4	0.206731	0.000000
raeke	5	0.187334	0.000000
raeke	6	0.187954	0.000000
raeke	7	0.184668	0.000000
raeke	8	0.177375	0.000000
raeke	9	0.180664	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000170	0.000000
semimcfecmp	2	0.113316	0.000000
semimcfecmp	3	0.207592	0.000000
semimcfecmp	4	0.192454	0.000000
semimcfecmp	5	0.177324	0.000000
semimcfecmp	6	0.175274	0.000000
semimcfecmp	7	0.173382	0.000000
semimcfecmp	8	0.167835	0.000000
semimcfecmp	9	0.171841	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.145656	0.000000
semimcfksp	3	0.207592	0.000000
semimcfksp	4	0.192454	0.000000
semimcfksp	5	0.177324	0.000000
semimcfksp	6	0.175300	0.000000
semimcfksp	7	0.173382	0.000000
semimcfksp	8	0.167835	0.000000
semimcfksp	9	0.171841	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.121807	0.000000
semimcfmcf	3	0.214515	0.000000
semimcfmcf	4	0.197675	0.000000
semimcfmcf	5	0.187195	0.000000
semimcfmcf	6	0.198785	0.000000
semimcfmcf	7	0.188000	0.000000
semimcfmcf	8	0.171838	0.000000
semimcfmcf	9	0.171833	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.151870	0.000000
semimcfraeke	3	0.206984	0.000000
semimcfraeke	4	0.192926	0.000000
semimcfraeke	5	0.178447	0.000000
semimcfraeke	6	0.174983	0.000000
semimcfraeke	7	0.173234	0.000000
semimcfraeke	8	0.168559	0.000000
semimcfraeke	9	0.172069	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.151663	0.000000
semimcfvlb	3	0.207953	0.000000
semimcfvlb	4	0.192482	0.000000
semimcfvlb	5	0.177168	0.000000
semimcfvlb	6	0.175463	0.000000
semimcfvlb	7	0.173875	0.000000
semimcfvlb	8	0.168011	0.000000
semimcfvlb	9	0.171463	0.000000
spf	0	0.000000	0.000000
spf	1	0.000170	0.000000
spf	2	0.113316	0.000000
spf	3	0.118226	0.000000
spf	4	0.109421	0.000000
spf	5	0.100309	0.000000
spf	6	0.098960	0.000000
spf	7	0.097868	0.000000
spf	8	0.094607	0.000000
spf	9	0.097335	0.000000
vlb	0	0.055474	0.000000
vlb	1	0.046428	0.000000
vlb	2	0.168246	0.000000
vlb	3	0.172643	0.000000
vlb	4	0.159747	0.000000
vlb	5	0.142574	0.000000
vlb	6	0.142797	0.000000
vlb	7	0.139998	0.000000
vlb	8	0.133573	0.000000
vlb	9	0.137132	0.000000

