# solver	iter	mean-congestion	stddev
ecmp	0	0.211023	0.000000
ecmp	1	0.205564	0.000000
ecmp	2	0.195632	0.000000
ecmp	3	0.191652	0.000000
ecmp	4	0.188765	0.000000
ecmp	5	0.191322	0.000000
ecmp	6	0.196181	0.000000
ecmp	7	0.193894	0.000000
ecmp	8	0.196184	0.000000
ecmp	9	0.188620	0.000000
ksp	0	0.374917	0.000000
ksp	1	0.363028	0.000000
ksp	2	0.327200	0.000000
ksp	3	0.319055	0.000000
ksp	4	0.314532	0.000000
ksp	5	0.321258	0.000000
ksp	6	0.330841	0.000000
ksp	7	0.325296	0.000000
ksp	8	0.331669	0.000000
ksp	9	0.315803	0.000000
mcf	0	0.316674	0.000000
mcf	1	0.310346	0.000000
mcf	2	0.276657	0.000000
mcf	3	0.266918	0.000000
mcf	4	0.261003	0.000000
mcf	5	0.270042	0.000000
mcf	6	0.274384	0.000000
mcf	7	0.278066	0.000000
mcf	8	0.284797	0.000000
mcf	9	0.262882	0.000000
raeke	0	0.273454	0.000000
raeke	1	0.265813	0.000000
raeke	2	0.264144	0.000000
raeke	3	0.284562	0.000000
raeke	4	0.278880	0.000000
raeke	5	0.281322	0.000000
raeke	6	0.284748	0.000000
raeke	7	0.282230	0.000000
raeke	8	0.290704	0.000000
raeke	9	0.278504	0.000000
semimcfecmp	0	0.211023	0.000000
semimcfecmp	1	0.206142	0.000000
semimcfecmp	2	0.194477	0.000000
semimcfecmp	3	0.230651	0.000000
semimcfecmp	4	0.226898	0.000000
semimcfecmp	5	0.229737	0.000000
semimcfecmp	6	0.233947	0.000000
semimcfecmp	7	0.231675	0.000000
semimcfecmp	8	0.232977	0.000000
semimcfecmp	9	0.225826	0.000000
semimcfksp	0	0.267952	0.000000
semimcfksp	1	0.270794	0.000000
semimcfksp	2	0.266128	0.000000
semimcfksp	3	0.269139	0.000000
semimcfksp	4	0.273907	0.000000
semimcfksp	5	0.281178	0.000000
semimcfksp	6	0.294283	0.000000
semimcfksp	7	0.281066	0.000000
semimcfksp	8	0.284421	0.000000
semimcfksp	9	0.271637	0.000000
semimcfmcf	0	0.317089	0.000000
semimcfmcf	1	0.308627	0.000000
semimcfmcf	2	0.279331	0.000000
semimcfmcf	3	0.307737	0.000000
semimcfmcf	4	0.301378	0.000000
semimcfmcf	5	0.312073	0.000000
semimcfmcf	6	0.319281	0.000000
semimcfmcf	7	0.318654	0.000000
semimcfmcf	8	0.328741	0.000000
semimcfmcf	9	0.314627	0.000000
semimcfraeke	0	0.278273	0.000000
semimcfraeke	1	0.279334	0.000000
semimcfraeke	2	0.263742	0.000000
semimcfraeke	3	0.275445	0.000000
semimcfraeke	4	0.268743	0.000000
semimcfraeke	5	0.270559	0.000000
semimcfraeke	6	0.283239	0.000000
semimcfraeke	7	0.281602	0.000000
semimcfraeke	8	0.282030	0.000000
semimcfraeke	9	0.263105	0.000000
semimcfvlb	0	0.265024	0.000000
semimcfvlb	1	0.253568	0.000000
semimcfvlb	2	0.257893	0.000000
semimcfvlb	3	0.257345	0.000000
semimcfvlb	4	0.255711	0.000000
semimcfvlb	5	0.259003	0.000000
semimcfvlb	6	0.269390	0.000000
semimcfvlb	7	0.263839	0.000000
semimcfvlb	8	0.259186	0.000000
semimcfvlb	9	0.256468	0.000000
spf	0	0.211023	0.000000
spf	1	0.206142	0.000000
spf	2	0.194477	0.000000
spf	3	0.190420	0.000000
spf	4	0.187289	0.000000
spf	5	0.189098	0.000000
spf	6	0.194082	0.000000
spf	7	0.191653	0.000000
spf	8	0.193367	0.000000
spf	9	0.186049	0.000000
vlb	0	0.275428	0.000000
vlb	1	0.269708	0.000000
vlb	2	0.254423	0.000000
vlb	3	0.250177	0.000000
vlb	4	0.245358	0.000000
vlb	5	0.246758	0.000000
vlb	6	0.255232	0.000000
vlb	7	0.251127	0.000000
vlb	8	0.254314	0.000000
vlb	9	0.243607	0.000000

