# solver	iter	time	stddev
ecmp	0	0.025803	0.000000
ecmp	1	0.026108	0.000000
ecmp	2	0.043638	0.000000
ecmp	3	0.025611	0.000000
ecmp	4	0.037778	0.000000
ecmp	5	0.036467	0.000000
ecmp	6	0.037150	0.000000
ecmp	7	0.036820	0.000000
ecmp	8	0.037241	0.000000
ecmp	9	0.037771	0.000000
ksp	0	0.027153	0.000000
ksp	1	0.028161	0.000000
ksp	2	0.028225	0.000000
ksp	3	0.017229	0.000000
ksp	4	0.017298	0.000000
ksp	5	0.026274	0.000000
ksp	6	0.016666	0.000000
ksp	7	0.016489	0.000000
ksp	8	0.026074	0.000000
ksp	9	0.027012	0.000000
mcf	0	0.129502	0.000000
mcf	1	0.142803	0.000000
mcf	2	0.143182	0.000000
mcf	3	0.132532	0.000000
mcf	4	0.163603	0.000000
mcf	5	0.178645	0.000000
mcf	6	0.148042	0.000000
mcf	7	0.174364	0.000000
mcf	8	0.151458	0.000000
mcf	9	0.120367	0.000000
raeke	0	0.227712	0.000000
raeke	1	0.000377	0.000000
raeke	2	0.000392	0.000000
raeke	3	0.000641	0.000000
raeke	4	0.000325	0.000000
raeke	5	0.000212	0.000000
raeke	6	0.000184	0.000000
raeke	7	0.000158	0.000000
raeke	8	0.000201	0.000000
raeke	9	0.000229	0.000000
semimcfecmp	0	0.008860	0.000000
semimcfecmp	1	0.008515	0.000000
semimcfecmp	2	0.008043	0.000000
semimcfecmp	3	0.008209	0.000000
semimcfecmp	4	0.007071	0.000000
semimcfecmp	5	0.006983	0.000000
semimcfecmp	6	0.007228	0.000000
semimcfecmp	7	0.007560	0.000000
semimcfecmp	8	0.010489	0.000000
semimcfecmp	9	0.006873	0.000000
semimcfksp	0	0.015780	0.000000
semimcfksp	1	0.017108	0.000000
semimcfksp	2	0.016304	0.000000
semimcfksp	3	0.019352	0.000000
semimcfksp	4	0.018593	0.000000
semimcfksp	5	0.014653	0.000000
semimcfksp	6	0.014533	0.000000
semimcfksp	7	0.014692	0.000000
semimcfksp	8	0.014976	0.000000
semimcfksp	9	0.018439	0.000000
semimcfmcf	0	0.007776	0.000000
semimcfmcf	1	0.007989	0.000000
semimcfmcf	2	0.007878	0.000000
semimcfmcf	3	0.007821	0.000000
semimcfmcf	4	0.007472	0.000000
semimcfmcf	5	0.008060	0.000000
semimcfmcf	6	0.007806	0.000000
semimcfmcf	7	0.007780	0.000000
semimcfmcf	8	0.007601	0.000000
semimcfmcf	9	0.007686	0.000000
semimcfraeke	0	0.016001	0.000000
semimcfraeke	1	0.026164	0.000000
semimcfraeke	2	0.017901	0.000000
semimcfraeke	3	0.014088	0.000000
semimcfraeke	4	0.013995	0.000000
semimcfraeke	5	0.014531	0.000000
semimcfraeke	6	0.015761	0.000000
semimcfraeke	7	0.014692	0.000000
semimcfraeke	8	0.014194	0.000000
semimcfraeke	9	0.018211	0.000000
semimcfvlb	0	0.017205	0.000000
semimcfvlb	1	0.014220	0.000000
semimcfvlb	2	0.018560	0.000000
semimcfvlb	3	0.011302	0.000000
semimcfvlb	4	0.012112	0.000000
semimcfvlb	5	0.014796	0.000000
semimcfvlb	6	0.011520	0.000000
semimcfvlb	7	0.011378	0.000000
semimcfvlb	8	0.011530	0.000000
semimcfvlb	9	0.012149	0.000000
spf	0	0.000883	0.000000
spf	1	0.000842	0.000000
spf	2	0.000875	0.000000
spf	3	0.001387	0.000000
spf	4	0.000849	0.000000
spf	5	0.000911	0.000000
spf	6	0.000876	0.000000
spf	7	0.000839	0.000000
spf	8	0.001326	0.000000
spf	9	0.001194	0.000000
vlb	0	0.030218	0.000000
vlb	1	0.030233	0.000000
vlb	2	0.046229	0.000000
vlb	3	0.047924	0.000000
vlb	4	0.049109	0.000000
vlb	5	0.047763	0.000000
vlb	6	0.045949	0.000000
vlb	7	0.043802	0.000000
vlb	8	0.047807	0.000000
vlb	9	0.030136	0.000000

